"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","30,542,000","1.9"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","DALLAS","049","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","23,999,000","3.4"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","GRUNDY","075","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","31,914,000","2.6"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HAMILTON","079","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","37,360,000","1.6"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HARDIN","083","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","37,126,000","2.1"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","JASPER","099","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","34,592,000","1.3"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","MARSHALL","127","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","29,953,000","2.2"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POLK","153","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","13,391,000","3.6"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POWESHIEK","157","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","26,443,000","3.4"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","STORY","169","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","32,328,000","2.6"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","TAMA","171","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","34,073,000","3.5"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","CENTRAL","50","WEBSTER","187","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","38,769,000","1.9"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","BENTON","011","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","39,995,000","2.0"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CEDAR","031","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","32,612,000","1.6"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CLINTON","045","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","40,536,000","1.8"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","IOWA","095","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","24,502,000","2.5"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JACKSON","097","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","24,353,000","3.6"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JOHNSON","103","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","20,110,000","3.4"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JONES","105","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","31,552,000","2.1"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","LINN","113","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","29,541,000","1.3"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","MUSCATINE","139","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","18,582,000","2.7"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","SCOTT","163","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","22,031,000","3.2"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","BUTLER","023","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","33,453,000","1.6"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","CERRO GORDO","033","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","34,747,000","2.1"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","FLOYD","067","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","28,092,000","2.6"
"SURVEY","2022","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","FRANKLIN","069","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","40,961,000","2.5"
