prec,2015,17.04,27.2,6.61,92.97,120.66,231.9,209.55,236.99,117.36,47.76,75.44,163.34
tmin,2015,-11.54,-15.89,-4.98,3.22,9.52,14.78,16.02,14.43,13.75,5.2,0.24,-3.26
tmax,2015,-0.79,-4.84,9.96,17.19,20.7,25.52,27.11,25.69,26.7,17.81,10.69,4.21
prec,2016,20.84,23.64,82.56,65.04,99.31,57.91,137.68,187.97,252.23,19.31,38.11,36.08
tmin,2016,-10.87,-7.16,-0.7,3.62,8.28,15.79,16.9,19.27,14.1,6.49,0.12,-9.21
tmax,2016,-2.89,1.75,11.4,15.9,21.15,29.66,28.06,28.76,25.63,19.05,14.13,-0.45
prec,2017,51.32,35.31,81.04,66.81,144.53,74.43,72.14,75.44,70.36,123.96,9.92,8.91
tmin,2017,-7.99,-5.24,-2.81,4.28,8.41,14.17,17.2,13.24,11.81,5.52,-4.19,-10.18
tmax,2017,-0.84,7.18,8.21,16.17,20.84,28.37,29.85,26.02,26.57,17.47,7.85,1.56
prec,2018,32.02,41.93,87.13,36.33,120.66,363.48,95.51,149.35,262.64,94.24,55.64,62.5
tmin,2018,-14.07,-12.36,-3.28,-2.63,12.71,16.94,16.47,15.67,12.78,2.8,-5.57,-6.78
tmax,2018,-2.78,-1.55,6.26,10.28,25.63,28.2,28.73,27.59,23.85,14.37,3.5,2.64
prec,2019,30.24,56.15,29.47,55.88,211.84,86.11,92.46,71.64,150.37,139.95,38.61,36.32
tmin,2019,-12.81,-15.97,-6.32,2.5,7.93,14.35,17.31,14.31,14.12,2.19,-5.22,-7.17
tmax,2019,-2.72,-4.23,3.66,16.33,19.41,26.39,29.18,26.53,25.69,14.12,4.85,4.41
prec,2020,38.62,11.19,83.07,50.57,168.16,38.37,34.81,40.14,76.45,31.76,37.59,33.78
tmin,2020,-9.87,-9.73,-1.09,1.02,8.53,16.63,17.42,14.2,9.6,1.38,-2.32,-9.09
tmax,2020,-0.99,1.15,10.09,14.93,19.62,28.57,30.54,29.02,23.08,14.07,11.97,2.22
prec,2021,20.08,19.06,61.72,11.95,70.88,59.44,145.04,83.82,45.22,164.85,39.13,19.56
tmin,2021,-10.31,-16.13,-0.57,2.93,9.05,15.61,16.44,15.91,11.19,6.77,-2.97,-5.9
tmax,2021,-0.85,-6.88,11.63,16.26,20.68,30.13,29.18,29.01,26.77,18.73,9.62,6.07
prec,2022,27.97,5.6,86.63,134.89,158.25,135.65,87.38,61.72,45.22,21.85,61.74,50.55
tmin,2022,-17.28,-14.11,-3.75,-0.35,9.91,14.72,17.07,15.65,11.15,1.29,-3.69,-10.97
tmax,2022,-3.67,-0.08,8.42,12.3,21.77,28,29.39,28.67,25.11,18.19,8.57,-1.85
prec,2023,56.66,67.83,39.64,83.57,79,81.54,87.89,102.88,84.84,70.62,4.58,37.6
tmin,2023,-9.28,-9.92,-4.77,1.61,9.19,14.52,15.29,15.95,11.55,5.52,-3.48,-3.6
tmax,2023,-0.56,2.66,6.22,16.87,23.67,28.23,28.1,28.71,26.7,17.96,10.85,5.99
prec,2024,47,3.06,83.32,112.78,222,126,125.98,53.85,16.26,44.71,98.81,0.26
tmin,2024,-10.63,-5.48,-2.8,2.8,9.14,16,16.24,15.38,11.07,5.1,-0.02,-11.25
tmax,2024,-3.35,9.67,11.18,17.07,23.21,28.69,27.46,27.47,27.01,23.05,9.83,1.39
