prec,2015,21.87,3.58,12.45,135.64,115.07,166.88,196.85,184.67,65.28,44.46,72.14,114.57
tmin,2015,-10.73,-16.69,-4.14,3.52,10.81,15.36,17.17,14.96,14.54,5.46,0.15,-2.47
tmax,2015,-0.45,-5.66,9.71,17.11,21.43,26.05,27.63,25.48,26.49,17.54,10.74,4.68
prec,2016,14.5,8.92,61.73,64.01,66.3,96.78,87.89,205.5,201.43,30.99,24.14,23.64
tmin,2016,-10.34,-6.38,-0.22,3.96,9.1,15.96,17.44,16.85,13.8,7.54,0.52,-8.98
tmax,2016,-3.1,2.01,11.15,16.13,21.94,29.52,27.99,27.65,25.54,19.44,12.93,-0.89
prec,2017,49.04,7.38,36.84,62.75,122.95,90.43,31.76,69.11,33.53,150.13,14.49,6.37
tmin,2017,-7.58,-4.86,-2.58,5.09,8.55,15.34,17.42,13.61,12.41,6.27,-3.51,-10.05
tmax,2017,-0.88,7.68,7.33,16.59,21.52,28.62,29.82,25.85,26.46,17.31,8.26,0.41
prec,2018,31.26,39.37,77.47,36.84,109.73,192.8,109.48,153.93,245.37,80.78,49.29,58.94
tmin,2018,-13.24,-10.99,-3.64,-2.24,13.69,17.28,16.63,16.49,12.93,3.23,-5.13,-6.51
tmax,2018,-2.2,-0.89,6.13,10.96,26.18,28.56,28.44,27.64,24.02,14.93,3.11,2.81
prec,2019,31.51,59.7,24.39,72.65,190.5,137.43,65.8,64.53,126.24,124.72,39.88,21.86
tmin,2019,-13.53,-14.25,-5.56,3.19,8.23,14.81,17.91,14.6,14.24,1.99,-5.31,-6.7
tmax,2019,-3.55,-3.59,4.44,16.5,19.78,26.24,29.26,26.17,25.37,12.96,4.52,3.76
prec,2020,34.04,12.45,83.83,74.18,115.07,185.94,29.98,51.56,98.3,32.52,37.85,30.48
tmin,2020,-9.46,-9.39,-0.45,0.89,8.28,16.67,17.63,14.69,9.42,1.65,-1.87,-9.23
tmax,2020,-1.36,0.33,9.98,14.74,19.34,27.78,29.78,28.54,22.14,13.57,11.35,1.79
prec,2021,32.51,12.45,43.7,13.47,83.84,46.49,34.8,90.43,18.55,137.68,30.24,20.07
tmin,2021,-9.87,-16.92,-0.69,3.1,9.09,16.09,16.9,15.76,11.69,6.85,-2.67,-6.18
tmax,2021,-1.67,-7.58,10.48,16.15,20.32,29.72,28.82,29.2,26.87,18.21,9.83,5.13
prec,2022,19.56,6.35,80.02,89.42,75.45,72.9,75.96,84.59,30.48,30.23,69.36,43.69
tmin,2022,-16.47,-13.61,-2.81,0.13,10.29,15.35,17.38,15.72,11.21,2.17,-3.19,-9.95
tmax,2022,-3.98,-0.12,7.69,12.63,22.35,28.41,29.27,28.55,24.81,18.06,8.87,-0.73
prec,2023,44.47,50.56,32.78,50.56,65.79,69.61,73.92,29.72,34.31,81.55,5.34,24.15
tmin,2023,-8.53,-8.4,-4.03,2.54,10.18,15.08,15.89,16.57,12.61,5.72,-2.33,-3.17
tmax,2023,-0.97,3.23,7.24,16.98,24.78,28.56,28.83,29.07,27.35,17.87,11.06,6.33
prec,2024,31.25,0.77,54.87,89.92,198.63,114.83,244.87,40.13,20.58,45.21,64.02,0.01
tmin,2024,-9.62,-4.89,-1.95,3.81,10.39,16.54,17.37,16.31,12.22,5.65,-0.15,-9.24
tmax,2024,-2.53,10.25,11.94,17.57,23.56,28.89,27.67,27.92,27.15,21.96,9.72,3.61
