prec,2015,23.63,34.56,20.32,48.27,146.82,211.84,30.49,64.01,102.37,69.86,136.65,106.44
tmin,2015,-11.51,-17.32,-5.25,3.18,10.34,14.78,16.09,14.95,14.31,5.48,-0.11,-2.03
tmax,2015,-2.42,-6.61,7.22,16.67,20.72,25.06,26.76,25.97,25.26,16.77,9.79,4.46
prec,2016,11.69,15.76,76.71,64.01,109.98,185.17,182.12,95.26,131.32,63.76,65.79,39.13
tmin,2016,-10.52,-6.47,-0.27,3.37,8.89,15.38,17.6,17.44,13.69,7.67,1.39,-9.37
tmax,2016,-2.81,1.05,9.98,13.98,21.13,27.13,26.85,27.17,24.09,18.12,11.8,-2.76
prec,2017,51.06,45.72,54.11,127,70.37,77.73,188.47,82.05,25.91,157.24,16.77,18.04
tmin,2017,-7.69,-4.35,-2.15,4.94,8.26,14.74,16.35,13.33,11.98,6.86,-3.17,-9.68
tmax,2017,-1.44,6.45,6.67,15.98,19.7,27.04,27.39,24.41,24.55,16.7,7.06,-1.08
prec,2018,30.24,72.65,46.74,40.39,138.45,195.07,90.17,198.38,226.82,163.07,48.78,52.59
tmin,2018,-11.79,-10.79,-4.24,-1.93,13.15,16.65,16.34,17.02,12.54,3.94,-4.37,-5.36
tmax,2018,-2.46,-0.89,6.31,9.43,24.8,26.67,27.6,26.77,23.5,14.09,2.19,2.49
prec,2019,71.63,83.83,42.93,106.68,132.85,139.45,85.86,127.52,338.08,175.01,54.62,35.32
tmin,2019,-13.14,-12.65,-5.04,3.13,8.61,14.44,18.53,14.94,14.11,2.94,-4.93,-5.84
tmax,2019,-5.23,-2.92,4.05,14.39,19.15,25,29.09,25.71,23.91,13.3,3.22,3.31
prec,2020,45.47,28.96,82.05,48.03,124.72,129.29,90.69,35.82,209.3,78.49,73.42,67.57
tmin,2020,-7.92,-9.31,-0.3,1.28,8.49,16.07,18.3,15.1,10,2.13,-0.21,-7.53
tmax,2020,-0.88,-0.46,7.94,13.7,18.84,27.11,29.2,27.91,21.34,13.32,11.46,1.16
prec,2021,37.6,20.08,47.75,48.52,69.09,108.21,82.04,140.46,33.03,108.72,19.82,42.93
tmin,2021,-9.27,-16.37,-0.5,3.76,9.27,16.74,17.06,17.12,12.15,8.32,-2.34,-4.92
tmax,2021,-1.88,-6.94,9.19,15.43,19.73,28.67,27.56,28.31,25.37,17.78,8.33,3.95
prec,2022,12.71,9.66,72.91,106.69,69.11,74.68,124.98,136.91,15.25,24.64,91.46,60.71
tmin,2022,-15.68,-12.12,-2.46,1.61,11.2,15.17,17.29,16.74,12.18,3.06,-2.04,-9.23
tmax,2022,-5.27,-1.45,6.88,11.41,22.08,27.28,28.06,26.72,22.92,17.03,8.87,-0.65
prec,2023,60.46,75.7,43.44,52.84,55.64,56.14,108.46,101.86,60.2,138.95,13.47,52.59
tmin,2023,-6.83,-8.08,-3.12,2.24,9.87,14.39,16.07,16.2,13.54,6.25,-2,-2.17
tmax,2023,-0.59,1.9,6.25,15.63,23.21,28,28.09,27.44,24.46,16.27,8.81,4.76
prec,2024,83.83,10.68,69.6,122.44,156.72,165.62,134.37,69.35,2.04,70.87,106.43,0.26
tmin,2024,-8.89,-3.91,-0.43,4.44,10.63,16.17,17.09,16.33,12.43,5.56,0.8,-10.21
tmax,2024,-2.97,8.69,10.65,15.37,22.54,26.94,27.09,27.59,26.06,20.44,9.07,2.08
