prec,2015,18.03,37.08,17.78,69.6,135.38,213.11,101.35,97.54,101.35,71.88,121.67,124.21
tmin,2015,-11.37,-16.67,-5.7,3.54,10.95,15.15,16.76,14.88,13.93,5.16,-0.02,-1.79
tmax,2015,-0.72,-4.28,8.6,18.08,22.29,26.78,28.42,27.2,27.53,18.66,11.74,6.63
prec,2016,12.7,15.24,69.09,57.4,100.08,154.94,146.3,184.91,120.4,58.42,41.4,39.62
tmin,2016,-11.17,-6.53,-0.45,3.87,9.59,16.17,17.56,17.89,14.29,7.7,1.59,-8.69
tmax,2016,-1.89,2.97,11.59,16.13,22.51,29.87,28.56,28.92,26.72,20.28,14.73,-0.43
prec,2017,42.67,20.32,73.41,118.62,114.81,108.46,132.33,53.85,36.32,114.81,20.83,14.73
tmin,2017,-7.83,-4.7,-2.47,5.41,8.78,15.37,17.28,14.22,12.16,6.76,-3.41,-9.3
tmax,2017,0.76,8.39,9.09,17.48,20.81,28.89,29.73,26.54,27.26,18.76,8.65,1.76
prec,2018,20.07,67.82,72.64,25.65,125.73,156.21,90.68,177.55,221.23,160.27,70.1,51.31
tmin,2018,-12.9,-10.87,-4.13,-1.78,13.81,17.26,16.9,17.28,13.22,3.84,-4.48,-5.97
tmax,2018,-1.45,0.2,7.37,10.98,26.83,28.98,29.35,29.13,25.56,15.9,4.33,3.42
prec,2019,68.33,87.63,46.74,109.47,216.15,102.11,55.37,97.03,178.31,105.92,43.43,35.56
tmin,2019,-12.13,-13.39,-5.43,2.98,8.66,15.09,18.91,15.22,14.59,3.53,-4.61,-5.41
tmax,2019,-2.24,-2.08,5.25,15.46,19.34,26.17,30.63,27.1,25.52,14.82,4.74,4.53
prec,2020,45.97,13.97,89.41,55.63,117.86,154.69,84.07,35.81,185.93,68.07,59.69,52.07
tmin,2020,-7.96,-8.56,-0.45,1.56,8.87,16.33,18.81,15.81,10.57,2.85,0,-7.24
tmax,2020,0.13,1.23,9.34,14.54,19.77,28,29.83,29.09,22.8,14.34,12.54,2.46
prec,2021,45.72,26.16,59.94,56.39,101.85,99.31,77.72,84.07,37.34,139.7,18.8,37.08
tmin,2021,-9.5,-15.93,-0.67,3.81,9.83,17.09,17.83,17.17,12.28,8.26,-2.31,-5.2
tmax,2021,-0.54,-5.81,11.06,16.04,21.02,29.74,29.19,30.2,27.32,19.96,9.87,6.52
prec,2022,17.27,10.92,82.3,98.3,76.2,124.21,102.62,106.43,48.77,29.46,82.04,45.97
tmin,2022,-16.43,-12.74,-3.14,1.26,11.2,15.72,17.91,16.77,12.24,2.58,-2.48,-9.76
tmax,2022,-4.27,0.71,8.98,12.62,23.3,28.87,29.57,28.19,25.1,18.39,10.61,0.35
prec,2023,53.59,77.72,42.16,51.56,58.93,62.74,80.01,52.58,53.09,99.06,14.73,55.37
tmin,2023,-7.13,-8.83,-3.44,3.16,10.31,14.81,16.47,16.59,13.09,6.2,-3.19,-2.47
tmax,2023,1.13,3.93,7.69,17.68,24.44,29.07,29.44,29.43,26.46,18.82,10.43,6.29
prec,2024,70.1,5.59,66.29,129.54,159.77,117.35,181.1,100.33,5.84,65.02,81.28,0.51
tmin,2024,-9.66,-4.67,-1.27,4.46,11.29,16.81,16.76,16.24,12.18,5.36,0.34,-10.76
tmax,2024,-2.37,10.13,12.04,16.85,24.48,28.93,27.96,28.14,27.32,22.18,10.54,1.11
