prec,2015,32.27,30,20.32,60.96,173.74,245.87,50.05,90.18,90.17,78.24,140.72,106.18
tmin,2015,-11.33,-17.6,-5.25,2.07,10.38,15.19,16.11,14.28,13.41,5.65,0.28,-1.13
tmax,2015,-1.16,-5.3,8.98,18.3,22.56,26.79,28.22,27.39,27.28,18.48,11.59,6.26
prec,2016,12.46,13.98,59.44,80.27,86.62,117.6,226.58,251.72,130.3,70.87,36.58,41.41
tmin,2016,-9.96,-5.34,0.47,3.17,9.31,16,17.85,17.5,14.3,7.63,1.33,-8.41
tmax,2016,-1.44,3.24,11.86,15.65,22.94,29.28,28.65,28.91,26.56,20.48,13.51,-0.46
prec,2017,40.41,28.7,89.16,143.51,96.53,81.54,133.61,45.98,57.16,96.03,18.04,21.1
tmin,2017,-6.92,-4.36,-2.08,5.07,8.75,15.07,16.43,12.62,10.19,6.57,-3.3,-9.44
tmax,2017,0.47,8.97,8.8,17.69,21.56,29.13,29.74,26.48,27.11,18.52,8.98,1.18
prec,2018,11.19,91.45,88.14,32.52,99.58,130.82,40.64,136.92,230.12,215.14,69.09,66.05
tmin,2018,-11.76,-10.75,-4.06,-2.09,13.73,17,15.65,16.33,12.51,3.48,-4.44,-5.56
tmax,2018,-0.66,1.65,7.13,10.94,27.26,29.07,29.52,29.24,25.77,16.11,3.52,3.5
prec,2019,71.64,99.58,56.66,148.6,177.05,116.59,76.21,100.08,166.62,71.89,50.04,34.05
tmin,2019,-13.24,-12.44,-4.8,3.46,8.82,15.28,18.76,14.9,14.65,2.28,-5.06,-5.93
tmax,2019,-3.48,-1.77,6.11,16.13,20.79,27.13,31.45,27.88,26.28,15.09,5.35,5.13
prec,2020,58.19,13.98,116.34,75.96,111.78,114.56,185.43,36.59,200.66,63,56.64,69.1
tmin,2020,-7.28,-7.72,0.04,1.78,8.76,16.2,17.9,15.15,9.92,2.01,-0.04,-7.24
tmax,2020,0.23,1.95,10.36,15.7,20.52,29.24,31,29.85,23.45,15.41,13.1,2.89
prec,2021,57.41,31.51,59.7,90.43,106.69,103.13,77.48,39.38,29.98,112.27,19.82,52.34
tmin,2021,-8.98,-16.75,-0.56,3.78,9.77,17.03,17.58,15.8,11.35,7.99,-2.81,-5.07
tmax,2021,-0.63,-5.38,10.5,16.93,21.13,30.46,28.96,30.65,28.31,19.55,10.07,6.13
prec,2022,26.17,19.57,72.66,98.56,85.86,170.18,78.75,113.54,45.73,21.85,80.02,58.69
tmin,2022,-15.84,-11.47,-2.6,1.07,11.13,15.1,16.63,15.84,10.84,1.33,-2.72,-8.92
tmax,2022,-3.66,0.87,8.8,13.33,23.63,28.91,29.35,28.21,24.81,18.51,10.3,0.72
prec,2023,53.35,95.26,76.97,36.07,50.55,87.89,58.93,42.17,29.98,113.8,18.04,61.99
tmin,2023,-7.04,-7.51,-2.37,1.59,9.43,13.52,15.7,15.31,12.03,5.79,-2.56,-2.2
tmax,2023,0.5,4.28,7.89,17.63,25.84,29.62,30.13,29.78,27.28,18.23,10.94,6
prec,2024,91.2,6.1,89.17,153.68,125.23,186.7,264.68,113.04,1.79,49.54,87.13,0.76
tmin,2024,-8.8,-4.23,-0.2,4.67,11.37,16.8,16.9,15.99,10.92,4.08,0.69,-10.21
tmax,2024,-2.31,10.4,12.4,17.43,25.31,29.04,28.71,28.8,28.01,22.51,10.39,3.33
