prec,2015,17.02,36.34,22.62,57.66,133.86,181.11,59.95,77.73,94.24,63.25,105.41,127.03
tmin,2015,-12.97,-18.33,-7.1,1.88,9.86,13.98,15.54,13.37,12.61,3.91,-0.81,-2.35
tmax,2015,-2.85,-6.61,6.88,16.55,20.54,25.19,26.81,25.41,26.05,17.13,9.94,4.91
prec,2016,16.27,21.35,94.25,45.98,87.89,170.44,120.91,74.68,242.83,51.33,54.11,53.35
tmin,2016,-12.63,-7.62,-1.81,2.61,7.96,14.57,16.7,15.79,12.3,5.81,-0.48,-9.68
tmax,2016,-4.18,0.71,9.59,14.43,20.86,27.22,26.74,27.22,24.37,18.22,12.66,-2.71
prec,2017,55.39,22.36,68.09,87.89,88.66,165.36,118.37,27.69,16.52,169.68,19.57,11.19
tmin,2017,-8.75,-6.11,-3.64,3.72,7.4,13.74,16.26,12.57,10.06,5.29,-4.41,-11.22
tmax,2017,-1.38,6.17,6.56,15.46,19.34,27.39,27.57,24.92,25.87,16.95,6.59,-0.41
prec,2018,27.19,58.17,56.65,40.14,143.01,193.81,56.64,217.43,270.26,184.67,52.85,39.89
tmin,2018,-14.39,-13.27,-5.63,-4.28,11.92,16.13,15.75,15.38,11.39,2.83,-6.07,-6.74
tmax,2018,-3.22,-2.08,5.63,8.67,24.78,26.81,27.85,26.63,23.74,13.92,2.09,1.72
prec,2019,65.29,78.24,38.1,100.85,201.18,130.31,59.7,87.89,179.84,194.57,51.07,47.51
tmin,2019,-14.3,-15.46,-7.29,1.61,7.24,13.89,17.51,13.41,13.13,1.99,-6.15,-6.77
tmax,2019,-4.53,-3.85,3.39,14.43,18.33,25.2,29.23,25.89,23.94,13.37,3.02,3.48
prec,2020,37.36,17.53,90.44,41.16,69.61,236.48,85.1,35.56,265.18,66.31,44.7,35.57
tmin,2020,-9.25,-11.37,-1.74,-0.33,7.33,15.09,17.45,13.69,8.87,1.47,-1.67,-8.89
tmax,2020,-1.2,-0.65,7.85,13.31,18.69,26.74,29.39,28.37,21.57,12.94,11.35,1.25
prec,2021,35.06,22.61,81.29,27.44,74.69,75.7,69.35,195.08,56.39,116.85,21.6,40.91
tmin,2021,-11.81,-18.69,-1.81,2.31,7.97,15.06,15.78,14.63,9.93,7.19,-3.13,-6.25
tmax,2021,-1.91,-6.88,9.53,14.65,19.91,28.89,27.69,28.33,25.04,18.01,8.13,3.85
prec,2022,19.06,6.62,103.89,136.41,81.3,85.1,116.84,169.43,27.44,34.3,76.98,41.92
tmin,2022,-18.28,-14.17,-4.37,-0.52,8.96,13.63,16.13,14.69,10.3,0.82,-3.72,-11.15
tmax,2022,-6.15,-1.83,6.74,10.48,21.34,27.09,28,26.5,23.33,16.9,9.07,-2.6
prec,2023,82.56,63,34.05,63.76,61.98,57.66,178.06,27.18,65.03,93.74,9.92,33.54
tmin,2023,-8.24,-9.98,-4.57,1.04,8.28,12.26,14.5,14.8,11.61,4.8,-4.44,-3.08
tmax,2023,-1.18,1.67,5.74,15.85,22.96,28.07,27.8,28.21,24.96,17.33,8.76,4.66
prec,2024,66.3,7.63,55.37,103.89,224.79,138.95,186.19,91.7,7.63,61.21,115.32,0.76
tmin,2024,-9.98,-6.15,-2.83,2.5,9.25,15.17,15.7,14.91,10.1,4.04,-0.09,-11.11
tmax,2024,-3.57,8.49,10.43,15.3,23.01,28.07,27.53,27.76,26.86,22,9.41,0.63
