prec,2015,14.74,41.16,18.55,48.27,156.48,157.23,67.31,124.21,126.24,61.22,111.51,106.19
tmin,2015,-11.9,-17.86,-6.79,1.63,10.31,14.66,15.65,14.06,13.47,4.89,-0.94,-1.88
tmax,2015,-2.74,-6.31,6.58,17.59,21.39,25.79,26.86,26.11,26.53,17.38,10.33,5.5
prec,2016,7.88,9.16,68.33,51.82,74.69,144.02,151.65,146.57,59.45,75.44,48.78,42.93
tmin,2016,-11.83,-6.67,-1.24,1.84,8.35,15.2,16.72,16.72,13.21,6.85,0.28,-9.12
tmax,2016,-3.6,1.43,10.02,14.5,21.81,28.3,27.39,28.16,26.17,19.01,12.98,-2.15
prec,2017,37.1,24.13,69.6,106.17,95.25,116.59,121.17,94.24,40.64,65.53,17.27,7.89
tmin,2017,-8.14,-5.49,-3.41,3.98,8.03,14.35,16.36,12.85,10.52,5.94,-3.76,-10.25
tmax,2017,-0.7,6.83,7.72,16.46,19.89,27.93,28.31,25.11,25.71,17.89,7.41,0.27
prec,2018,10.43,85.86,66.3,19.06,157.49,179.08,54.61,182.12,186.19,195.33,45.72,47
tmin,2018,-13.22,-11.41,-4.98,-3.24,12.4,16.46,15.89,16.17,12.22,3.57,-3.52,-5.56
tmax,2018,-2.5,-1.67,5.95,9.69,25.93,27.28,28.31,27.69,25.29,15.09,4.32,3.35
prec,2019,77.74,91.96,52.33,134.11,164.08,84.84,76.45,89.92,241.05,85.6,43.7,23.37
tmin,2019,-12.47,-13.57,-5.54,2.94,8.82,14.87,18.74,15.09,14.3,3.48,-4.74,-5.5
tmax,2019,-2.96,-2,4.96,15.04,19.39,26.19,30.57,27.39,25.2,15.09,4.31,4.59
prec,2020,37.34,19.05,91.44,43.18,156.97,58.93,85.09,72.14,221.23,76.45,57.15,62.23
tmin,2020,-7.28,-8.26,-0.52,1.44,8.71,15.73,18.57,15.52,10.11,2.46,0.07,-7.57
tmax,2020,0.85,1.17,9.18,14.43,19.66,28.07,30.33,29.09,22.67,14.66,12.93,2.44
prec,2021,33.53,21.1,48.51,77.47,95,72.9,125.98,84.58,29.21,154.94,11.94,55.12
tmin,2021,-9.69,-16.85,-1,3.13,8.76,16.43,17.36,16.46,11.11,8.07,-2.7,-5.16
tmax,2021,-0.85,-5.63,10.86,15.5,20.3,29.02,28.13,29.66,26.69,19.61,8.77,6.11
prec,2022,16.26,13.21,65.79,144.02,87.38,91.19,152.4,143.51,35.81,14.22,62.99,64.77
tmin,2022,-17.26,-12.64,-2.94,0.91,10.59,14.76,17.04,15.73,11.15,1.37,-3.33,-9.15
tmax,2022,-4.77,0.18,8.17,11.96,23.28,28.2,28.82,27.38,24.23,17.69,10.61,0.13
prec,2023,58.42,65.53,42.16,45.98,61.47,36.58,84.33,29.21,69.34,132.08,19.56,54.36
tmin,2023,-6.67,-9.21,-3.04,1.4,8.31,13.52,15.89,15.59,12.28,6.2,-3.56,-2.71
tmax,2023,0.99,2.84,7.06,17.2,23.95,29.48,29.69,30.04,26,18.69,9.27,5.73
prec,2024,42.93,7.62,78.23,151.64,153.16,140.98,182.12,76.71,1.53,47.75,78.23,0.26
tmin,2024,-8.94,-4.88,-0.86,4.15,10.75,16.57,16.33,15.84,11.15,4.16,0.28,-10.79
tmax,2024,-2.56,9.82,11.99,16.44,24.23,28.91,27.89,28.12,26.87,21.99,10.63,1.51
