prec,2015,7.62,31.24,12.45,52.08,113.54,68.84,60.45,175.52,58.17,55.12,91.95,107.7
tmin,2015,-13.12,-16.94,-5.02,2.19,8.64,14.78,15.65,13.92,12.69,2.9,-1.76,-6.5
tmax,2015,-3.05,-5.77,8.06,16.07,19.71,25.78,27.69,25.54,25.22,16.92,7.91,0.67
prec,2016,25.66,51.57,49.54,90.18,123.19,73.66,114.05,62.24,169.93,97.54,26.42,35.82
tmin,2016,-14.48,-8.67,-1.83,2.63,8.26,15.5,15.98,15.34,12.04,3.96,-0.19,-12.56
tmax,2016,-5.75,-0.73,8.87,14.48,20.81,28.35,28.02,26.97,23.85,17.28,11.11,-3.08
prec,2017,43.7,16.76,60.72,48.26,136.15,99.06,20.07,177.04,87.89,108.72,5.85,5.08
tmin,2017,-10.66,-6.58,-5.39,2.99,7.53,14,16.61,13.15,11.07,3.75,-5.81,-11.95
tmax,2017,-3.57,4.34,4.39,13.77,19.7,27.63,29.04,24.57,24.46,15.48,5.46,-1.61
prec,2018,66.81,41.67,73.15,102.87,222.25,147.83,116.84,134.37,223.77,65.28,24.39,83.82
tmin,2018,-16.19,-16.49,-5.48,-4.71,11.58,17.22,16.94,15.27,11.9,0.77,-7.96,-9.25
tmax,2018,-6.35,-5.48,2.54,5.46,23.91,27.57,27.94,26.92,23.16,12.35,1.13,-1.79
prec,2019,10.42,38.36,66.3,114.31,167.66,103.89,146.82,79.76,158.51,118.12,46.49,28.96
tmin,2019,-15.79,-18.21,-8.19,1.65,6.58,14.25,16.52,13.93,12.06,0.81,-6.47,-10.76
tmax,2019,-6.15,-8.47,1.03,13.06,16.54,25.71,28.08,25.69,23.78,11.74,3.12,-2.09
prec,2020,31.26,11.69,47.01,22.37,126.51,98.57,70.37,26.17,23.88,49.04,27.69,12.19
tmin,2020,-12.63,-13.15,-3.26,-2.24,7.61,16.03,16.31,13.93,8.08,-0.88,-4,-10.59
tmax,2020,-3.67,-2.6,6.34,12.89,18.26,28.73,28.83,28.06,21.98,11.31,8.98,0.59
prec,2021,22.11,18.05,42.67,47.5,76.46,31.24,63,146.57,55.88,172.47,11.18,17.03
tmin,2021,-10.88,-16.98,-2.5,0.54,8.19,15.11,15.84,14.59,9.65,5.56,-3.75,-9.18
tmax,2021,-2.19,-8.93,8.46,13.61,20.09,30.25,28.55,28.3,24.96,17.47,7.64,1.76
prec,2022,22.37,6.87,28.21,133.61,66.81,85.35,57.16,207.53,17.53,2.55,22.37,37.35
tmin,2022,-19.93,-16.65,-5.5,-2.03,8.3,14.85,16.58,14.54,9.31,0.9,-5.15,-13.66
tmax,2022,-4.98,-3.67,5.3,9.98,21.02,27.37,28.78,26.76,24.22,16.58,6.93,-5.72
prec,2023,55.13,38.62,33.79,32.77,112.78,112.52,44.96,78.99,29.21,145.55,1.28,54.37
tmin,2023,-12.85,-14.09,-8.14,0.11,9.78,15.2,14.21,15.3,11.2,4.18,-4.7,-5.99
tmax,2023,-3.89,-3.04,1.56,13.43,23.08,28.09,27.53,27.85,25.2,16.22,9.17,4.19
prec,2024,12.72,4.83,68.08,91.95,171.2,317.25,92.46,60.2,19.05,22.35,81.28,0
tmin,2024,-11.97,-6.39,-5.81,1.63,8.55,15.15,16.65,14.65,10.71,3.98,-2.76,-13.19
tmax,2024,-5.22,6.15,9,14.46,22.08,26.49,27.6,26.39,26.13,20.84,6.74,-0.35
