prec,2015,4.34,1.05,8.39,48.77,106.44,66.56,53.34,169.17,61.48,40.9,106.43,47.27
tmin,2015,-11.54,-16.19,-4.09,1.67,8.33,14.11,14.57,13.67,12.59,3.43,-1.95,-6.63
tmax,2015,-2.89,-5.56,8.96,16.11,19.82,25.91,27.11,24.8,24.85,16.93,7.74,0.31
prec,2016,7.65,11.21,42.94,108.47,103.38,73.92,117.1,60.46,175.77,111.76,27.95,20.85
tmin,2016,-13.35,-8.33,-1.97,2.94,8,15.11,15.95,14.3,11.91,4,-0.39,-11.29
tmax,2016,-4.98,-0.77,8.98,14.19,20.93,28.04,27.08,26.02,23.8,16.51,11.02,-2.44
prec,2017,9.67,8.89,35.07,69.35,110.25,100.84,12.45,177.55,85.6,107.45,7.63,4.36
tmin,2017,-9.96,-6.36,-5,3.5,7.13,13.74,15.51,12.69,10.94,3.49,-5.67,-12.08
tmax,2017,-2.87,3.95,4.34,14.22,20.2,27.13,28.25,23.8,24.35,14.91,6.26,-2.17
prec,2018,3.07,1.55,40.65,99.32,204.72,226.58,102.11,98.82,219.46,58.43,27.7,45.48
tmin,2018,-15.31,-16.17,-4.78,-4.43,11.61,16.8,16.15,14.84,11.41,0.65,-7.63,-9.32
tmax,2018,-4.65,-5.5,2.24,6.19,23.48,26.8,27.38,26.08,22.54,12.03,1.07,-1.43
prec,2019,9.15,44.96,57.92,104.91,166.37,98.56,136.65,72.65,146.56,105.67,57.91,24.9
tmin,2019,-15.14,-17.82,-7.39,1.52,6.49,13.81,16.85,13.46,13.02,0.57,-5.69,-10.8
tmax,2019,-6,-8,0.98,13.28,17.49,25.35,27.44,24.54,23.48,11.08,2.95,-1.91
prec,2020,24.13,9.66,48.27,20.84,133.1,98.05,65.54,21.85,22.61,48.27,24.39,12.19
tmin,2020,-12.87,-12.86,-2.6,-2.04,7.1,15.94,15.89,13.78,8.31,-1.25,-3.78,-10.57
tmax,2020,-4.44,-2.8,6.79,13.43,18.57,28.43,27.89,27.63,22,11.04,8.76,0.84
prec,2021,21.09,14.48,32.52,41.15,71.38,28.46,57.66,144.03,108.46,112.78,11.69,11.94
tmin,2021,-10.43,-17.38,-1.78,1.13,7.39,14.12,15.46,15.41,10.67,6.29,-3.07,-8.82
tmax,2021,-2.19,-8.89,8.79,14.15,19.91,29.27,28.02,28.55,25.71,17.92,8.76,2.53
prec,2022,20.07,3.3,22.36,113.55,58.17,79,55.12,206.51,16,1.53,13.23,37.09
tmin,2022,-17.39,-14.82,-3.67,-0.39,9.19,15.5,16.94,15.41,10.23,1.29,-4.91,-12.13
tmax,2022,-3.28,-1.92,6.24,11.24,21.94,28.46,29.02,27.07,24.56,17.74,6.56,-4
prec,2023,57.17,32.27,25.41,30.49,113.04,120.91,43.44,94.75,26.68,151.39,2.04,53.86
tmin,2023,-12.22,-12.39,-6.68,1.22,9.74,15.59,14.48,15.41,11.65,4.43,-4,-5.28
tmax,2023,-3.67,-1.6,2.26,14.74,23.76,28.31,27.47,27.24,25.31,16.13,9.94,4.96
prec,2024,0.78,2.55,64.78,139.45,210.31,271.03,104.4,41.91,15.75,21.34,78.75,0.51
tmin,2024,-11.09,-5.42,-4.44,3,8.75,15.57,17.26,15.48,10.85,4.83,-1.52,-11.11
tmax,2024,-3.74,7.57,9.78,15.72,22.2,26.91,28.41,26.92,26.81,21.02,7.59,2.64
