prec,2015,8.13,28.97,3.56,125.99,164.08,220.47,102.11,176.53,137.41,43.18,93.22,153.43
tmin,2015,-11.7,-15.81,-4.57,3.63,9.63,15.31,16.58,14.94,13.57,4.92,0.38,-4.09
tmax,2015,-0.63,-4.42,10.61,17.56,20.85,26.11,27.29,25.43,25.96,18.07,10.92,3.35
prec,2016,13.47,30.23,34.04,76.2,136.91,76.71,157.23,123.19,136.66,26.42,31.75,38.61
tmin,2016,-11.93,-6.94,-0.73,3.57,8.8,16.43,17.17,16.54,13.33,6.02,0.35,-10.09
tmax,2016,-3.78,1.39,11.85,16.24,21.25,29.78,28.05,27.59,25.56,19.19,13.44,-0.48
prec,2017,35.06,35.31,78.75,77.98,150.63,58.17,64.01,79.5,58.93,158.24,4.06,9.91
tmin,2017,-8.51,-5.4,-2.69,4.19,8.33,14.67,17.95,13.89,12.49,5.72,-3.98,-9.89
tmax,2017,-1.04,6.9,8.14,15.96,20.99,28.72,30.52,26.31,26.32,17.51,8.39,1.56
prec,2018,27.18,38.61,70.36,65.53,110.74,205.49,56.64,186.94,176.53,129.03,32.26,55.88
tmin,2018,-13.8,-12.8,-2.97,-2.62,12.89,17.24,16.75,15.91,13.04,2.51,-6.39,-7.31
tmax,2018,-3.28,-1.85,6.45,10.17,25.7,28.24,28.75,27.78,24.44,14.39,3.54,1.33
prec,2019,14.22,55.63,56.13,36.58,180.09,118.62,138.94,85.34,135.89,174.75,32.27,21.85
tmin,2019,-12.39,-16.05,-6.43,2.59,7.96,14.91,18.28,15.43,14.78,2.54,-5.31,-6.93
tmax,2019,-2.3,-5.3,3.85,16.09,19,26.78,29.27,25.54,25.24,14.25,5.33,4.07
prec,2020,34.05,17.79,69.1,22.11,102.89,75.19,30.48,51.83,75.96,29.47,54.61,25.15
tmin,2020,-10.46,-9.66,-1.63,0.7,9.25,17.36,18.33,15.61,9.98,1.47,-1.38,-8.09
tmax,2020,-1.23,1.97,10.26,15.46,19.23,28.24,29.77,28.72,22.8,13.91,12.66,2.63
prec,2021,28.96,23.88,79,22.87,104.66,65.03,120.4,81.03,36.84,149.11,22.1,9.91
tmin,2021,-8.41,-15.48,-0.43,2.83,9.34,16.69,16.85,16.94,11.88,6.47,-2.09,-5.81
tmax,2021,-0.07,-7,11.2,16.11,20.38,29.39,28.65,28.57,26.49,18.96,10.39,5.83
prec,2022,24.4,4.83,76.21,97.54,152.66,116.85,77.22,56.65,27.44,16.26,29.98,53.09
tmin,2022,-16.77,-13.41,-3.85,-0.69,10.05,15.94,17.89,15.83,11.24,2.24,-3.76,-11.17
tmax,2022,-2.76,0.81,8.73,12.93,21.95,28.14,29.05,28.02,25,18.49,8.98,-1.67
prec,2023,56.65,58.68,43.44,49.28,96.78,73.91,132.08,68.33,70.62,37.85,3.82,51.06
tmin,2023,-9.46,-10.02,-4.86,2.04,10.29,15.48,16.35,16.51,12.28,5.47,-3.56,-3.69
tmax,2023,-0.45,2.54,5.45,16.91,23.71,27.3,27.09,27.95,26.25,18.14,11.33,6.29
prec,2024,40.14,5.34,119.9,64.26,188.47,79.76,85.6,67.56,18.54,39.88,88.39,0.76
tmin,2024,-10.75,-4.81,-3.35,3.46,9.5,16.19,16.48,15.86,10.87,5.43,-0.82,-11.04
tmax,2024,-3.66,9.77,11.29,16.8,22.35,28.31,27.52,27.08,27.43,23.22,9.18,2.01
