prec,2015,21.35,25.41,7.63,96.01,142.5,111,97.8,247.9,61.73,47.25,73.92,148.35
tmin,2015,-12.33,-16.73,-5.57,1.53,8.91,14.07,15.61,13.81,12.65,3.46,-0.98,-4.52
tmax,2015,-1.65,-4.94,9.1,16.63,20.48,25.59,27.38,25.37,26.11,17.93,10.22,3.57
prec,2016,20.84,39.38,51.06,47,135.89,121.67,140.97,148.85,191.01,29.97,38.36,36.84
tmin,2016,-12.44,-8.71,-1.85,2.44,7.56,14.89,16.33,15.57,12.66,5.29,-0.74,-10.41
tmax,2016,-4.28,0.32,10.75,15.72,21.11,28.37,27.48,27.17,25.18,19.18,13.28,-0.82
prec,2017,47.76,60.96,79,80.27,119.64,93.48,17.78,115.06,68.58,148.34,6.87,10.42
tmin,2017,-9.39,-6.11,-3.82,3.3,7.22,13.17,16.46,12.5,11.15,4.44,-4.9,-11.11
tmax,2017,-1.52,5.85,6.38,15.31,20.39,28.13,29.54,25.43,26.3,17.65,7.45,1.11
prec,2018,35.82,52.59,52.84,82.81,152.15,234.45,66.04,235.72,197.36,132.09,36.33,50.81
tmin,2018,-15.23,-15.12,-4.01,-3.59,11.92,16.36,16.01,15,11.92,1.65,-6.52,-7.19
tmax,2018,-3.76,-3.02,4.93,9.26,24.89,27.93,28.73,26.84,24.02,14.05,2.76,1.45
prec,2019,21.86,126.26,34.3,95.26,210.58,113.8,96.79,88.39,152.92,189.49,45.47,44.71
tmin,2019,-13.41,-17.2,-6.83,1.31,6.86,13.3,17.16,13.81,13.1,1.41,-6.3,-8.41
tmax,2019,-3.12,-5.3,3.17,15.67,18.69,25.69,28.75,25.89,24.5,13.78,4.46,2.85
prec,2020,19.32,15.25,71.9,16.77,140.99,111.77,39.38,31.5,84.84,32.27,54.36,14.22
tmin,2020,-11.76,-11.6,-2.11,-0.59,7.24,15.74,16.22,13.65,8.51,0.38,-3.12,-9.61
tmax,2020,-2.57,0.14,9,15.06,19.6,27.85,29.41,28.67,22.82,13.35,11.67,2.24
prec,2021,26.42,21.85,70.11,13.98,108.47,44.46,34.55,139.45,48.26,137.93,33.28,19.56
tmin,2021,-10.25,-18.13,-1.26,2.13,8.15,15.02,15.41,14.73,9.96,5.91,-3.13,-7.06
tmax,2021,-1.22,-7.62,11.06,16.21,20.59,29.72,28.53,28.8,26.04,18.15,9.13,4.34
prec,2022,26.44,7.12,63.76,97.55,104.66,90.43,85.1,85.35,32.01,19.05,29.48,42.68
tmin,2022,-18.69,-14.96,-4.62,-1.41,8.73,14.25,16.29,14.83,10.1,0.68,-4.54,-11.67
tmax,2022,-3.85,-1.23,7.67,11.28,21.31,27.3,28.92,27.93,24.67,18.01,7.89,-3.06
prec,2023,64.27,50.55,44.97,41.66,79.76,87.12,40.9,98.81,52.34,87.89,2.8,42.42
tmin,2023,-10.95,-12.04,-5.72,0.3,8.39,13.54,14.14,15.38,11.36,4.59,-4.24,-4.7
tmax,2023,-1.9,0.78,4.77,16,23.76,27.26,28.2,28.14,25.71,17.76,10.43,5.36
prec,2024,39.12,9.91,82.31,74.42,217.93,95.26,132.84,61.47,22.87,27.94,76.97,1.27
tmin,2024,-11.24,-5.56,-4.19,1.85,7.7,14.94,15.39,14.61,10.11,3.44,-1.7,-12.78
tmax,2024,-4,9.04,10.74,16.37,22.28,27.57,27.01,26.54,26.74,21.96,9.25,0.63
