prec,2015,18.29,27.18,26.16,99.83,117.86,108.71,72.14,79.25,83.82,45.22,79.25,133.35
tmin,2015,-12.81,-18.55,-6.63,1.63,9,13.95,14.89,12.72,12.43,3.14,-1.57,-3.81
tmax,2015,-3.87,-7.9,5.77,15.19,19.3,24.92,26.2,24.66,25.57,16.46,8.3,2.78
prec,2016,24.38,21.35,110.74,41.15,87.12,177.04,271.78,257.56,283.72,72.9,35.56,66.8
tmin,2016,-13.41,-9.29,-2.13,1.95,7.76,14.37,16.15,15.91,12.46,4.87,0.1,-12.08
tmax,2016,-5.82,-0.84,8.55,13.45,20.63,26.59,26.32,26.69,23.87,17.65,12.16,-3.39
prec,2017,70.11,57.66,79.25,93.47,145.29,242.83,226.57,41.15,45.47,160.79,7.63,6.36
tmin,2017,-11.2,-6.65,-4.93,2.94,7.42,13.91,16.24,13.08,10.98,5.04,-4.98,-11.79
tmax,2017,-3.33,3.31,4.55,14.61,18.69,26.7,27.39,23.94,25.29,16.2,5.35,-1.68
prec,2018,63.25,44.7,65.53,74.93,244.86,214.88,151.13,217.43,373.38,121.42,58.17,80.52
tmin,2018,-14.75,-13.93,-5.54,-4.19,11.77,15.89,16,15.44,11.05,1.76,-7.15,-6.96
tmax,2018,-4.73,-3.97,3.67,6.7,23.91,26.69,26.61,26.15,22.74,12.51,0.76,0.13
prec,2019,41.4,81.28,32.52,98.3,239.27,176.79,116.08,73.66,121.41,146.56,57.67,30.48
tmin,2019,-14.61,-16.79,-7.96,1.43,6.85,13.81,17.69,13.45,12.61,1.52,-6.09,-8.08
tmax,2019,-5.69,-5.5,1.46,13.35,17.4,24.98,28.39,24.82,23.51,12.35,2.33,1.86
prec,2020,45.97,18.54,103.13,38.87,168.15,250.95,90.93,49.78,131.57,53.09,41.66,10.41
tmin,2020,-11.33,-13.37,-2.43,-0.5,7.63,14.85,16.69,14.31,8.96,0.46,-2.89,-8.98
tmax,2020,-2.65,-2.9,5.93,12.72,18.6,27,28.43,27.12,21.22,11.97,10.31,0.98
prec,2021,24.89,23.37,61.73,19.81,125.23,70.87,53.59,483.62,54.61,143.26,51.82,34.3
tmin,2021,-10.59,-17.41,-1.9,1.69,8.83,15.94,16.49,15.26,10.6,7.07,-3.43,-8.3
tmax,2021,-2.76,-8.62,8.75,13.81,20.69,29.25,27.43,27.02,24.48,18.3,8.15,2.56
prec,2022,22.61,7.63,71.38,101.61,112.78,112.52,72.14,211.07,33.27,33.02,54.87,53.61
tmin,2022,-18.28,-15.95,-3.97,-0.96,9.09,14.54,16.05,14.46,10.56,1.48,-4.09,-11.56
tmax,2022,-6.79,-3.13,5.89,9.24,21.42,27.04,27.62,26.15,23.27,16.81,6.96,-3.3
prec,2023,53.6,61.47,42.93,60.45,55.63,76.2,123.44,34.8,112.01,55.88,5.33,29.21
tmin,2023,-9.87,-11.73,-5.72,0.93,8.69,14.33,14.64,14.64,11.15,4.57,-4.33,-3.87
tmax,2023,-2.08,0.62,4.24,14.48,22.76,27.54,27.1,27.83,25.73,16.36,8.04,3.89
prec,2024,28.96,8.38,56.13,130.81,247.65,180.59,144.27,81.79,11.18,26.42,101.6,0.51
tmin,2024,-11.02,-5.63,-3.66,2.35,9.01,14.89,15.46,14.64,10.96,4.14,-1.54,-12.22
tmax,2024,-4.44,7.47,9.25,13.96,21.31,26.44,26.33,26.54,25.78,20.47,7.26,-0.97
