prec,2015,8.4,33.54,36.33,93.47,108.97,146.05,44.2,82.3,79.25,54.36,96.01,167.67
tmin,2015,-13.08,-18.35,-6.63,1.76,9.62,14.06,15.09,13.76,12.81,4,-0.25,-3.48
tmax,2015,-2.9,-6.79,5.88,15.89,20.43,25.09,26.92,25.91,25.78,16.92,9.27,3.85
prec,2016,12.97,25.68,81.04,28.97,145.54,189.99,192.02,214.63,273.81,66.81,45.98,56.4
tmin,2016,-12.9,-9.56,-2.51,1.63,8.84,14.5,16.58,16.04,12.37,5.28,0.69,-11.56
tmax,2016,-4.35,-0.34,9.03,14.24,20.81,27.07,27.63,26.93,23.72,17.13,12.52,-3.03
prec,2017,58.18,37.09,88.15,114.31,120.65,149.86,103.13,52.84,25.66,166.38,7.89,6.11
tmin,2017,-10.63,-6.63,-4.86,4.31,7.01,14.35,16.05,13,11.15,5.74,-4.1,-11.04
tmax,2017,-2.94,3.73,5.63,15.2,19.21,27.28,27.78,25.07,25.5,16.52,6.34,-1.22
prec,2018,36.84,43.19,26.68,86.62,227.84,188.72,95.51,150.62,310.9,114.05,64.52,48.27
tmin,2018,-14.48,-13.97,-5.08,-4,12.02,16.76,15.75,15.41,11.2,2.29,-6.56,-6.36
tmax,2018,-3.82,-2.38,5.88,8.2,23.89,26.63,28.57,27.65,23.65,13.92,2,0.91
prec,2019,51.33,74.44,34.81,94.75,190.76,167.39,117.36,68.59,219.2,150.89,62.75,48.53
tmin,2019,-14.23,-16.29,-7.47,1.98,7.61,14.15,18.1,13.94,13.28,2.49,-5.46,-7.06
tmax,2019,-4.77,-3.83,2.65,14.19,18.78,25.81,29.68,26.52,24.02,13.19,2.62,2.67
prec,2020,35.82,23.12,96.02,63.26,148.08,188.98,85.86,27.44,173.23,82.57,56.14,15.25
tmin,2020,-10.22,-12.74,-1.81,0.28,7.92,15.19,17.78,15.2,9.65,1.26,-0.63,-8.75
tmax,2020,-1.51,-1,7,13.46,19.41,27.16,29.77,28.48,21.41,13.39,11.37,1.51
prec,2021,26.43,13.47,60.71,15.76,58.94,174.75,48.26,228.86,69.85,106.43,54.62,37.6
tmin,2021,-10.9,-17.68,-1.09,2.15,8.76,16.71,16.94,15.67,10.96,7.44,-2.94,-7.26
tmax,2021,-1.76,-6.73,9.48,15.33,21.33,30.3,28.35,28.37,25.09,18.39,8.04,3.56
prec,2022,21.09,2.3,115.07,71.13,143.51,95.51,267.46,124.71,21.6,38.11,62.75,53.6
tmin,2022,-18.76,-14.86,-4.18,-0.31,9.7,14.37,16.63,14.57,11.11,2.13,-2.98,-11.72
tmax,2022,-5.36,-2.28,6.74,10.24,22.17,27.56,28.52,27.2,24.41,17.32,8.11,-3.15
prec,2023,53.6,62.24,42.17,59.19,94.24,60.96,115.06,24.65,92.47,103.39,2.8,43.19
tmin,2023,-9.71,-10.5,-5.29,1.53,8.87,13.48,14.87,15.57,12.59,4.93,-3.11,-2.7
tmax,2023,-1.27,0.79,5.79,15.34,23.32,28.31,28.26,29.37,25.67,17.49,8.81,4.65
prec,2024,53.35,14.23,41.15,115.83,255.53,193.06,108.72,68.59,7.12,49.02,117.1,0
tmin,2024,-10.3,-5.13,-3.35,2.54,9.8,15,15.98,15.3,11.19,4.39,-0.7,-11.87
tmax,2024,-3.39,7.95,9.91,15.19,22.37,27.17,27.76,28.02,27.04,21.11,8.83,-0.62
