prec,2015,9.65,12.2,8.39,36.33,109.22,116.33,83.57,145.8,95.26,52.32,140.21,43.7
tmin,2015,-11.81,-15.85,-5.72,2.07,7.99,14.43,15.75,14.09,13.01,4.33,-2.32,-6.94
tmax,2015,-1.86,-5,9.95,17.46,20.66,26.54,28.78,26.15,25.98,18.31,9.29,0.47
prec,2016,2.05,17.79,42.93,108.72,129.29,113.29,54.1,43.94,202.45,42.94,42.17,36.58
tmin,2016,-13.61,-7.6,-1.88,2.46,8.39,15.79,15.82,15.72,12.24,4.31,-1.15,-12.37
tmax,2016,-4.44,0.34,10.13,15.28,21.47,28.64,28.91,27.96,25.22,17.87,11.61,-2.22
prec,2017,15.75,10.41,30.23,53.59,99.07,77.22,27.18,132.84,85.6,122.94,0.52,19.05
tmin,2017,-10.43,-6.53,-4.22,2.7,7.56,14.43,16.93,13.39,11.21,2.93,-5.48,-11.36
tmax,2017,-2.99,4.9,5.52,15.13,20.14,28.26,30.21,25.39,24.66,16.54,7.02,-0.54
prec,2018,11.68,18.05,63.76,55.12,103.89,287.78,92.2,150.88,212.86,79,40.65,35.82
tmin,2018,-15.47,-16.45,-3.89,-3.43,11.48,17.45,16.59,14.89,12.43,1.13,-7.19,-8.19
tmax,2018,-4.61,-3.99,4.7,7.76,24.96,28.6,29.12,27.19,23.47,12.87,2.94,0.27
prec,2019,3.82,43.95,66.04,149.1,181.36,111.26,207.53,44.2,116.09,123.44,43.44,31.75
tmin,2019,-14.27,-18.04,-8.06,0.81,6.47,14.8,17.81,14.5,13.28,1.59,-5.89,-10.04
tmax,2019,-4.53,-7.8,3.11,13.81,18.05,27.02,29.21,26.67,24.61,12.42,4.41,-1.42
prec,2020,20.33,3.31,52.59,22.36,91.95,118.87,58.17,42.67,16.01,32.51,25.41,14.48
tmin,2020,-11.63,-11.45,-3.08,-1.09,8.15,16.96,17.31,15.43,9.26,-0.61,-3.43,-9.61
tmax,2020,-3.15,-0.4,7.91,14.02,18.87,30.09,30.72,29.43,22.92,12.67,9.93,2.76
prec,2021,17.79,4.33,51.82,67.57,83.57,38.61,93.48,127.51,88.39,89.92,4.57,28.96
tmin,2021,-8.75,-16.41,-2.78,0.74,8.48,15.25,16.67,15.65,10.74,5.73,-2.84,-8.52
tmax,2021,-0.39,-6.87,10.34,14.35,20.63,30.58,29.39,28.56,25.83,18.42,8.29,2.38
prec,2022,5.09,2.29,43.69,23.12,120.66,85.35,48.77,77.22,24.89,5.59,20.83,56.9
tmin,2022,-16.58,-15.2,-5.86,-1.88,8.44,14.8,17.01,15.18,9.72,1.43,-4.81,-13.44
tmax,2022,-2.24,-0.67,6.74,11.63,21.74,28.37,29.85,28.35,25.96,17.38,7.03,-5.13
prec,2023,41.4,26.92,27.69,53.09,27.18,87.38,67.56,81.28,26.17,86.36,0.77,39.12
tmin,2023,-12.62,-14.21,-8.35,0.61,9.6,15.79,14.43,15.73,12.11,4.19,-4.74,-5.25
tmax,2023,-4.05,-2.3,0.79,13.76,24.18,29.13,27.76,28.8,26.72,16.51,9.81,5.05
prec,2024,29.22,6.35,44.46,131.07,139.19,440.18,32.77,45.72,6.1,21.08,49.28,0.51
tmin,2024,-13.22,-5.53,-5.43,2.65,9.22,15.09,16.67,15.3,11.36,4.57,-2.7,-11.81
tmax,2024,-5.61,6.21,9.61,14.89,22.44,26.72,28.14,27.37,28.07,21.11,8.31,2.71
