prec,2015,8.39,12.21,10.17,84.08,112.53,80.27,90.43,199.9,93.48,48.51,120.4,68.84
tmin,2015,-11.61,-15.67,-4,3.22,9.18,15.09,15.74,13.85,13.26,4.66,-1.32,-6.09
tmax,2015,-2.5,-4.64,10.24,16.67,20.38,25.78,26.61,24.42,25,17.28,8.7,0.72
prec,2016,12.46,32.52,48.27,146.31,85.85,37.85,92.46,128.78,214.89,97.04,30.23,24.39
tmin,2016,-12.87,-7.62,-1.54,3.22,9.19,16.59,16.81,15.89,12.85,6.16,0.57,-10.36
tmax,2016,-4.14,-0.1,9.96,14.85,21.52,28.69,27.2,26.07,24.08,17.6,12.02,-1.31
prec,2017,23.38,16.01,35.06,99.07,94.5,61.22,16.26,110.75,67.56,108.72,6.1,7.14
tmin,2017,-9.25,-5.5,-3.15,4.37,8.17,14.93,17.41,13.73,12.43,4.77,-3.83,-10.86
tmax,2017,-1.92,4.96,5.93,15.04,21.06,27.81,29.48,24.46,25.17,15.57,7.78,-0.66
prec,2018,13.73,21.86,50.81,56.65,118.12,242.07,79.76,132.59,331.98,62.99,26.94,44.96
tmin,2018,-13.42,-13.95,-3.57,-3.28,12.47,17.44,16.49,15.89,12.41,2.44,-6.49,-7.93
tmax,2018,-2.85,-3.47,4.34,8.19,24.75,27.91,27.41,26.24,22.97,13.23,2.76,-0.46
prec,2019,3.57,62.49,54.11,103.38,205.5,92.96,96.01,44.2,110.24,93.48,43.95,27.44
tmin,2019,-13.49,-15.79,-6.46,2.67,7.78,15.07,17.6,14.77,14.3,1.77,-5.33,-8.39
tmax,2019,-3.66,-6.88,2.41,14.69,18.17,26.13,27.15,24.96,24.37,12.19,4.5,0.52
prec,2020,19.83,6.36,96.79,18.05,100.34,134.88,36.84,23.37,39.63,62.75,49.54,18.8
tmin,2020,-11.34,-10.58,-1.59,0.06,8.85,16.63,17.58,15.04,10.07,0.72,-2.74,-9.61
tmax,2020,-2.78,-0.32,8.28,14.35,19.09,29.35,29.98,28.96,23.02,12.63,10.09,2.26
prec,2021,25.91,50.04,52.84,29.46,110.75,47.75,95.25,105.93,61.22,161.04,8.9,18.04
tmin,2021,-10.09,-17.34,-2.85,1.19,7.7,13.95,15.23,15.02,10.23,5.52,-3.31,-7.74
tmax,2021,-0.74,-7.46,10.39,14.87,20.57,29.9,28.33,28.41,25.34,17.76,8.65,3.39
prec,2022,24.9,8.38,33.28,48.52,90.18,39.88,74.93,65.03,29.97,5.59,24.39,56.15
tmin,2022,-17.72,-15.02,-5.09,-1.87,7.9,13.51,16.31,14.44,9.83,0.88,-5,-12.83
tmax,2022,-2.57,-0.97,7.2,11.52,21.31,28.01,29.48,28.16,25.56,17.81,7.78,-4.3
prec,2023,57.67,45.21,25.15,48.52,134.37,102.11,131.07,107.19,50.55,188.22,2.29,49.28
tmin,2023,-11.92,-12.7,-6.97,0.69,8.37,14.19,14.34,15.57,11.35,4.23,-3.72,-5.04
tmax,2023,-2.51,-0.73,3.19,15.13,23.87,28.56,27.6,28.35,25.65,17.17,10.11,5.25
prec,2024,20.07,2.54,90.94,109.98,284.99,209.55,73.15,63.76,14.23,17.02,103.13,5.08
tmin,2024,-12.13,-5.23,-5.11,2.33,7.83,14.17,16.02,15.28,10.33,4.24,-2.13,-12.22
tmax,2024,-4.74,7.74,9.5,15.83,22.33,27.54,27.89,27.59,26.8,21.78,8.3,0.35
