prec,2015,4.34,0.54,14.23,64.27,93.74,58.43,75.7,139.96,65.54,34.55,110.76,48.27
tmin,2015,-11.18,-15.26,-4.41,2.09,8.98,14.24,15.07,14,13.11,4.28,-1.02,-6.9
tmax,2015,-1.65,-3.93,10.91,17.54,20.86,27.24,29.03,26.67,26.07,18.41,9.09,0.68
prec,2016,10.2,6.39,38.63,136.15,106.94,140.47,86.37,62.75,171.2,87.39,35.83,27.2
tmin,2016,-13.14,-7.64,-1.92,3.13,8.06,15.39,16.4,14.66,12.39,4.53,-0.96,-10.7
tmax,2016,-4.14,0.11,10.38,14.93,21.68,28.91,28.42,27.99,24.98,17.67,12.24,-1.33
prec,2017,14.24,10.68,34.56,76.97,109.23,77.47,15.76,159.02,83.57,87.64,5.59,1.31
tmin,2017,-9.23,-6.11,-4.5,3.58,7.24,13.77,16.33,12.96,11.39,3.84,-5.48,-11.91
tmax,2017,-1.94,4.98,6.2,15.44,21.45,29.08,30.78,25.74,25.89,16.11,7.93,-1.26
prec,2018,0.29,1.31,62.5,17.8,87.65,199.66,97.8,54.89,216.17,21.36,4.6,18.82
tmin,2018,-14.43,-15.65,-3.23,-3.35,12.08,17.39,16.93,15.27,12.66,1.63,-6.5,-8.28
tmax,2018,-2.65,-3.99,4.62,8.48,25.61,28.28,29.41,28.12,24.33,13.64,3.04,0.13
prec,2019,1.05,20.08,36.09,120.66,163.08,84.6,97.3,37.61,117.87,112.54,41.93,24.66
tmin,2019,-13.51,-15.91,-6.57,2.48,8.03,14.65,18.1,14.89,14.57,1.74,-4.65,-9.19
tmax,2019,-3.84,-6.25,3.37,15.22,19.28,27.48,29.39,27.46,26.07,13.15,5.44,0.32
prec,2020,24.39,5.59,66.3,17.29,125.74,74.18,34.29,12.45,25.92,42.18,23.88,10.42
tmin,2020,-10.79,-10.77,-1.67,-0.72,8.48,16.93,16.63,14.96,9.5,-0.14,-3.04,-10.09
tmax,2020,-2.03,0.02,8.85,15.54,19.94,30.44,31.13,30.89,24.56,13.42,11.04,3.05
prec,2021,16.53,12.21,40.65,56.41,78.75,40.4,82.3,153.93,106.18,89.92,14.23,11.7
tmin,2021,-9.52,-16.96,-1.36,1.67,8.44,15.41,16.06,15.72,10.31,5.61,-2.84,-8.53
tmax,2021,-0.32,-6.94,10.8,16.07,21.52,31.52,29.91,29.09,26.49,18.76,10.08,3.58
prec,2022,8.91,9.16,40.15,56.14,88.91,81.29,70.11,89.42,15,2.81,31.25,62
tmin,2022,-17.17,-14.4,-3.85,-0.21,9.19,15.06,16.94,15.31,10.13,0.97,-4.94,-12.1
tmax,2022,-1.97,-0.22,7.47,12.91,22.83,29.39,30.59,29.16,27.15,19.55,7.7,-3.17
prec,2023,32.54,33.79,39.13,30.75,120.4,89.42,28.47,94.5,6.62,135.4,0.78,34.05
tmin,2023,-12.51,-12.14,-6.16,1.78,10.11,16.13,14.52,16.61,12.17,4.86,-3.52,-5.05
tmax,2023,-2.96,-0.62,3.76,16.17,25.44,29.43,29.16,29.32,27.48,17.62,11.3,6
prec,2024,15.5,4.84,59.7,112.02,177.55,271.29,47.27,67.33,23.63,26.16,70.12,0.01
tmin,2024,-11.13,-4.83,-4.23,3.04,9.44,15.67,17.51,15.41,10.83,4.5,-1.31,-9.68
tmax,2024,-3.03,8.72,10.86,17.31,23.66,28.24,29.28,28.37,28,22.09,8.96,5.63
