prec,2015,5.09,42.17,8.4,56.41,158.76,158.24,325.88,74.18,104.14,42.94,148.85,143.53
tmin,2015,-10.43,-14.67,-2.42,4.89,10.65,16.17,17.56,15.82,14.6,6.37,1.43,-1.99
tmax,2015,1.72,-2.57,11.13,17.98,20.76,26.47,27.85,26.99,26.61,19.21,12.32,6.09
prec,2016,20.08,36.59,44.46,69.1,79.76,26.16,142.25,101.6,83.31,21.6,17.79,26.68
tmin,2016,-10.02,-5.73,0.82,4.67,9.41,16.69,17.72,17.76,14.31,8.23,2.07,-9.09
tmax,2016,-1.28,4.13,13.1,16.8,20.95,29.63,28.45,28.11,26.32,20.07,14.96,1.06
prec,2017,38.36,5.59,62.49,165.61,96.02,50.3,38.36,122.94,40.64,122.18,7.12,12.72
tmin,2017,-7.28,-3.61,-1.59,5.52,9.12,14.98,18.85,14.27,13.28,6.86,-3.22,-8.55
tmax,2017,1.08,10.42,11.09,16.9,21.27,28.59,31.4,27.22,27.5,18.76,9.37,2.47
prec,2018,41.4,33.79,43.19,13.47,89.92,223.77,46.49,160.53,156.47,158.51,38.11,54.12
tmin,2018,-11.88,-9.76,-2.03,-1.59,14.43,17.47,17.16,17.28,14.07,4.57,-5.37,-5.22
tmax,2018,-1.02,2,7.53,11.59,26.99,28.81,29.87,29.73,25.43,16.15,4.11,4.22
prec,2019,51.08,79.77,75.96,67.32,344.94,153.42,70.1,75.95,274.32,78.23,17.79,24.13
tmin,2019,-10.66,-12.42,-4.13,3.97,8.85,15.13,18.59,16.24,15.28,3.46,-4.33,-5.05
tmax,2019,-0.9,-2.66,5.67,17.2,19.75,26.43,30.17,27.24,27,15.22,6.87,6.04
prec,2020,52.84,5.86,64.53,72.15,111.52,116.08,139.45,18.8,127,57.15,85.85,30.99
tmin,2020,-8.37,-8.1,-0.25,2.06,9.61,16.84,19.09,16.31,10.85,3.14,-0.57,-6.76
tmax,2020,0.67,3.03,11.49,15.63,19.52,27.84,29.73,29.31,22.74,15.32,13.41,3.87
prec,2021,54.36,17.02,76.46,49.28,117.6,110.75,156.21,52.08,55.63,186.44,76.46,12.7
tmin,2021,-8.04,-14.42,0.96,3.37,9.71,16.15,18.31,17.96,12.56,8.13,-0.98,-3.85
tmax,2021,0.43,-4.64,13.06,16.07,20.7,28.35,28.75,29.65,27.2,19,10.9,8.19
prec,2022,32.53,9.16,72.39,86.12,95.01,145.8,66.8,32.78,75.19,39.12,97.04,56.14
tmin,2022,-14.57,-11.31,-3.03,1.35,10.99,16.19,18.12,17.38,12.49,3.83,-2.52,-9.18
tmax,2022,-2.22,2.94,10.75,13.8,21.76,28.22,29.48,29.68,25.82,19.98,10.02,0.81
prec,2023,38.61,66.55,29.98,32.01,87.12,23.88,93.98,165.1,66.55,69.6,14.74,66.3
tmin,2023,-6.22,-7.9,-3.19,2.89,10.56,15.1,17.15,17.3,12.57,6.72,-2.44,-1.42
tmax,2023,3.11,5.56,7.98,18.03,23.93,28.66,28.83,27.89,26.26,19.35,11.04,6.85
prec,2024,65.53,3.81,48.51,115.58,265.44,87.13,56.4,91.7,39.88,57.91,75.7,0.01
tmin,2024,-9.77,-4.12,-0.44,4.63,10.8,16.82,17.15,16.45,12.7,6.8,0.79,-10
tmax,2024,-2.56,11.53,13.04,17.59,23.78,28.93,28.3,28.32,26.63,22.97,10.86,1.74
