prec,2015,2.54,35.06,10.67,86.11,131.57,205.74,263.4,75.69,105.16,46.99,110.74,160.02
tmin,2015,-11.28,-15.69,-4.89,2.74,9.39,14.56,16.53,14.35,13.74,3.75,-0.13,-2.69
tmax,2015,1.41,-3.1,10.86,18.19,21.09,26.39,28.3,26.83,26.93,18.39,12.65,6.2
prec,2016,15.75,88.39,33.02,103.63,91.7,44.2,168.15,106.43,89.41,33.02,24.38,30.99
tmin,2016,-11.18,-7.28,-0.79,2.93,7.65,15.48,16.65,16.57,13.35,6.85,-0.63,-9.31
tmax,2016,-1.36,3.62,12.58,16.8,21.43,29.89,27.97,27.8,26.41,20.11,14.98,0.25
prec,2017,46.49,6.86,72.65,199.39,121.41,72.9,7.62,122.18,152.15,153.42,9.91,7.37
tmin,2017,-7.28,-5.99,-2.39,4.19,7.29,12.55,17.09,11.98,11.57,6.59,-4.57,-9.83
tmax,2017,0.86,9.71,10.13,17.06,21.51,28.58,31.52,27.72,26.67,18.63,9.35,2.61
prec,2018,30.23,32.51,47.5,22.61,133.6,104.39,31.24,152.4,171.2,190.75,82.55,56.64
tmin,2018,-13.1,-11.3,-3.05,-2.11,12.85,16.93,15.41,15.63,12.82,3.15,-6.53,-8.21
tmax,2018,-1,0.84,8.21,12.24,26.59,29.16,29.94,30.05,24.54,16,4.33,3.91
prec,2019,65.29,61.21,68.07,66.55,256.03,65.79,86.87,171.96,123.95,80.26,34.54,24.89
tmin,2019,-11.67,-14.11,-5.29,2.2,7.65,14.38,17.44,14.53,14.57,2.36,-5.91,-6.98
tmax,2019,-0.67,-2.92,5.73,17.26,19.8,26.51,29.94,27.44,26.39,15.34,6.92,5.09
prec,2020,50.55,5.35,66.56,64.01,131.83,138.94,93.73,34.29,93.98,59.18,78.23,38.61
tmin,2020,-9.03,-9.07,-1,1.69,8.69,16.5,18.07,14.54,9.33,1.06,-1.15,-8.63
tmax,2020,0.41,2.6,11.69,15.22,19.59,27.83,29.64,28.93,22.74,15.67,13.41,4.37
prec,2021,41.15,19.05,79.76,26.67,109.48,167.9,295.4,49.03,23.88,179.07,49.79,21.6
tmin,2021,-9.8,-15.6,0.32,2.81,9.29,15.09,16.99,16.74,12.17,6.95,-1.69,-4.91
tmax,2021,0.48,-5.38,12.4,15.67,20.69,28.65,28.37,28.96,27.07,18.73,10.8,7.96
prec,2022,35.06,4.84,100.08,88.4,79.51,85.35,56.65,51.82,128.78,33.78,104.4,51.57
tmin,2022,-15.66,-11.65,-3.26,0.54,10.61,15.17,17.63,16.65,11.8,1.77,-3.07,-10.17
tmax,2022,-2.54,2.44,9.71,13.31,21.97,28.46,30.05,29.9,25.98,19,9.83,0.44
prec,2023,34.05,61.22,49.79,30.99,45.97,57.92,56.13,58.17,62.75,60.97,13.72,54.11
tmin,2023,-7.33,-8.77,-3.55,1.52,8.44,13.06,15.52,16.8,12,5.25,-3.51,-2.03
tmax,2023,1.81,5.23,7.47,17.96,24.57,29,29.16,28.96,26.98,18.91,10.75,6.85
prec,2024,60.71,2.54,52.33,108.97,219.71,117.36,77.22,74.18,26.67,66.55,81.54,0
tmin,2024,-10.18,-5.21,-1.29,3.56,9.57,15.46,16.36,15.77,9.46,4.48,0.35,-9.72
tmax,2024,-2.6,11.13,12.53,17.24,23.54,28.83,28.26,27.83,26.35,22.54,10.48,2.71
