prec,2015,6.35,33.27,18.54,78.75,146.57,166.88,217.42,76.46,129.54,37.08,101.86,106.43
tmin,2015,-11.86,-15.4,-4.5,2.95,10.57,16.15,17.58,15.19,14.2,4.5,0.35,-2.61
tmax,2015,2.04,-2.06,12.17,18.68,21.79,27.43,29.62,28.05,28.12,19.77,12.96,5.65
prec,2016,19.82,28.97,98.81,66.29,101.6,71.88,168.15,79.76,139.45,21.08,25.4,34.04
tmin,2016,-10.24,-6.37,-0.15,4.3,8.73,16.84,17.02,17.83,14.44,7,0.2,-9.3
tmax,2016,-0.41,4.94,14.04,17.5,21.85,30.77,28.06,29.22,27.15,21.15,15.04,1.5
prec,2017,23.88,8.13,81.04,124.46,104.15,42.42,23.63,64.26,81.53,170.44,8.38,8.64
tmin,2017,-7.13,-4.62,-2.13,5.23,8.6,13.94,19.06,14.12,12.98,7.04,-3.79,-9.44
tmax,2017,1.16,9.84,11.52,17.87,22.28,30.35,32.61,28.62,28.08,18.82,10.14,2.83
prec,2018,25.65,25.4,57.42,16.77,93.73,242.83,66.04,93.98,202.44,163.58,43.44,67.32
tmin,2018,-12.56,-10.62,-2.06,-2.15,13.87,18.17,17.59,17.11,13.63,3.39,-5.99,-6.27
tmax,2018,-0.93,1.13,8.05,12.13,27.6,29.72,30.81,30.71,25.57,16.04,5.06,4.25
prec,2019,43.44,50.05,67.82,47.76,268.74,84.08,62.48,132.59,134.12,88.65,23.11,23.89
tmin,2019,-11.76,-14.52,-4.74,3.35,8.6,15.39,19.03,16.09,14.83,2.69,-4.57,-5.36
tmax,2019,-1,-2.9,5.87,17.76,20.07,27.57,31.43,28.39,28.17,15.5,7.26,6.09
prec,2020,44.97,3.57,74.93,63.51,125.74,63.76,107.44,17.02,96.01,39.88,59.44,47.25
tmin,2020,-8.96,-8.72,-0.02,1.72,9.66,17.26,19.32,15.68,10.31,2.06,-1.32,-8.33
tmax,2020,0.72,3.51,11.92,15.85,20.34,29.44,31.65,30.34,23.98,15.41,14.21,3.91
prec,2021,34.04,15.5,86.11,50.8,109.23,104.14,182.63,49.79,86.62,188.48,36.33,9.41
tmin,2021,-8.8,-15.14,0.59,3.33,10,16.85,18.23,17.99,12.68,7.46,-1.09,-4.19
tmax,2021,1.34,-4.52,13.3,16.35,21.35,30.3,29.89,31,28.43,19.34,11.35,7.94
prec,2022,35.57,5.1,65.03,63.76,93.22,91.95,30.74,51.57,111.26,34.04,97.03,51.57
tmin,2022,-14.52,-10.86,-3.01,0.83,11.68,16.46,19.14,17.47,12.67,2.96,-2.61,-9.62
tmax,2022,-1.49,3.74,10.39,14.11,22.47,29.57,31.28,31.58,26.87,19.66,9.96,0.7
prec,2023,34.81,62.49,34.55,50.55,50.04,60.71,95.26,121.17,51.82,47.51,9.66,61.73
tmin,2023,-6.81,-8.43,-3.26,3.15,10.61,15.69,17.58,17.74,12.74,5.86,-3.12,-1.85
tmax,2023,2.04,5.71,7.83,18.28,25.18,30.04,29.7,29.55,27.89,19.48,11.23,6.9
prec,2024,53.85,3.3,45.47,89.92,186.44,90.68,62.74,108.21,41.66,71.12,83.82,0
tmin,2024,-9.84,-4.54,-1.41,4.31,10.61,18.01,18.33,17.17,12.24,5.56,0.63,-9.31
tmax,2024,-2.29,11.76,13,18.39,24.2,29.92,29.81,29.15,27.69,23.26,11.26,2.71
