prec,2015,39.12,22.36,7.62,40.65,117.86,220.22,190.25,88.15,27.69,52.59,151.89,114.56
tmin,2015,-8.67,-13.49,-1.61,6.09,12.62,17.63,18.98,16.92,15.52,7.37,2.39,0.5
tmax,2015,0.93,-3.04,10.52,19.43,23.33,27.31,28.69,27.62,27.8,19.03,12.54,7.5
prec,2016,13.72,21.35,81.54,82.81,76.21,26.93,185.68,127.76,82.05,60.71,44.45,24.9
tmin,2016,-8.28,-4.56,2.67,6,11.13,17.72,19.02,19.14,15.42,9.71,3.48,-6.15
tmax,2016,0.2,4.69,12.81,17.15,22.47,30.22,28.18,28.6,27.15,20.79,13.78,0.99
prec,2017,37.1,10.17,75.7,152.15,84.33,28.2,139.95,115.83,3.3,127.51,24.9,8.4
tmin,2017,-5.2,-1.49,1.06,7.8,11,16.83,18.98,15.23,13.49,9.03,-1.15,-7.24
tmax,2017,2.08,10.95,10.59,18.74,22.5,29.28,30.83,26.78,26.97,19.28,9.91,2.33
prec,2018,15.51,88.4,73.66,15,80.27,124.21,66.3,97.54,152.91,145.29,71.64,60.46
tmin,2018,-9.78,-7.3,-1.61,0.7,15.54,19.02,18.32,18.3,14.94,6.18,-3.04,-3.66
tmax,2018,0.48,3.23,8.48,13.06,27.99,29.96,29.27,29.68,26.44,16.85,4.69,4.87
prec,2019,60.97,51.06,85.61,112.03,261.63,107.95,37.85,88.9,209.05,57.67,30.49,28.46
tmin,2019,-10.43,-8.61,-2.06,5.54,11.34,16.98,20.47,17.85,17.28,5.04,-2.35,-3.64
tmax,2019,-0.93,0.79,7.83,16.85,21.34,27.59,31.29,27.99,27.2,15.97,7.35,6.45
prec,2020,53.35,7.12,59.95,64.02,108.46,152.66,71.38,7.63,105.16,31.25,50.55,46.24
tmin,2020,-5.93,-5.42,2.1,3.63,10.57,17.81,19.91,17.33,13.3,4.52,1.43,-5.25
tmax,2020,1.67,3.66,11.22,15.93,20.38,28.89,30.59,30.22,25.34,15.93,12.54,4.1
prec,2021,53.61,25.67,65.79,124.47,146.57,131.58,148.59,98.3,65.28,116.6,4.33,16.52
tmin,2021,-6.06,-12.58,2.38,6.06,10.88,17.91,18.69,18.98,14.28,10.07,-0.5,-2.43
tmax,2021,0.41,-4.29,12.33,16.87,20.5,28.83,28.46,29.56,27.49,19.18,10.96,8.54
prec,2022,24.39,38.62,63.76,81.04,85.85,67.83,57.41,25.91,130.3,48.51,32.27,22.87
tmin,2022,-13.37,-9.46,-0.41,3.74,13.03,17.15,18.42,17.76,13.37,4.19,-0.7,-7.01
tmax,2022,-1.92,2.16,9.89,14.41,23.49,28.96,29.12,28.87,25.22,18.26,10.5,2.19
prec,2023,44.97,59.95,75.96,30.74,75.44,76.71,166.12,192.03,42.43,66.05,13.98,56.64
tmin,2023,-4.46,-4.8,-0.86,4.15,11.52,16.07,18.09,17.94,14.37,7.49,-0.76,-0.14
tmax,2023,2.5,6.94,9.16,18.65,24.86,28.46,29.09,28.17,26.42,18.39,11.44,7.01
prec,2024,63.51,2.8,141.23,178.06,76.97,75.69,211.07,65.03,15.49,50.04,61.48,0.01
tmin,2024,-7.89,-2.28,2.01,6.57,12.96,17.84,18.12,17,13.41,7.13,2.44,-7.92
tmax,2024,-1.68,11.32,13.41,17.69,24.94,29.07,27.85,28.2,26.57,21.9,10.91,3.06
