prec,2015,25.92,43.69,11.69,42.42,125.74,290.07,223.27,68.33,48.01,54.36,131.32,137.42
tmin,2015,-9.77,-13.57,-2.91,5.46,12.22,16.91,18.71,16.88,15.84,6.57,2.59,-0.22
tmax,2015,0.75,-2.12,10.44,19.96,23.64,27.61,29.46,28.98,29.4,19.77,13.16,7.89
prec,2016,15.76,29.98,58.68,68.07,71.88,13.47,164.09,185.67,41.92,67.57,59.19,38.36
tmin,2016,-8.83,-5.04,1.94,5.85,10.88,17.78,18.78,19,15.13,8.87,2.68,-7.24
tmax,2016,0.41,5.21,13.37,18,22.91,31.78,29.55,29.37,28.18,21.51,15.1,1.61
prec,2017,52.59,6.1,87.39,133.1,65.53,23.12,58.17,67.83,67.31,115.58,21.09,10.68
tmin,2017,-5.81,-2.4,-0.13,6.59,10.67,15.8,18.28,15.14,12.78,7.89,-1.91,-7.56
tmax,2017,2.28,10.75,11.49,18.72,22.89,30.28,32.46,28.85,27.89,18.98,9.63,3.37
prec,2018,18.81,81.8,103.63,16.01,61.22,86.11,79.25,122.94,203.96,164.85,71.88,41.4
tmin,2018,-11.29,-8.69,-2.19,-0.61,15.26,18.7,18.07,17.93,14.5,5.39,-3.63,-4.7
tmax,2018,-0.14,3.47,8.67,13.16,28.48,30.52,30.5,30.77,26.61,17.56,5.24,4.55
prec,2019,80.27,67.57,103.13,55.38,329.95,115.83,59.94,83.57,222.25,64.52,38.1,37.35
tmin,2019,-9.57,-10.26,-3.46,4.94,10.75,16.67,20.18,17.24,16.2,4.67,-3.14,-3.73
tmax,2019,0.07,0.28,7.74,17.48,21.16,27.85,32.37,29.07,27.72,16.44,7.85,7.19
prec,2020,61.99,14.23,81.53,84.58,109.99,117.1,155.2,7.37,124.97,20.07,83.57,66.81
tmin,2020,-6.88,-6.48,0.89,3.56,10.75,17.74,20.52,16.92,12.09,4.86,1.51,-6.06
tmax,2020,2.29,3.89,11.52,15.96,20.34,29.15,30.78,30.02,24.61,16.33,14.52,4.61
prec,2021,55.64,22.61,82.3,131.57,172.47,121.92,119.38,73.92,77.48,123.7,13.98,22.11
tmin,2021,-6.85,-12.46,1.65,4.69,10.63,17.78,19.04,18.43,13.98,9.81,-0.91,-3.3
tmax,2021,1.33,-3.67,13.37,17.06,21.29,29.46,29.6,30.44,28.2,19.91,10.94,8.82
prec,2022,20.33,29.73,97.79,118.87,89.92,55.63,43.19,34.55,152.15,38.87,52.83,31.5
tmin,2022,-14.48,-10.26,-1.42,2.87,12.35,17.57,18.72,17.8,13.08,3.84,-1.35,-7.83
tmax,2022,-2.74,2.22,10.75,14.37,23.84,29.52,30.24,30.13,26.15,18.73,11.22,1.76
prec,2023,57.67,85.34,104.4,39.63,84.58,38.86,167.39,134.11,32.26,79.26,17.28,82.05
tmin,2023,-5.24,-6.21,-1.61,4.26,11.43,16.11,18.39,18.11,13.66,7.29,-1.9,-0.59
tmax,2023,3.43,6.63,9.07,18.96,24.52,29.14,29.96,28.83,26.74,19.68,11.13,7.58
prec,2024,83.83,2.8,102.62,208.03,97.28,83.82,201.68,77.98,26.16,54.87,72.14,2.54
tmin,2024,-8.93,-3.1,0.43,5.85,12.92,18.28,18.24,17.46,13.45,6.85,1.72,-9.51
tmax,2024,-2.26,11.34,13.35,18.02,25.07,29.87,28.63,28.57,26.65,22.99,11.44,1.11
