prec,2015,22.36,43.44,9.15,76.46,118.88,159.52,210.83,60.46,71.88,40.39,143.26,117.88
tmin,2015,-10.5,-14.05,-3.46,5.5,11.54,16.31,18.32,16.31,15.06,6.11,2.41,-0.22
tmax,2015,-0.07,-3.41,9.73,18.1,22.06,26.31,28.06,27.02,27.22,18.11,12.31,7.35
prec,2016,6.61,22.11,64.53,50.56,95.01,29.72,196.09,235.47,22.86,66.3,17.79,31.25
tmin,2016,-9.23,-4.83,1.56,4.92,10.63,16.98,18.09,18.8,15.35,8.8,2.52,-6.86
tmax,2016,-0.68,3.83,11.9,16.46,21.51,29.96,28.28,28.26,26.98,19.93,14.69,0.48
prec,2017,36.85,7.37,64.53,132.34,78.23,22.35,28.96,37.86,155.2,117.87,20.08,13.47
tmin,2017,-6.51,-3,-0.91,6.24,9.41,15.54,18.47,14.96,13.29,8.23,-1.32,-7.2
tmax,2017,1.22,9.31,9.77,16.96,20.79,29,31.63,27.76,27.58,18.35,9.21,2.37
prec,2018,10.42,59.45,80.53,16.52,103.13,126.25,51.82,151.9,127.51,117.11,83.32,39.13
tmin,2018,-8.19,-9.15,-2.39,-0.71,14.53,18.04,17.63,17.74,14.14,4.94,-4.02,-5.31
tmax,2018,-0.68,1.19,7.63,11.63,26.86,28.83,29.07,29.16,24.92,15.75,3.69,3.24
prec,2019,74.69,80.53,62.49,71.39,292.87,87.13,55.12,73.66,195.34,50.05,29.22,23.38
tmin,2019,-10.79,-12,-4.28,3.85,8.62,15.54,19.12,15.34,14.92,2.99,-3.37,-3.91
tmax,2019,-1.72,-1.75,5.57,15.91,19.34,26.37,30.64,27.31,26.13,14.06,5.83,5.46
prec,2020,63.52,8.14,81.81,61.23,136.42,183.4,95.51,8.9,131.07,46.49,79.76,63.76
tmin,2020,-6.72,-6.39,0.52,2.2,8.84,16.3,19.42,15.57,9.67,2.6,1.07,-4.68
tmax,2020,0.81,2.34,9.35,14.23,19.23,27.85,29.53,29.2,22.91,13.67,12.22,2.71
prec,2021,56.14,26.17,70.87,106.44,123.7,162.82,130.31,8.14,53.34,144.29,15.25,20.84
tmin,2021,-5.48,-12.4,0.91,3.83,9.62,16.61,18.46,18.1,14.07,9.55,-0.65,-3.33
tmax,2021,0.27,-5.3,11.16,15.07,19.96,28.3,28.39,29.64,27.1,19.32,10.36,8.22
prec,2022,33.79,9.66,97.8,73.68,75.2,61.48,32.27,35.82,103.64,38.87,92.21,34.05
tmin,2022,-14.96,-9.79,-1.56,2.85,12.51,16.96,19.09,17.78,13.52,4.13,-0.8,-8.26
tmax,2022,-3.11,2.96,10.67,13.51,23.01,29.02,30.09,30.22,26.02,18.56,10.56,1.31
prec,2023,56.91,88.4,72.15,35.82,44.71,67.82,70.1,122.43,57.67,68.84,8.9,82.56
tmin,2023,-5.52,-6.43,-2.01,3.98,10.93,15.61,17.96,18.01,14.44,7.48,-0.61,-1.33
tmax,2023,2.56,5.68,8.17,18.13,24.2,29.06,29.17,28.78,26.43,19.24,11.07,7.87
prec,2024,103.39,5.59,57.16,201.94,148.35,108.21,219.21,65.54,13.72,71.38,59.19,0.76
tmin,2024,-9.31,-3.55,1.31,6,12.19,18.17,18.2,17.29,13.05,6.25,1.67,-9.65
tmax,2024,-2.45,10.77,12.65,17.48,24.37,29.19,28,27.72,26.55,22.24,10.9,1.25
