prec,2015,29.98,31.5,5.34,40.9,130.06,231.65,199.9,71.12,36.07,50.04,129.8,98.04
tmin,2015,-8.78,-13.1,-1.87,5.98,11.67,16.37,18.39,17.97,16.4,8.33,2.56,0.36
tmax,2015,0.75,-3.08,9.85,18.33,21.43,25.02,26.9,27.45,27.01,18.47,12.24,7.35
prec,2016,14.48,21.59,58.43,73.92,66.81,13.97,169.67,148.34,33.03,76.46,48.27,32.01
tmin,2016,-7.65,-4.23,2.72,6.44,10.93,17.41,18.91,19.95,16.69,10.57,4.58,-6.09
tmax,2016,0.72,4.25,11.86,16.02,20.46,28.66,27.22,28.76,26.87,20.41,13.79,1.26
prec,2017,49.28,11.18,84.85,155.19,63.75,36.32,144.02,82.8,7.87,149.11,31.75,8.89
tmin,2017,-4.89,-1.36,1.69,8.22,11.44,17.48,19.73,16.42,14.46,9.55,-0.31,-6.22
tmax,2017,2.24,9.94,10.31,18.18,22.48,29.52,31.47,27.33,27.39,18.96,9.54,2.33
prec,2018,11.69,101.61,100.84,26.16,62.48,125.22,53.09,107.7,130.81,173.74,77.99,64.52
tmin,2018,-9.29,-7.06,-0.76,1.2,16.33,19,19.26,19.77,15.26,7.09,-2.7,-3.37
tmax,2018,0.31,2.9,8,12.78,27.37,29.43,29.43,29.75,25.5,16.83,5.25,4.98
prec,2019,51.58,68.33,116.85,94.24,230.89,156.72,13.97,91.7,177.8,49.02,36.08,40.65
tmin,2019,-9,-8.89,-1.63,6.28,11.54,17.16,20.94,18.49,17.72,5.82,-1.69,-2.81
tmax,2019,-0.57,0.78,7.97,16.44,20.59,26.57,30.9,28.03,26.9,15.34,7.56,6.58
prec,2020,104.9,11.18,78.75,72.9,148.85,129.29,81.79,20.58,109.22,47.76,65.03,64.77
tmin,2020,-5.32,-5.04,2.44,4.74,11.04,18.74,20.91,18.64,13.43,5.82,2.41,-4.43
tmax,2020,1.81,3.81,11.54,15.46,20.47,28.57,30.3,29.1,23.16,16.45,13.2,4.75
prec,2021,68.08,26.92,101.86,167.39,201.42,143,114.81,96.01,61.72,147.32,7.12,21.09
tmin,2021,-4.8,-11.85,2.94,6.53,11.61,18.8,19.93,19.91,16.03,11.27,0.88,-0.96
tmax,2021,1.16,-3.33,12.29,16.93,20.2,28.54,28.07,29.34,27.58,19.41,11.38,9.04
prec,2022,17.53,43.19,97.28,113.03,97.79,32.26,52.32,27.18,117.86,49.28,50.29,32.77
tmin,2022,-11.29,-8.57,0.43,4.85,13.76,18.98,19.94,19.22,14.83,5.93,0.17,-6.3
tmax,2022,-0.99,3.1,10.28,14.87,23.35,29.11,29.73,29.5,25.67,18.72,10.41,2.76
prec,2023,48.01,76.2,101.85,35.81,72.14,40.9,83.06,138.18,34.8,80.52,15.24,81.03
tmin,2023,-4.48,-3.97,-0.05,5.33,9.91,15.44,19.56,19.13,15.8,8.74,1.03,-0.82
tmax,2023,3.46,7.26,9.3,18.04,24.07,28.43,29.8,28.8,26.82,18.81,11.51,6.27
prec,2024,93.22,2.03,109.73,172.97,81.79,43.43,166.88,66.8,26.92,48.26,59.94,0.51
tmin,2024,-6.94,-5.69,1.29,7.13,13.56,18.97,19.21,18.53,15.12,6.9,1.13,-6.87
tmax,2024,-1.16,11.9,13.67,18.17,24.66,29.02,28.28,28.43,26.77,22.13,9.74,4.65
