prec,2015,21.84,48.77,14.48,56.13,131.57,232.16,180.09,56.39,36.83,48.26,159.51,114.81
tmin,2015,-8.24,-12.58,-2.65,6.55,12.46,17.24,18.89,17.26,16.19,7.82,2.72,0.33
tmax,2015,0.61,-1.41,9.32,19.23,23.28,27.04,28.46,27.78,28.09,18.79,13.15,8.58
prec,2016,12.95,21.59,66.55,101.35,88.39,34.8,143,126.49,54.1,122.17,32.51,34.8
tmin,2016,-8.55,-4.84,2.6,6.3,11.36,18.33,19.43,19.83,15.79,10.52,4,-6.2
tmax,2016,0.66,4.75,13.26,17.39,22.24,30.44,28.89,28.85,27.14,20.7,14.6,1.67
prec,2017,37.08,8.38,85.34,128.27,80.52,51.56,47.75,107.95,3.56,117.6,27.69,18.8
tmin,2017,-5.06,-1.69,0.63,7.48,10.56,16.8,19.35,16.19,13.93,9.08,-0.08,-5.88
tmax,2017,2.57,10.44,10.86,18.56,22.02,28.89,31.04,26.98,26.76,18.93,9.94,3.87
prec,2018,33.02,107.7,99.82,26.42,46.23,132.59,76.71,175.51,156.21,181.86,93.73,36.07
tmin,2018,-9.78,-7.08,-0.54,0.72,16.02,19.43,19.56,19.91,16.19,6.5,-2.35,-3.47
tmax,2018,0.39,3.45,8.35,12.59,27.96,29.6,29.48,29.75,26.19,16.85,5.3,4.9
prec,2019,85.09,41.4,134.62,50.04,334.52,203.2,61.98,133.6,177.29,92.2,37.34,45.47
tmin,2019,-8.41,-8.67,-2.57,5.48,11.34,17.03,20.98,18.33,17.26,6.22,-2.48,-2.92
tmax,2019,0.39,0.71,7.37,17.64,21.02,26.8,31.13,28.07,27.22,16.4,7.44,7.2
prec,2020,57.66,22.1,96.01,92.71,85.09,74.93,142.49,16.26,119.38,40.64,67.06,52.07
tmin,2020,-5.59,-5.86,1.79,3.26,10.73,18.14,20.87,18.39,13.41,5.32,2.85,-4.83
tmax,2020,2.06,3.39,10.97,16.13,20.59,29,29.87,28.83,23.59,16.16,14,4.46
prec,2021,53.09,36.32,107.7,154.69,153.42,100.08,184.66,66.04,44.7,144.78,11.68,27.94
tmin,2021,-5.65,-12.36,3.02,6.15,11.76,18.35,20.27,19.91,15.57,11.27,0.49,-1.09
tmax,2021,1.19,-3.89,13.13,16.88,20.78,28.33,28.3,29.13,27.28,19.77,10.76,9.31
prec,2022,19.3,66.29,93.73,87.88,102.11,102.11,97.28,15.24,155.96,65.28,47.5,45.21
tmin,2022,-11.92,-8.99,-0.16,3.85,13.26,18.26,20.12,19.71,14.66,5.56,0.25,-6.11
tmax,2022,-1.77,2.96,10.68,14.26,23.62,28.59,29.31,28.78,25.57,18.24,11.74,2.37
prec,2023,62.23,88.65,91.19,50.04,66.04,37.85,91.44,202.95,20.83,76.45,15.75,65.53
tmin,2023,-4.48,-5.09,-0.59,5.1,12,16.82,19.59,19.59,15.08,8.98,0.2,0.41
tmax,2023,3.69,6.65,8.89,19.39,23.89,28.33,29.61,28.31,26.21,19.56,11.44,7.92
prec,2024,94.74,4.32,73.66,178.82,75.18,72.9,177.04,69.6,23.37,55.37,65.53,0.51
tmin,2024,-7.65,-1.57,1.87,6.72,13.55,18.75,19.09,18.89,14.96,8.73,3.31,-7.85
tmax,2024,-1.49,11.15,13.3,18.03,24.62,29.31,28.3,28.51,26.25,22.46,12.03,1.88
