prec,2015,4.33,23.38,8.9,100.85,164.85,190,152.15,112.53,145.04,32.26,90.68,168.16
tmin,2015,-11.15,-15.19,-4.68,2.44,9.41,14.8,16.38,14,13.56,4.35,-0.2,-4.91
tmax,2015,2.09,-2,12.78,17.52,20.82,26.91,28.41,26.95,26.85,19.28,11.94,4.16
prec,2016,15.51,43.71,32.78,113.8,273.06,30.23,194.57,114.81,142.24,47,45.98,34.3
tmin,2016,-11.63,-6.84,-1.18,3.54,7.87,16,16.63,16.36,13.47,6.49,0.02,-9.64
tmax,2016,-2.28,3.72,13.73,17.28,21.58,30.44,28.39,28.76,26.97,21.09,14.87,1.08
prec,2017,32.27,29.46,59.7,81.53,172.98,70.61,56.14,215.39,41.92,124.72,8.39,9.16
tmin,2017,-7.8,-5.28,-1.33,4.54,8.33,14.72,17.94,13.17,12.28,6.22,-4.23,-10.43
tmax,2017,0.3,8.33,10.75,17.37,22.62,29.59,31.23,27.2,27.35,18.85,9.92,3.28
prec,2018,19.06,32.78,43.46,14.24,125.48,254.51,79.25,204.22,167.89,100.84,27.19,45.73
tmin,2018,-13.89,-11.81,-2.29,-2.89,12.87,17.1,16.57,15.59,13.72,2.92,-6.3,-7.03
tmax,2018,-2.13,-0.3,8.32,12.54,27.17,28.91,29.9,29.04,25.52,15.66,5.38,2.78
prec,2019,12.47,43.45,55.63,32.01,210.57,72.9,112.02,190.25,224.03,120.14,20.07,19.31
tmin,2019,-11.04,-15.87,-5.97,2.61,8.48,15.24,18.02,15.72,14.33,2.19,-5.37,-6.67
tmax,2019,-0.82,-3.02,6.2,17.8,20.32,27.59,30.02,27.54,26.87,15.67,6.96,5.06
prec,2020,26.16,5.09,44.46,21.85,106.43,26.17,45.73,21.85,80.01,29.21,44.71,26.42
tmin,2020,-9.62,-9.27,-1.42,0.65,8.44,17.5,17.52,14.48,9.54,0.81,-2.39,-9.33
tmax,2020,0.02,3.97,11.72,16.55,20.36,30.58,31.3,30.41,24.5,15.17,13.67,4.57
prec,2021,32.52,22.36,77.72,29.72,70.37,74.17,124.46,76.71,45.97,143.26,27.95,4.32
tmin,2021,-9.28,-16.25,-0.81,1.74,8.89,15.63,16.23,16.99,11.01,6.02,-2.3,-6.06
tmax,2021,0.66,-5.62,13.12,17.3,21.56,30.69,29.83,30.56,28.15,19.84,11.44,7.71
prec,2022,15.5,3.06,87.13,79.76,124.97,99.07,32.52,52.33,29.98,20.07,23.38,27.44
tmin,2022,-15.56,-12.72,-4.43,-0.48,10.41,15.79,17.56,16.03,10.48,0.68,-4.2,-11.41
tmax,2022,-1.11,3.37,10.18,14.72,22.06,29.37,30.09,30.11,26.28,19.61,9.8,-0.07
prec,2023,37.86,60.96,25.66,64.27,43.95,122.94,66.05,112.02,67.06,51.82,7.11,49.28
tmin,2023,-7.67,-9.49,-4.78,1.86,9.23,14.82,15.84,16.42,11.65,5.25,-4.43,-3.75
tmax,2023,1.35,4.73,7.71,18.26,24.86,29.74,28.96,29.21,28.16,19.09,11.94,7.06
prec,2024,33.79,2.55,83.57,62.23,188.98,122.43,81.28,64.77,7.37,50.04,124.72,0.26
tmin,2024,-11.08,-5.84,-3.28,2.8,9.26,16.28,16.17,15.44,10.06,4.39,-1.31,-10.42
tmax,2024,-3.35,10.67,12.37,18.5,23.69,29.72,29.11,28.96,28.19,23.62,11.3,2.43
