prec,2015,4.33,29.47,28.97,96.53,171.46,196.86,193.05,156.98,132.59,18.29,114.82,157.23
tmin,2015,-10.29,-12.9,-3.37,5.28,11.24,17.63,18.81,16.59,15.89,6.85,2.24,-3.39
tmax,2015,3.56,-0.65,13.5,18.07,21.34,28.04,29.48,27.81,27.46,20.61,13.37,5.81
prec,2016,17.03,17.79,65.53,173.23,207.02,74.93,147.84,242.57,102.87,33.79,25.66,29.72
tmin,2016,-9.75,-4.46,1.69,6.09,10.84,18.89,19.09,18.33,15.24,7.54,1.82,-8.7
tmax,2016,-0.4,7.01,15.91,18.63,22.72,31.09,29.61,29.2,27.54,21.36,15.75,2.37
prec,2017,35.82,17.78,72.91,89.41,136.4,143,123.19,99.32,59.69,196.6,8.38,13.47
tmin,2017,-6.85,-3.49,0.23,6.09,10.43,16.9,19.81,15.69,14.14,6.94,-1.56,-8.48
tmax,2017,1.93,10.34,11.61,17.96,23.11,29.83,30.98,27.3,27.7,19.34,11.28,4.27
prec,2018,10.16,20.58,44.21,5.85,76.97,177.8,108.71,87.13,182.88,155.19,37.09,53.1
tmin,2018,-11.76,-9.92,-1.11,-0.54,14.56,18.91,18.15,17.74,14.98,4.35,-5.13,-6.15
tmax,2018,-1.13,1.92,9.09,12.89,27.24,30.22,29.85,29.09,26.24,16.11,5,3.67
prec,2019,28.71,36.34,76.45,18.81,308.1,84.09,111.26,56.14,227.08,111.51,11.43,10.68
tmin,2019,-10.31,-13.55,-4.27,5.35,10.27,16.7,19.78,17.82,15.8,3.72,-2.87,-5.48
tmax,2019,-0.33,-3,5.99,18.67,20.66,28,30.79,27.84,27.57,15.06,7.41,5.63
prec,2020,23.12,0.01,38.11,55.63,127.51,60.96,111.51,24.9,56.9,29.47,38.86,29.97
tmin,2020,-7.87,-6.94,0.38,2.48,10.5,18.83,19.27,16.61,11.17,2.33,0.2,-7.87
tmax,2020,1.4,5.28,12.51,17.13,20.66,30.48,30.77,29.78,24.46,16.33,15.11,4.69
prec,2021,33.54,17.02,123.19,46.74,86.63,119.89,104.91,127.76,55.37,193.55,33.78,10.93
tmin,2021,-7.34,-14.36,1.36,3.97,11.16,17.43,18.14,18.78,13.89,7.19,-0.19,-4.21
tmax,2021,1.72,-5.21,13.87,17.09,21.77,30.57,29.95,30.33,27.96,19.96,12.2,8.92
prec,2022,15.24,4.84,85.6,75.45,150.62,59.18,87.89,112.78,26.42,14.99,30.74,17.28
tmin,2022,-12.48,-10.06,-2.69,1.54,12.2,17.7,18.98,17.63,12.66,2.83,-2.63,-10.13
tmax,2022,0.18,5.19,11.34,15.56,23.3,29.66,30.86,30.48,26.87,20.25,10.43,1.29
prec,2023,44.2,62.48,24.65,59.69,67.32,78.23,144.28,68.58,41.4,40.14,18.54,35.57
tmin,2023,-6.9,-8.63,-3.24,4.15,11.59,16.15,17.76,18.06,13.45,6.22,-2.7,-2.44
tmax,2023,2.13,5.95,8.78,19.11,25.19,29.87,29.01,29.24,27.97,19.84,11.57,7.17
prec,2024,47,1.02,63.5,46.74,172.47,103.89,86.87,119.38,16.51,53.34,81.03,0
tmin,2024,-10.43,-3.97,-1.06,5.5,11.46,17.71,17.68,17.43,13.02,6.92,0.65,-8.06
tmax,2024,-1.88,12.42,13.1,19.39,24.17,29.49,29.31,28.68,27.9,23.71,11.96,3.96
