prec,2015,5.85,22.87,3.56,114.05,163.83,202.96,164.08,176.54,216.16,42.42,88.14,138.7
tmin,2015,-11.56,-16.23,-5.47,2.7,9.41,15.09,16.13,14.07,13.02,4.59,-0.78,-4.87
tmax,2015,0.16,-3.97,10.88,16.48,19.96,25.98,27.15,25.45,25.37,17.93,10.93,3.05
prec,2016,17.29,33.02,29.98,100.09,196.34,59.18,103.89,158.25,200.92,57.68,29.98,33.03
tmin,2016,-12.16,-7.62,-1.09,3.3,7.49,15.89,16.41,15.96,12.69,5.34,-0.87,-10.91
tmax,2016,-3.6,1.95,12.26,16.04,20.72,29.44,27.69,27.32,25.19,19.19,12.72,-0.3
prec,2017,31.5,27.95,70.37,59.18,207.27,63.25,69.85,223.27,84.58,149.11,3.82,7.38
tmin,2017,-8.87,-6.25,-2.63,3.3,7.11,13.87,16.81,12.62,11.93,5.3,-4.56,-10.16
tmax,2017,-1.27,6.35,8.55,15.2,20.52,27.95,29.42,25.56,25.61,17.22,8.28,1.67
prec,2018,21.09,26.69,49.54,35.82,138.18,194.82,55.37,145.55,158.5,132.34,24.39,68.59
tmin,2018,-13.98,-12.72,-3.1,-3.35,11.77,16.35,15.67,14.46,12.33,1.96,-7.22,-7.74
tmax,2018,-3.51,-2.04,6.63,10.59,25.43,27.38,28.05,27.39,24.11,13.94,3.74,1.28
prec,2019,5.61,47.25,57.67,42.43,167.39,46.74,100.85,174.77,191.77,136.65,23.89,25.4
tmin,2019,-12,-16.26,-6.94,1.72,7.65,14.14,16.8,14.75,13.39,0.93,-6.07,-8.08
tmax,2019,-2.02,-5.64,3.37,16.17,18.76,25.94,28.24,25.84,25.3,13.96,5.33,3.64
prec,2020,26.68,8.9,50.81,23.62,120.92,60.72,35.83,22.87,71.63,42.93,53.85,26.68
tmin,2020,-10.34,-10.16,-1.79,-0.04,7.89,16.81,17.13,14.14,8.74,0.61,-2.36,-10.02
tmax,2020,-1.06,1.69,9.89,15.09,18.78,28.73,29.61,29.03,22.95,13.83,12.26,2.67
prec,2021,29.72,25.16,74.17,13.73,84.59,69.09,164.34,148.09,98.05,129.55,23.63,12.96
tmin,2021,-9.52,-16.81,-1.42,1.5,8.37,14.93,15.73,16.11,10.67,5.23,-3.14,-6.52
tmax,2021,-0.23,-7.44,11.27,15.91,20.09,29.37,28.24,28.5,25.82,18.44,10.13,5.97
prec,2022,16.01,2.55,77.48,83.32,108.21,104.15,113.29,72.4,45.47,19.81,20.84,35.06
tmin,2022,-16.22,-13.73,-4.57,-1.33,9.67,15.28,17.1,15.38,10.19,0.2,-4.7,-12.04
tmax,2022,-2.09,1.73,9.35,13.35,20.85,28.07,28.75,28.24,25.22,17.91,8.44,-1.68
prec,2023,40.14,56.9,31.5,60.71,60.96,84.33,46.23,91.19,42.42,52.07,6.1,50.55
tmin,2023,-9.55,-10.36,-5.54,0.83,8.21,14.12,14.8,15.45,10.44,4.14,-5.06,-4.43
tmax,2023,-0.27,2.62,5.9,16.83,23.32,28.41,27.64,28.33,26.41,17.63,10.5,5.96
prec,2024,33.54,3.31,85.85,59.69,268.99,143.52,71.88,76.96,12.45,50.55,105.41,1.02
tmin,2024,-11.68,-6.17,-3.67,2.45,8.62,14.74,14.95,14.38,9.6,4,-1.87,-10.97
tmax,2024,-4.41,9.33,11.33,17.01,22.29,27.74,27.24,27.1,26.47,21.94,9.67,0.83
