prec,2015,5.35,12.21,15.25,111.76,124.22,80.28,236.22,174.25,77.98,30.99,93.99,120.15
tmin,2015,-12.63,-15.99,-6.16,2.28,8.85,14.77,15.44,13.67,13.1,3.7,-1.42,-6.2
tmax,2015,-0.75,-3.89,11.11,17.18,20.68,26.59,27.4,26.02,25.81,18.72,10.38,2.24
prec,2016,12.46,32.78,54.87,107.71,112.02,76.46,83.58,80.01,99.58,63.51,37.85,28.46
tmin,2016,-12.97,-7.03,-1.13,3.04,8.08,16,16.61,15.11,11.96,3.92,-1.57,-11.81
tmax,2016,-3.89,1.34,11.49,16.09,21.67,30.23,28.5,28.01,25.5,18.94,13.18,-1.24
prec,2017,17.81,17.79,52.58,86.88,139.2,41.92,59.7,235.21,86.62,119.14,4.07,8.39
tmin,2017,-9.62,-6.79,-3.48,2.96,6.9,14.12,17.19,13.14,11.02,4.43,-5.69,-11.08
tmax,2017,-1.33,5.82,7.85,15.57,20.97,28.89,30.34,26.02,25.57,17.62,8.35,1.09
prec,2018,9.15,22.88,43.2,25.41,134.88,114.06,86.62,186.7,154.18,62.75,26.18,55.89
tmin,2018,-14.84,-14.92,-2.96,-3.06,11.76,17.15,16.44,15.41,12.61,0.93,-7.44,-8.64
tmax,2018,-3.84,-2.98,6.27,9.5,25.27,28.57,28.37,27.58,24.5,14.27,3.57,1.02
prec,2019,0.03,48.27,65.55,56.4,178.07,47.25,77.47,105.16,128.54,100.34,43.95,28.46
tmin,2019,-11.93,-16.73,-7.37,1.65,7.22,14.35,17.26,14.5,13.85,0.91,-5.85,-8.35
tmax,2019,-1.67,-5.99,3.44,15.76,18.44,27.09,28.72,26.59,25.94,13.85,5.37,2.37
prec,2020,38.88,10.67,68.6,17.54,119.13,89.41,27.69,19.31,50.05,37.6,44.96,15.24
tmin,2020,-10.66,-10.46,-2.11,-0.76,8.75,17.13,17.5,14.39,8.8,-0.57,-2.06,-9.48
tmax,2020,-1.49,1.42,9.27,15.24,19.09,29.72,30.76,29.78,24.35,13.48,11.69,2.67
prec,2021,34.04,30.23,96.78,42.68,110.25,82.05,59.95,131.83,33.28,97.54,8.64,15.24
tmin,2021,-9.01,-17.62,-1.27,1.59,9.16,15.46,16.41,15.8,11.24,5.04,-3.13,-7.69
tmax,2021,0.11,-7.04,11.16,15.87,20.61,30.24,29.26,29.52,26.59,19,9.98,5.2
prec,2022,5.34,5.08,32.78,48.27,116.59,29.72,141.99,109.48,35.56,6.6,16.52,36.08
tmin,2022,-16.57,-14.27,-5.07,-1.19,9.44,14.98,17.26,14.66,10.19,0.23,-5.56,-12.31
tmax,2022,-1.61,1.73,9.05,13.57,21.7,29.16,29.77,28.33,26.11,18.54,7.94,-2.8
prec,2023,62.24,41.66,14.99,22.61,71.63,37.34,66.81,139.45,48.01,129.04,7.88,10.93
tmin,2023,-10.29,-10.7,-5.44,1.54,10.04,14.8,14.78,16.3,12.22,4.41,-4.94,-4.84
tmax,2023,-1.88,0.25,4.8,16.8,24.77,29.93,28.78,29.15,26.87,18.01,10.88,5.41
prec,2024,23.62,4.84,80.01,88.4,190.76,81.8,189.49,48.77,7.11,25.4,113.03,0.01
tmin,2024,-12.59,-5.1,-4.19,3.22,9.86,15.59,16.45,15.74,10.73,3.57,-1.57,-11.6
tmax,2024,-4.83,8.68,11.11,17.13,23.01,28.47,28.39,27.43,27.34,22.44,9.85,0.9
