prec,2015,7.62,26.42,9.91,103.89,135.89,148.59,155.19,186.94,137.16,33.53,97.54,132.59
tmin,2015,-11.54,-15.77,-5.06,3.48,9.52,15.42,16.72,14.86,13.63,4.93,-0.56,-4.89
tmax,2015,0.86,-2.84,11.85,17.78,21.29,27.45,28.66,27.08,26.8,19.27,11.48,3.85
prec,2016,14.99,30.73,46.48,123.7,133.35,52.32,121.41,132.59,150.88,45.97,34.8,33.78
tmin,2016,-11.8,-6.67,-0.81,3.65,9.3,16.89,17.15,16.49,12.83,5.52,0.17,-10.63
tmax,2016,-2.69,2.89,12.8,16.78,22.04,30.94,29.14,28.54,26.26,20.05,14.16,0.36
prec,2017,29.72,28.19,64.26,70.87,153.16,62.23,59.94,168.91,83.82,140.46,4.83,9.91
tmin,2017,-8.91,-5.5,-2.8,3.85,8.6,15.4,17.96,13.85,12.28,5.09,-4.23,-10.26
tmax,2017,-0.2,7.34,9.05,16.59,21.92,30.11,31.25,26.81,26.95,18.28,9.18,1.49
prec,2018,25.4,28.45,64.26,35.81,115.06,216.15,79.76,199.64,149.1,88.14,27.18,63.5
tmin,2018,-13.75,-13.21,-2.85,-2.62,12.76,17.43,16.74,15.57,12.94,1.95,-6.89,-7.56
tmax,2018,-2.63,-1.67,7.2,10.63,26.24,29.35,29.48,28.41,25.26,14.96,4.54,1.86
prec,2019,6.6,48.26,71.63,52.07,188.47,80.01,92.71,93.22,154.18,130.05,36.32,39.62
tmin,2019,-11.88,-15.97,-6.38,2.65,7.99,14.94,18.28,15.46,14.41,1.99,-5.13,-7.65
tmax,2019,-1.15,-4.92,4.23,16.17,18.98,27.01,29.5,26.65,26.17,14.23,5.87,3.07
prec,2020,25.65,8.64,71.37,25.15,86.36,74.93,51.05,33.53,65.53,43.43,46.99,20.07
tmin,2020,-10.07,-9.87,-1.67,0.48,9.05,17.31,18.08,15.56,9.85,0.81,-1.61,-8.73
tmax,2020,-1.16,2.05,9.89,15.41,19.44,29.76,30.45,29.61,23.91,13.94,12.31,3.01
prec,2021,30.48,25.65,89.92,28.45,96.01,73.66,108.2,112.27,48.01,114.3,14.22,11.94
tmin,2021,-8.35,-16.07,-0.98,2.3,9.28,16.28,16.77,16.31,11.7,5.7,-2.66,-6.4
tmax,2021,0.91,-6.29,12.17,16.56,21.33,30.83,29.77,29.77,27.51,19.57,10.69,6.47
prec,2022,11.18,4.32,47.75,60.71,105.41,69.85,84.33,74.93,44.7,13.46,20.07,39.37
tmin,2022,-16.08,-13.37,-4.68,-0.63,10.07,16.03,17.8,16.02,10.85,1.8,-4.31,-12.01
tmax,2022,-0.88,2.78,9.71,14.48,22.44,29.31,30.32,29.69,26.74,19.28,9.31,-1.38
prec,2023,49.02,46.74,25.65,50.55,57.4,68.58,84.58,94.49,56.9,78.74,5.08,45.47
tmin,2023,-9.48,-10.08,-5.41,1.93,10.75,15.48,15.79,16.53,12.11,4.75,-3.89,-4.34
tmax,2023,-0.11,2.38,5.93,17.35,25.04,29.54,28.85,29.71,27.19,18.53,11.78,6.49
prec,2024,27.69,5.84,75.69,87.38,205.49,96.52,105.41,62.99,13.46,28.7,103.89,1.02
tmin,2024,-11.67,-4.87,-3.64,3.59,10.2,16.09,16.56,15.75,11.31,5.14,-1.3,-11.11
tmax,2024,-3.39,9.79,11.7,17.69,23.46,29.04,28.92,28.21,28.04,23.03,10.13,2.08
