prec,2015,23.63,26.69,18.29,124.97,161.55,109.99,117.36,213.87,71.89,31.75,117.86,69.87
tmin,2015,-12.59,-16.59,-4.89,2.69,8.46,14.89,15.63,13.84,13.17,3.78,-1.84,-5.68
tmax,2015,-3.17,-5.85,8.53,16.35,20.14,25.61,27.11,25.29,25.7,17.83,8.45,1.56
prec,2016,4.33,22.38,58.18,71.9,119.9,78.99,124.22,130.56,271.78,80.02,28.46,42.19
tmin,2016,-13.45,-7.93,-2.96,2.52,8.74,15.23,16.11,15.46,12.18,4.56,-0.17,-11.89
tmax,2016,-5.42,0.02,9.28,15.41,21.09,28.37,27.51,26.65,25,17.93,12.09,-2.31
prec,2017,41.42,52.07,62.76,69.61,158.51,62.99,37.34,188.72,48.26,143.52,6.35,8.9
tmin,2017,-9.81,-6.13,-5.25,2.89,7.39,13.89,16.41,13.67,11.99,4.8,-4.87,-11.15
tmax,2017,-2.22,4.92,4.96,14.98,20.29,28.06,29.05,25.04,25.48,16.31,6.65,-0.39
prec,2018,24.64,31.5,65.53,80.26,140.46,232.16,90.42,163.83,277.11,88.14,35.31,48.52
tmin,2018,-15,-15.08,-4.37,-3.81,12.22,16.87,16.72,15.38,12.28,1.87,-7.46,-8.21
tmax,2018,-4.89,-4.22,4.05,7.57,25.09,28.83,28.94,27.66,25.85,13.51,2.26,0.12
prec,2019,10.93,59.44,55.12,99.57,182.63,87.38,117.09,92.96,113.29,135.14,60.46,41.15
tmin,2019,-14.87,-19.51,-9.31,0.61,6.06,14.31,17.65,14.33,13.41,1.61,-6.28,-9.2
tmax,2019,-4.3,-6.28,2.93,15.17,20.39,26.3,29.32,26.67,25.31,12.58,3.39,0.76
prec,2020,48.03,15.75,68.6,33.79,114.82,80.78,58.69,45.73,57.15,43.19,44.45,12.19
tmin,2020,-11.7,-12.2,-2.94,-0.74,8.35,16.29,17.44,15,9.74,0.16,-2.48,-9.11
tmax,2020,-3.03,-1.4,7.67,13.57,19.67,29.19,30.04,29.19,23.17,12.28,10.56,1.81
prec,2021,22.87,19.31,67.06,35.56,86.11,45.97,77.22,153.42,61.47,97.03,13.46,31.76
tmin,2021,-9.73,-16.21,-1.77,1.87,8.19,15.89,17.04,15.68,10.99,6.33,-3.26,-8.39
tmax,2021,-1.59,-8.25,10.05,14.93,20.65,31.04,29.22,29.57,26.19,18.24,8.07,2.9
prec,2022,24.66,7.88,26.17,78.49,65.54,48.77,64.78,104.14,41.15,17.79,20.84,38.62
tmin,2022,-18.93,-15.76,-5.02,-1.76,8.94,15.33,17.1,15.24,10.19,1.59,-4.19,-12.76
tmax,2022,-4.5,-2.45,6.33,10.35,21.74,28.39,29.46,27.67,24.76,16.94,7.64,-4.43
prec,2023,60.21,46.74,29.72,78.23,79.76,113.28,64.52,55.37,63.5,89.41,2.29,45.47
tmin,2023,-11.44,-13.1,-6.86,1.02,9.39,15.17,15.44,15.68,12.13,5.13,-4.04,-4.78
tmax,2023,-3.04,-1.59,3.31,14.89,23.89,28.97,28.12,28.67,26.15,17.26,9.78,4.87
prec,2024,20.08,3.56,91.95,114.55,305.31,279.4,136.65,107.7,5.33,18.54,72.91,0.25
tmin,2024,-11.29,-5.54,-4.83,2.76,9.25,15.28,16.7,15.29,11.23,4.71,-2,-12.43
tmax,2024,-4.7,7.47,9.8,15.56,22.9,27.56,27.96,27.11,26.63,21.58,7.61,0.21
