Year,Month,Stations,prec,tmax,tmin
2015,Month_1,algona,23.63,-3.17,-12.59
2015,Month_10,algona,31.75,17.83,3.78
2015,Month_11,algona,117.86,8.45,-1.84
2015,Month_12,algona,69.87,1.56,-5.68
2015,Month_2,algona,26.69,-5.85,-16.59
2015,Month_3,algona,18.29,8.53,-4.89
2015,Month_4,algona,124.97,16.35,2.69
2015,Month_5,algona,161.55,20.14,8.46
2015,Month_6,algona,109.99,25.61,14.89
2015,Month_7,algona,117.36,27.11,15.63
2015,Month_8,algona,213.87,25.29,13.84
2015,Month_9,algona,71.89,25.7,13.17
2016,Month_1,algona,4.33,-5.42,-13.45
2016,Month_10,algona,80.02,17.93,4.56
2016,Month_11,algona,28.46,12.09,-0.17
2016,Month_12,algona,42.19,-2.31,-11.89
2016,Month_2,algona,22.38,0.02,-7.93
2016,Month_3,algona,58.18,9.28,-2.96
2016,Month_4,algona,71.9,15.41,2.52
2016,Month_5,algona,119.9,21.09,8.74
2016,Month_6,algona,78.99,28.37,15.23
2016,Month_7,algona,124.22,27.51,16.11
2016,Month_8,algona,130.56,26.65,15.46
2016,Month_9,algona,271.78,25.0,12.18
2017,Month_1,algona,41.42,-2.22,-9.81
2017,Month_10,algona,143.52,16.31,4.8
2017,Month_11,algona,6.35,6.65,-4.87
2017,Month_12,algona,8.9,-0.39,-11.15
2017,Month_2,algona,52.07,4.92,-6.13
2017,Month_3,algona,62.76,4.96,-5.25
2017,Month_4,algona,69.61,14.98,2.89
2017,Month_5,algona,158.51,20.29,7.39
2017,Month_6,algona,62.99,28.06,13.89
2017,Month_7,algona,37.34,29.05,16.41
2017,Month_8,algona,188.72,25.04,13.67
2017,Month_9,algona,48.26,25.48,11.99
2018,Month_1,algona,24.64,-4.89,-15.0
2018,Month_10,algona,88.14,13.51,1.87
2018,Month_11,algona,35.31,2.26,-7.46
2018,Month_12,algona,48.52,0.12,-8.21
2018,Month_2,algona,31.5,-4.22,-15.08
2018,Month_3,algona,65.53,4.05,-4.37
2018,Month_4,algona,80.26,7.57,-3.81
2018,Month_5,algona,140.46,25.09,12.22
2018,Month_6,algona,232.16,28.83,16.87
2018,Month_7,algona,90.42,28.94,16.72
2018,Month_8,algona,163.83,27.66,15.38
2018,Month_9,algona,277.11,25.85,12.28
2019,Month_1,algona,10.93,-4.3,-14.87
2019,Month_10,algona,135.14,12.58,1.61
2019,Month_11,algona,60.46,3.39,-6.28
2019,Month_12,algona,41.15,0.76,-9.2
2019,Month_2,algona,59.44,-6.28,-19.51
2019,Month_3,algona,55.12,2.93,-9.31
2019,Month_4,algona,99.57,15.17,0.61
2019,Month_5,algona,182.63,20.39,6.06
2019,Month_6,algona,87.38,26.3,14.31
2019,Month_7,algona,117.09,29.32,17.65
2019,Month_8,algona,92.96,26.67,14.33
2019,Month_9,algona,113.29,25.31,13.41
2020,Month_1,algona,48.03,-3.03,-11.7
2020,Month_10,algona,43.19,12.28,0.16
2020,Month_11,algona,44.45,10.56,-2.48
2020,Month_12,algona,12.19,1.81,-9.11
2020,Month_2,algona,15.75,-1.4,-12.2
2020,Month_3,algona,68.6,7.67,-2.94
2020,Month_4,algona,33.79,13.57,-0.74
2020,Month_5,algona,114.82,19.67,8.35
2020,Month_6,algona,80.78,29.19,16.29
2020,Month_7,algona,58.69,30.04,17.44
2020,Month_8,algona,45.73,29.19,15.0
2020,Month_9,algona,57.15,23.17,9.74
2021,Month_1,algona,22.87,-1.59,-9.73
2021,Month_10,algona,97.03,18.24,6.33
2021,Month_11,algona,13.46,8.07,-3.26
2021,Month_12,algona,31.76,2.9,-8.39
2021,Month_2,algona,19.31,-8.25,-16.21
2021,Month_3,algona,67.06,10.05,-1.77
2021,Month_4,algona,35.56,14.93,1.87
2021,Month_5,algona,86.11,20.65,8.19
2021,Month_6,algona,45.97,31.04,15.89
2021,Month_7,algona,77.22,29.22,17.04
2021,Month_8,algona,153.42,29.57,15.68
2021,Month_9,algona,61.47,26.19,10.99
2022,Month_1,algona,24.66,-4.5,-18.93
2022,Month_10,algona,17.79,16.94,1.59
2022,Month_11,algona,20.84,7.64,-4.19
2022,Month_12,algona,38.62,-4.43,-12.76
2022,Month_2,algona,7.88,-2.45,-15.76
2022,Month_3,algona,26.17,6.33,-5.02
2022,Month_4,algona,78.49,10.35,-1.76
2022,Month_5,algona,65.54,21.74,8.94
2022,Month_6,algona,48.77,28.39,15.33
2022,Month_7,algona,64.78,29.46,17.1
2022,Month_8,algona,104.14,27.67,15.24
2022,Month_9,algona,41.15,24.76,10.19
2023,Month_1,algona,60.21,-3.04,-11.44
2023,Month_10,algona,89.41,17.26,5.13
2023,Month_11,algona,2.29,9.78,-4.04
2023,Month_12,algona,45.47,4.87,-4.78
2023,Month_2,algona,46.74,-1.59,-13.1
2023,Month_3,algona,29.72,3.31,-6.86
2023,Month_4,algona,78.23,14.89,1.02
2023,Month_5,algona,79.76,23.89,9.39
2023,Month_6,algona,113.28,28.97,15.17
