Year,Month,Stations,prec,tmax,tmin
2015,Month_1,allerton,5.09,1.72,-10.43
2015,Month_10,allerton,42.94,19.21,6.37
2015,Month_11,allerton,148.85,12.32,1.43
2015,Month_12,allerton,143.53,6.09,-1.99
2015,Month_2,allerton,42.17,-2.57,-14.67
2015,Month_3,allerton,8.4,11.13,-2.42
2015,Month_4,allerton,56.41,17.98,4.89
2015,Month_5,allerton,158.76,20.76,10.65
2015,Month_6,allerton,158.24,26.47,16.17
2015,Month_7,allerton,325.88,27.85,17.56
2015,Month_8,allerton,74.18,26.99,15.82
2015,Month_9,allerton,104.14,26.61,14.6
2016,Month_1,allerton,20.08,-1.28,-10.02
2016,Month_10,allerton,21.6,20.07,8.23
2016,Month_11,allerton,17.79,14.96,2.07
2016,Month_12,allerton,26.68,1.06,-9.09
2016,Month_2,allerton,36.59,4.13,-5.73
2016,Month_3,allerton,44.46,13.1,0.82
2016,Month_4,allerton,69.1,16.8,4.67
2016,Month_5,allerton,79.76,20.95,9.41
2016,Month_6,allerton,26.16,29.63,16.69
2016,Month_7,allerton,142.25,28.45,17.72
2016,Month_8,allerton,101.6,28.11,17.76
2016,Month_9,allerton,83.31,26.32,14.31
2017,Month_1,allerton,38.36,1.08,-7.28
2017,Month_10,allerton,122.18,18.76,6.86
2017,Month_11,allerton,7.12,9.37,-3.22
2017,Month_12,allerton,12.72,2.47,-8.55
2017,Month_2,allerton,5.59,10.42,-3.61
2017,Month_3,allerton,62.49,11.09,-1.59
2017,Month_4,allerton,165.61,16.9,5.52
2017,Month_5,allerton,96.02,21.27,9.12
2017,Month_6,allerton,50.3,28.59,14.98
2017,Month_7,allerton,38.36,31.4,18.85
2017,Month_8,allerton,122.94,27.22,14.27
2017,Month_9,allerton,40.64,27.5,13.28
2018,Month_1,allerton,41.4,-1.02,-11.88
2018,Month_10,allerton,158.51,16.15,4.57
2018,Month_11,allerton,38.11,4.11,-5.37
2018,Month_12,allerton,54.12,4.22,-5.22
2018,Month_2,allerton,33.79,2.0,-9.76
2018,Month_3,allerton,43.19,7.53,-2.03
2018,Month_4,allerton,13.47,11.59,-1.59
2018,Month_5,allerton,89.92,26.99,14.43
2018,Month_6,allerton,223.77,28.81,17.47
2018,Month_7,allerton,46.49,29.87,17.16
2018,Month_8,allerton,160.53,29.73,17.28
2018,Month_9,allerton,156.47,25.43,14.07
2019,Month_1,allerton,51.08,-0.9,-10.66
2019,Month_10,allerton,78.23,15.22,3.46
2019,Month_11,allerton,17.79,6.87,-4.33
2019,Month_12,allerton,24.13,6.04,-5.05
2019,Month_2,allerton,79.77,-2.66,-12.42
2019,Month_3,allerton,75.96,5.67,-4.13
2019,Month_4,allerton,67.32,17.2,3.97
2019,Month_5,allerton,344.94,19.75,8.85
2019,Month_6,allerton,153.42,26.43,15.13
2019,Month_7,allerton,70.1,30.17,18.59
