Year,Month,Stations,prec,tmax,tmin
2015,Month_1,ames 5 se,17.04,-0.79,-11.54
2015,Month_10,ames 5 se,47.76,17.81,5.2
2015,Month_11,ames 5 se,75.44,10.69,0.24
2015,Month_12,ames 5 se,163.34,4.21,-3.26
2015,Month_2,ames 5 se,27.2,-4.84,-15.89
2015,Month_3,ames 5 se,6.61,9.96,-4.98
2015,Month_4,ames 5 se,92.97,17.19,3.22
2015,Month_5,ames 5 se,120.66,20.7,9.52
2015,Month_6,ames 5 se,231.9,25.52,14.78
2015,Month_7,ames 5 se,209.55,27.11,16.02
2015,Month_8,ames 5 se,236.99,25.69,14.43
2015,Month_9,ames 5 se,117.36,26.7,13.75
2016,Month_1,ames 5 se,20.84,-2.89,-10.87
2016,Month_10,ames 5 se,19.31,19.05,6.49
2016,Month_11,ames 5 se,38.11,14.13,0.12
2016,Month_12,ames 5 se,36.08,-0.45,-9.21
2016,Month_2,ames 5 se,23.64,1.75,-7.16
2016,Month_3,ames 5 se,82.56,11.4,-0.7
2016,Month_4,ames 5 se,65.04,15.9,3.62
2016,Month_5,ames 5 se,99.31,21.15,8.28
2016,Month_6,ames 5 se,57.91,29.66,15.79
2016,Month_7,ames 5 se,137.68,28.06,16.9
2016,Month_8,ames 5 se,187.97,28.76,19.27
2016,Month_9,ames 5 se,252.23,25.63,14.1
2017,Month_1,ames 5 se,51.32,-0.84,-7.99
2017,Month_10,ames 5 se,123.96,17.47,5.52
2017,Month_11,ames 5 se,9.92,7.85,-4.19
2017,Month_12,ames 5 se,8.91,1.56,-10.18
2017,Month_2,ames 5 se,35.31,7.18,-5.24
2017,Month_3,ames 5 se,81.04,8.21,-2.81
2017,Month_4,ames 5 se,66.81,16.17,4.28
2017,Month_5,ames 5 se,144.53,20.84,8.41
2017,Month_6,ames 5 se,74.43,28.37,14.17
2017,Month_7,ames 5 se,72.14,29.85,17.2
2017,Month_8,ames 5 se,75.44,26.02,13.24
2017,Month_9,ames 5 se,70.36,26.57,11.81
2018,Month_1,ames 5 se,32.02,-2.78,-14.07
2018,Month_10,ames 5 se,94.24,14.37,2.8
2018,Month_11,ames 5 se,55.64,3.5,-5.57
2018,Month_12,ames 5 se,62.5,2.64,-6.78
2018,Month_2,ames 5 se,41.93,-1.55,-12.36
2018,Month_3,ames 5 se,87.13,6.26,-3.28
2018,Month_4,ames 5 se,36.33,10.28,-2.63
2018,Month_5,ames 5 se,120.66,25.63,12.71
2018,Month_6,ames 5 se,363.48,28.2,16.94
2018,Month_7,ames 5 se,95.51,28.73,16.47
2018,Month_8,ames 5 se,149.35,27.59,15.67
2018,Month_9,ames 5 se,262.64,23.85,12.78
2019,Month_1,ames 5 se,30.24,-2.72,-12.81
2019,Month_10,ames 5 se,139.95,14.12,2.19
2019,Month_11,ames 5 se,38.61,4.85,-5.22
2019,Month_12,ames 5 se,36.32,4.41,-7.17
2019,Month_2,ames 5 se,56.15,-4.23,-15.97
2019,Month_3,ames 5 se,29.47,3.66,-6.32
2019,Month_4,ames 5 se,55.88,16.33,2.5
2019,Month_5,ames 5 se,211.84,19.41,7.93
2019,Month_6,ames 5 se,86.11,26.39,14.35
2019,Month_7,ames 5 se,92.46,29.18,17.31
2019,Month_8,ames 5 se,71.64,26.53,14.31
2019,Month_9,ames 5 se,150.37,25.69,14.12
2020,Month_1,ames 5 se,38.62,-0.99,-9.87
2020,Month_10,ames 5 se,31.76,14.07,1.38
2020,Month_11,ames 5 se,37.59,11.97,-2.32
2020,Month_12,ames 5 se,33.78,2.22,-9.09
2020,Month_2,ames 5 se,11.19,1.15,-9.73
2020,Month_3,ames 5 se,83.07,10.09,-1.09
2020,Month_4,ames 5 se,50.57,14.93,1.02
2020,Month_5,ames 5 se,168.16,19.62,8.53
2020,Month_6,ames 5 se,38.37,28.57,16.63
2020,Month_7,ames 5 se,34.81,30.54,17.42
2020,Month_8,ames 5 se,40.14,29.02,14.2
2020,Month_9,ames 5 se,76.45,23.08,9.6
2021,Month_1,ames 5 se,20.08,-0.85,-10.31
2021,Month_10,ames 5 se,164.85,18.73,6.77
2021,Month_11,ames 5 se,39.13,9.62,-2.97
2021,Month_12,ames 5 se,19.56,6.07,-5.9
2021,Month_2,ames 5 se,19.06,-6.88,-16.13
2021,Month_3,ames 5 se,61.72,11.63,-0.57
2021,Month_4,ames 5 se,11.95,16.26,2.93
2021,Month_5,ames 5 se,70.88,20.68,9.05
2021,Month_6,ames 5 se,59.44,30.13,15.61
2021,Month_7,ames 5 se,145.04,29.18,16.44
2021,Month_8,ames 5 se,83.82,29.01,15.91
2021,Month_9,ames 5 se,45.22,26.77,11.19
2022,Month_1,ames 5 se,27.97,-3.67,-17.28
2022,Month_10,ames 5 se,21.85,18.19,1.29
2022,Month_11,ames 5 se,61.74,8.57,-3.69
2022,Month_12,ames 5 se,50.55,-1.85,-10.97
2022,Month_2,ames 5 se,5.6,-0.08,-14.11
2022,Month_3,ames 5 se,86.63,8.42,-3.75
2022,Month_4,ames 5 se,134.89,12.3,-0.35
2022,Month_5,ames 5 se,158.25,21.77,9.91
2022,Month_6,ames 5 se,135.65,28.0,14.72
2022,Month_7,ames 5 se,87.38,29.39,17.07
2022,Month_8,ames 5 se,61.72,28.67,15.65
2022,Month_9,ames 5 se,45.22,25.11,11.15
2023,Month_1,ames 5 se,56.66,-0.56,-9.28
2023,Month_10,ames 5 se,70.62,17.96,5.52
2023,Month_11,ames 5 se,4.58,10.85,-3.48
2023,Month_12,ames 5 se,37.6,5.99,-3.6
2023,Month_2,ames 5 se,67.83,2.66,-9.92
2023,Month_3,ames 5 se,39.64,6.22,-4.77
2023,Month_4,ames 5 se,83.57,16.87,1.61
2023,Month_5,ames 5 se,79.0,23.67,9.19
2023,Month_6,ames 5 se,81.54,28.23,14.52
2023,Month_7,ames 5 se,87.89,28.1,15.29
2023,Month_8,ames 5 se,102.88,28.71,15.95
2023,Month_9,ames 5 se,84.84,26.7,11.55
2024,Month_1,ames 5 se,47.0,-3.35,-10.63
2024,Month_10,ames 5 se,44.71,23.05,5.1
2024,Month_11,ames 5 se,98.81,9.83,-0.02
2024,Month_12,ames 5 se,0.26,1.39,-11.25
2024,Month_2,ames 5 se,3.06,9.67,-5.48
2024,Month_3,ames 5 se,83.32,11.18,-2.8
2024,Month_4,ames 5 se,112.78,17.07,2.8
2024,Month_5,ames 5 se,222.0,23.21,9.14
2024,Month_6,ames 5 se,126.0,28.69,16.0
2024,Month_7,ames 5 se,125.98,27.46,16.24
2024,Month_8,ames 5 se,53.85,27.47,15.38
2024,Month_9,ames 5 se,16.26,27.01,11.07
