Year,Month,Stations,prec,tmax,tmin
2015,Month_1,ames area,17.2,-0.79,-11.54
2015,Month_10,ames area,47.76,17.81,5.2
2015,Month_11,ames area,75.44,10.69,0.24
2015,Month_12,ames area,163.34,4.21,-3.26
2015,Month_2,ames area,27.41,-4.84,-15.89
2015,Month_3,ames area,6.71,9.96,-4.98
2015,Month_4,ames area,93.04,17.19,3.22
2015,Month_5,ames area,120.75,20.7,9.52
2015,Month_6,ames area,231.9,25.52,14.78
2015,Month_7,ames area,209.58,27.19,16.02
2015,Month_8,ames area,237.03,25.69,14.43
2015,Month_9,ames area,117.36,26.7,13.75
2016,Month_1,ames area,20.84,-2.89,-10.87
2016,Month_10,ames area,19.31,19.05,6.49
2016,Month_11,ames area,38.11,14.13,0.12
2016,Month_12,ames area,36.08,-0.45,-9.21
2016,Month_2,ames area,23.64,1.75,-7.16
2016,Month_3,ames area,82.56,11.4,-0.7
2016,Month_4,ames area,65.04,15.9,3.62
2016,Month_5,ames area,99.31,21.15,8.28
2016,Month_6,ames area,57.91,29.66,15.79
2016,Month_7,ames area,137.68,28.06,16.9
2016,Month_8,ames area,187.97,29.93,19.27
2016,Month_9,ames area,252.23,26.13,14.1
2017,Month_1,ames area,51.32,-0.84,-7.99
2017,Month_10,ames area,123.96,17.47,5.52
2017,Month_11,ames area,9.92,7.85,-4.19
2017,Month_12,ames area,8.91,1.56,-10.18
2017,Month_2,ames area,35.31,7.18,-5.24
2017,Month_3,ames area,81.04,8.21,-2.81
2017,Month_4,ames area,66.81,16.17,4.28
2017,Month_5,ames area,144.53,20.84,8.41
2017,Month_6,ames area,74.43,28.37,14.17
2017,Month_7,ames area,72.14,29.85,17.2
2017,Month_8,ames area,75.44,26.02,13.24
2017,Month_9,ames area,70.36,26.57,11.81
2018,Month_1,ames area,32.02,-2.78,-14.07
2018,Month_10,ames area,94.24,14.37,2.8
2018,Month_11,ames area,55.64,3.5,-5.57
2018,Month_12,ames area,62.5,2.64,-6.78
2018,Month_2,ames area,41.93,-1.55,-12.36
2018,Month_3,ames area,87.13,6.26,-3.28
2018,Month_4,ames area,36.33,10.28,-2.63
2018,Month_5,ames area,120.66,25.63,12.71
2018,Month_6,ames area,363.48,28.2,16.94
2018,Month_7,ames area,95.51,28.73,16.47
2018,Month_8,ames area,149.35,27.59,15.67
2018,Month_9,ames area,262.64,23.85,12.78
2019,Month_1,ames area,30.23,-2.72,-12.81
2019,Month_10,ames area,139.95,14.12,2.19
2019,Month_11,ames area,38.61,4.85,-5.22
2019,Month_12,ames area,36.32,4.41,-7.17
2019,Month_2,ames area,56.13,-4.2,-15.88
2019,Month_3,ames area,29.46,3.66,-6.32
2019,Month_4,ames area,55.88,16.33,2.5
2019,Month_5,ames area,211.84,19.41,7.93
2019,Month_6,ames area,86.11,26.39,14.35
2019,Month_7,ames area,92.46,29.18,17.31
2019,Month_8,ames area,71.63,26.53,14.31
2019,Month_9,ames area,150.37,25.69,14.12
2020,Month_1,ames area,38.61,-0.99,-9.87
2020,Month_10,ames area,31.75,14.07,1.38
2020,Month_11,ames area,37.59,11.97,-2.32
2020,Month_12,ames area,33.78,2.22,-9.09
2020,Month_2,ames area,11.18,1.11,-9.86
2020,Month_3,ames area,83.06,10.15,-1.04
2020,Month_4,ames area,50.55,14.93,1.02
2020,Month_5,ames area,168.15,19.52,8.57
2020,Month_6,ames area,38.35,28.57,16.63
2020,Month_7,ames area,34.8,30.47,17.37
2020,Month_8,ames area,40.13,29.02,14.2
2020,Month_9,ames area,76.45,23.08,9.6
2021,Month_1,ames area,20.07,-0.84,-10.34
2021,Month_10,ames area,164.85,18.73,6.77
2021,Month_11,ames area,39.12,9.62,-2.97
2021,Month_12,ames area,19.56,6.07,-5.9
2021,Month_2,ames area,19.05,-6.88,-16.13
2021,Month_3,ames area,61.72,11.63,-0.57
2021,Month_4,ames area,11.94,16.26,2.93
2021,Month_5,ames area,70.87,20.68,9.05
2021,Month_6,ames area,59.44,30.13,15.61
2021,Month_7,ames area,145.03,29.18,16.44
2021,Month_8,ames area,83.82,29.01,15.91
2021,Month_9,ames area,45.21,26.77,11.19
2022,Month_1,ames area,27.94,-3.67,-17.28
2022,Month_10,ames area,21.84,18.19,1.29
2022,Month_11,ames area,61.72,8.57,-3.69
2022,Month_12,ames area,50.55,-1.85,-10.97
2022,Month_2,ames area,5.59,-0.08,-14.11
2022,Month_3,ames area,86.61,8.42,-3.75
2022,Month_4,ames area,134.87,12.3,-0.35
2022,Month_5,ames area,158.24,21.77,9.91
2022,Month_6,ames area,135.64,28.0,14.72
2022,Month_7,ames area,87.38,29.39,17.07
2022,Month_8,ames area,61.72,28.67,15.65
2022,Month_9,ames area,45.21,25.1,11.02
2023,Month_1,ames area,56.64,-0.56,-9.28
2023,Month_10,ames area,70.61,17.96,5.52
2023,Month_11,ames area,4.57,10.85,-3.48
