Year,Month,Stations,prec,tmax,tmin
2015,Month_1,ames municipal ap,28.97,0.29,-10.68
2015,Month_10,ames municipal ap,46.74,17.9,5.47
2015,Month_11,ames municipal ap,68.33,11.04,0.13
2015,Month_12,ames municipal ap,126.01,4.48,-2.96
2015,Month_2,ames municipal ap,6.11,-4.72,-16.09
2015,Month_3,ames municipal ap,6.36,11.11,-3.48
2015,Month_4,ames municipal ap,113.04,17.65,4.3
2015,Month_5,ames municipal ap,112.03,21.4,10.84
2015,Month_6,ames municipal ap,185.43,26.65,15.8
2015,Month_7,ames municipal ap,202.95,27.81,16.79
2015,Month_8,ames municipal ap,243.09,25.86,14.87
2015,Month_9,ames municipal ap,118.62,26.46,13.76
2016,Month_1,ames municipal ap,10.69,-2.8,-10.5
2016,Month_10,ames municipal ap,19.82,19.82,6.9
2016,Month_11,ames municipal ap,38.36,13.96,0.41
2016,Month_12,ames municipal ap,33.79,0.3,-8.39
2016,Month_2,ames municipal ap,9.69,2.13,-5.94
2016,Month_3,ames municipal ap,57.42,12.2,0.11
2016,Month_4,ames municipal ap,95.77,16.7,4.06
2016,Month_5,ames municipal ap,90.18,22.28,9.07
2016,Month_6,ames municipal ap,43.44,30.27,16.67
2016,Month_7,ames municipal ap,141.99,28.65,17.5
2016,Month_8,ames municipal ap,251.21,27.87,16.52
2016,Month_9,ames municipal ap,227.08,25.81,13.74
2017,Month_1,ames municipal ap,46.76,-0.3,-7.2
2017,Month_10,ames municipal ap,164.6,17.53,5.9
2017,Month_11,ames municipal ap,7.89,9.09,-3.33
2017,Month_12,ames municipal ap,9.41,1.04,-9.61
2017,Month_2,ames municipal ap,33.54,7.9,-4.29
2017,Month_3,ames municipal ap,71.39,8.24,-1.77
2017,Month_4,ames municipal ap,97.55,16.59,5.69
2017,Month_5,ames municipal ap,137.16,22.03,8.85
2017,Month_6,ames municipal ap,72.4,29.43,15.26
2017,Month_7,ames municipal ap,71.63,30.5,17.78
2017,Month_8,ames municipal ap,103.14,26.5,13.63
2017,Month_9,ames municipal ap,73.66,26.85,12.46
2018,Month_1,ames municipal ap,28.72,-1.61,-12.35
2018,Month_10,ames municipal ap,86.88,15.38,3.57
2018,Month_11,ames municipal ap,46.24,3.89,-4.93
2018,Month_12,ames municipal ap,59.19,2.91,-6.3
2018,Month_2,ames municipal ap,35.06,-0.6,-11.03
2018,Month_3,ames municipal ap,81.8,6.91,-2.56
2018,Month_4,ames municipal ap,39.13,11.72,-1.46
2018,Month_5,ames municipal ap,153.67,26.52,13.73
2018,Month_6,ames municipal ap,323.86,29.02,17.69
2018,Month_7,ames municipal ap,121.93,29.43,17.33
2018,Month_8,ames municipal ap,193.05,28.11,16.81
2018,Month_9,ames municipal ap,200.16,24.41,13.15
2019,Month_1,ames municipal ap,25.92,-2.46,-12.8
2019,Month_10,ames municipal ap,124.72,13.76,2.01
2019,Month_11,ames municipal ap,44.2,5.46,-4.81
2019,Month_12,ames municipal ap,26.93,4.11,-7.11
2019,Month_2,ames municipal ap,52.59,-3.77,-14.6
2019,Month_3,ames municipal ap,30.74,4.8,-5.14
2019,Month_4,ames municipal ap,77.98,17.11,3.56
2019,Month_5,ames municipal ap,215.91,20.38,9.05
2019,Month_6,ames municipal ap,73.67,27.09,15.54
2019,Month_7,ames municipal ap,120.15,29.62,17.97
2019,Month_8,ames municipal ap,59.19,26.93,15.02
2019,Month_9,ames municipal ap,122.68,26.59,14.67
2020,Month_1,ames municipal ap,34.3,-0.9,-9.21
2020,Month_10,ames municipal ap,32.78,14.62,1.65
2020,Month_11,ames municipal ap,33.28,11.82,-2.05
2020,Month_12,ames municipal ap,32.26,2.81,-8.78
2020,Month_2,ames municipal ap,14.99,1.61,-9.0
2020,Month_3,ames municipal ap,69.61,11.02,-0.11
2020,Month_4,ames municipal ap,50.57,15.87,1.93
2020,Month_5,ames municipal ap,152.15,20.13,9.46
2020,Month_6,ames municipal ap,45.47,29.3,17.44
2020,Month_7,ames municipal ap,81.8,30.52,17.74
2020,Month_8,ames municipal ap,51.57,29.17,14.8
2020,Month_9,ames municipal ap,83.32,23.49,9.9
2021,Month_1,ames municipal ap,38.61,-0.48,-8.91
2021,Month_10,ames municipal ap,164.09,18.94,7.24
2021,Month_11,ames municipal ap,42.93,10.59,-2.55
2021,Month_12,ames municipal ap,24.9,6.2,-5.79
2021,Month_2,ames municipal ap,18.8,-6.29,-15.46
2021,Month_3,ames municipal ap,66.8,12.28,-0.2
2021,Month_4,ames municipal ap,15.25,17.74,4.22
2021,Month_5,ames municipal ap,96.79,21.33,9.64
2021,Month_6,ames municipal ap,50.05,30.95,16.27
2021,Month_7,ames municipal ap,91.96,29.61,16.97
2021,Month_8,ames municipal ap,114.05,29.64,16.4
2021,Month_9,ames municipal ap,61.73,27.8,11.65
2022,Month_1,ames municipal ap,24.14,-2.4,-15.93
2022,Month_10,ames municipal ap,22.61,19.03,1.63
2022,Month_11,ames municipal ap,63.77,8.74,-3.44
2022,Month_12,ames municipal ap,49.79,-0.36,-9.82
2022,Month_2,ames municipal ap,5.34,1.11,-12.86
2022,Month_3,ames municipal ap,101.1,8.69,-2.26
2022,Month_4,ames municipal ap,140.98,13.96,1.57
2022,Month_5,ames municipal ap,146.31,22.78,11.16
2022,Month_6,ames municipal ap,212.86,29.43,16.41
2022,Month_7,ames municipal ap,76.72,29.8,17.89
2022,Month_8,ames municipal ap,73.15,29.17,16.37
2022,Month_9,ames municipal ap,55.63,25.52,11.42
2023,Month_1,ames municipal ap,63.77,0.04,-8.82
2023,Month_10,ames municipal ap,85.1,18.39,6.29
2023,Month_11,ames municipal ap,3.3,12.06,-1.96
2023,Month_12,ames municipal ap,39.63,6.87,-2.57
2023,Month_2,ames municipal ap,72.4,3.62,-8.93
2023,Month_3,ames municipal ap,53.86,7.81,-3.82
2023,Month_4,ames municipal ap,73.41,17.59,2.63
2023,Month_5,ames municipal ap,94.24,25.22,10.54
2023,Month_6,ames municipal ap,72.65,29.22,15.33
2023,Month_7,ames municipal ap,83.57,28.78,16.47
2023,Month_8,ames municipal ap,107.95,29.2,17.07
2023,Month_9,ames municipal ap,63.76,27.74,12.39
2024,Month_1,ames municipal ap,26.17,-2.17,-9.46
2024,Month_10,ames municipal ap,57.41,22.85,5.0
2024,Month_11,ames municipal ap,103.13,10.09,0.02
2024,Month_12,ames municipal ap,0.0,4.44,-10.28
2024,Month_2,ames municipal ap,1.53,10.77,-4.44
2024,Month_3,ames municipal ap,84.84,12.49,-1.42
2024,Month_4,ames municipal ap,126.75,18.19,4.57
2024,Month_5,ames municipal ap,227.59,23.98,10.56
2024,Month_6,ames municipal ap,114.83,29.26,16.87
2024,Month_7,ames municipal ap,131.58,28.49,17.47
2024,Month_8,ames municipal ap,65.03,28.14,16.36
2024,Month_9,ames municipal ap,21.09,27.96,11.35
