Year,Month,Stations,prec,tmax,tmin
2015,Month_1,ames-8-wsw,4.83,1.19,-9.76
2015,Month_10,ames-8-wsw,32.26,18.57,6.06
2015,Month_11,ames-8-wsw,69.85,11.19,0.69
2015,Month_12,ames-8-wsw,128.28,3.8,-3.03
2015,Month_2,ames-8-wsw,23.88,-3.77,-14.9
2015,Month_3,ames-8-wsw,5.34,11.88,-3.13
2015,Month_4,ames-8-wsw,87.64,17.91,4.81
2015,Month_5,ames-8-wsw,116.08,22.19,11.13
2015,Month_6,ames-8-wsw,175.26,26.76,16.17
2015,Month_7,ames-8-wsw,151.39,27.72,17.53
2015,Month_8,ames-8-wsw,209.8,26.0,15.69
2015,Month_9,ames-8-wsw,128.27,26.98,14.76
2016,Month_1,ames-8-wsw,15.25,-2.74,-10.22
2016,Month_10,ames-8-wsw,14.99,21.11,8.16
2016,Month_11,ames-8-wsw,44.2,14.07,1.98
2016,Month_12,ames-8-wsw,29.72,-0.02,-8.17
2016,Month_2,ames-8-wsw,17.28,2.47,-5.61
2016,Month_3,ames-8-wsw,37.6,13.1,1.16
2016,Month_4,ames-8-wsw,103.89,17.37,4.8
2016,Month_5,ames-8-wsw,108.71,22.24,10.29
2016,Month_6,ames-8-wsw,24.64,29.94,17.43
2016,Month_7,ames-8-wsw,148.59,28.67,18.22
2016,Month_8,ames-8-wsw,209.04,27.67,17.6
2016,Month_9,ames-8-wsw,200.66,26.74,14.46
2017,Month_1,ames-8-wsw,47.0,-0.77,-7.19
2017,Month_10,ames-8-wsw,154.18,18.11,7.17
2017,Month_11,ames-8-wsw,6.61,9.2,-1.94
2017,Month_12,ames-8-wsw,4.32,1.37,-9.17
2017,Month_2,ames-8-wsw,30.48,8.55,-3.31
2017,Month_3,ames-8-wsw,79.0,8.82,-1.38
2017,Month_4,ames-8-wsw,77.73,16.83,5.98
2017,Month_5,ames-8-wsw,156.46,22.74,9.86
2017,Month_6,ames-8-wsw,43.94,29.37,16.53
2017,Month_7,ames-8-wsw,25.15,30.52,18.29
2017,Month_8,ames-8-wsw,84.84,26.43,15.35
2017,Month_9,ames-8-wsw,45.72,27.06,13.8
2018,Month_1,ames-8-wsw,33.28,-1.95,-11.59
2018,Month_10,ames-8-wsw,123.19,16.16,4.28
2018,Month_11,ames-8-wsw,41.15,4.33,-4.25
2018,Month_12,ames-8-wsw,66.55,2.59,-5.74
2018,Month_2,ames-8-wsw,29.47,-0.52,-10.67
2018,Month_3,ames-8-wsw,63.25,6.83,-2.44
2018,Month_4,ames-8-wsw,32.26,11.74,-1.02
2018,Month_5,ames-8-wsw,101.09,26.76,14.46
2018,Month_6,ames-8-wsw,281.94,28.81,17.89
