Year,Month,Stations,prec,tmax,tmin
2015,Month_1,anamosa3ssw,14.22,-1.72,-10.88
2015,Month_10,anamosa3ssw,81.54,17.5,4.93
2015,Month_11,anamosa3ssw,114.3,10.78,0.04
2015,Month_12,anamosa3ssw,115.34,5.9,-1.88
2015,Month_2,anamosa3ssw,41.16,-5.43,-16.36
2015,Month_3,anamosa3ssw,19.32,7.74,-5.14
2015,Month_4,anamosa3ssw,76.2,17.28,2.96
2015,Month_5,anamosa3ssw,141.48,20.79,9.95
2015,Month_6,anamosa3ssw,220.98,25.59,13.85
2015,Month_7,anamosa3ssw,51.05,27.02,15.74
2015,Month_8,anamosa3ssw,65.53,25.72,13.81
2015,Month_9,anamosa3ssw,124.21,26.2,13.39
2016,Month_1,anamosa3ssw,12.46,-2.8,-11.08
2016,Month_10,anamosa3ssw,59.18,18.85,7.09
2016,Month_11,anamosa3ssw,61.98,13.52,0.82
2016,Month_12,anamosa3ssw,42.17,-1.45,-8.3
2016,Month_2,anamosa3ssw,15.0,1.84,-5.75
2016,Month_3,anamosa3ssw,69.1,10.39,-0.39
2016,Month_4,anamosa3ssw,62.24,14.54,3.2
2016,Month_5,anamosa3ssw,113.79,21.08,8.28
2016,Month_6,anamosa3ssw,158.75,27.64,14.98
2016,Month_7,anamosa3ssw,130.82,26.97,17.11
2016,Month_8,anamosa3ssw,145.55,27.72,16.78
2016,Month_9,anamosa3ssw,152.91,25.39,13.37
2017,Month_1,anamosa3ssw,44.72,-0.14,-7.38
2017,Month_10,anamosa3ssw,94.49,17.65,6.47
2017,Month_11,anamosa3ssw,20.07,7.91,-2.72
2017,Month_12,anamosa3ssw,9.42,1.15,-8.78
2017,Month_2,anamosa3ssw,29.46,7.45,-4.44
2017,Month_3,anamosa3ssw,65.28,8.43,-1.97
2017,Month_4,anamosa3ssw,149.61,16.35,4.52
2017,Month_5,anamosa3ssw,127.0,19.93,8.09
2017,Month_6,anamosa3ssw,148.34,27.48,13.69
2017,Month_7,anamosa3ssw,175.77,28.31,16.19
2017,Month_8,anamosa3ssw,42.16,24.94,13.29
2017,Month_9,anamosa3ssw,9.15,25.85,11.22
2018,Month_1,anamosa3ssw,29.22,-1.74,-12.26
2018,Month_10,anamosa3ssw,129.29,15.02,4.05
2018,Month_11,anamosa3ssw,55.13,3.43,-3.96
2018,Month_12,anamosa3ssw,46.74,3.03,-5.29
2018,Month_2,anamosa3ssw,63.0,-0.87,-10.4
2018,Month_3,anamosa3ssw,55.88,6.43,-3.99
2018,Month_4,anamosa3ssw,21.09,10.24,-2.15
2018,Month_5,anamosa3ssw,167.64,25.56,12.29
2018,Month_6,anamosa3ssw,154.69,27.13,16.28
2018,Month_7,anamosa3ssw,138.69,27.89,15.26
2018,Month_8,anamosa3ssw,227.09,27.28,15.97
2018,Month_9,anamosa3ssw,211.33,24.41,12.72
2019,Month_1,anamosa3ssw,57.42,-2.9,-11.38
2019,Month_10,anamosa3ssw,120.66,14.01,2.87
2019,Month_11,anamosa3ssw,39.13,4.3,-4.96
2019,Month_12,anamosa3ssw,35.06,4.39,-5.3
2019,Month_2,anamosa3ssw,90.69,-2.62,-13.45
2019,Month_3,anamosa3ssw,44.2,4.44,-5.66
2019,Month_4,anamosa3ssw,105.66,14.85,2.54
2019,Month_5,anamosa3ssw,187.97,18.69,7.92
2019,Month_6,anamosa3ssw,83.31,25.31,13.94
2019,Month_7,anamosa3ssw,21.6,29.78,17.94
2019,Month_8,anamosa3ssw,67.06,26.42,14.03
2019,Month_9,anamosa3ssw,170.19,24.59,13.76
2020,Month_1,anamosa3ssw,39.64,-0.43,-7.96
2020,Month_10,anamosa3ssw,92.46,13.83,2.56
2020,Month_11,anamosa3ssw,55.88,12.11,-0.31
2020,Month_12,anamosa3ssw,37.6,2.22,-7.42
2020,Month_2,anamosa3ssw,12.96,0.73,-8.51
2020,Month_3,anamosa3ssw,70.88,9.01,-0.61
2020,Month_4,anamosa3ssw,79.0,14.19,0.93
2020,Month_5,anamosa3ssw,117.36,18.8,7.83
2020,Month_6,anamosa3ssw,149.87,26.94,15.19
2020,Month_7,anamosa3ssw,107.7,29.31,17.76
2020,Month_8,anamosa3ssw,39.13,27.99,14.69
2020,Month_9,anamosa3ssw,193.04,22.06,9.72
2021,Month_1,anamosa3ssw,12.2,-1.22,-9.61
2021,Month_10,anamosa3ssw,148.09,18.87,8.66
2021,Month_11,anamosa3ssw,13.98,8.95,-1.86
2021,Month_12,anamosa3ssw,28.21,5.43,-4.8
2021,Month_2,anamosa3ssw,15.51,-6.31,-15.14
2021,Month_3,anamosa3ssw,51.82,10.06,-0.37
2021,Month_4,anamosa3ssw,62.99,14.87,3.43
2021,Month_5,anamosa3ssw,83.57,19.64,8.62
