Year,Month,Stations,prec,tmax,tmin
2015,Month_1,atlantic-1-ne,4.33,2.09,-11.15
2015,Month_10,atlantic-1-ne,32.26,19.28,4.35
2015,Month_11,atlantic-1-ne,90.68,11.94,-0.2
2015,Month_12,atlantic-1-ne,168.16,4.16,-4.91
2015,Month_2,atlantic-1-ne,23.38,-2.0,-15.19
2015,Month_3,atlantic-1-ne,8.9,12.78,-4.68
2015,Month_4,atlantic-1-ne,100.85,17.52,2.44
2015,Month_5,atlantic-1-ne,164.85,20.82,9.41
2015,Month_6,atlantic-1-ne,190.0,26.91,14.8
2015,Month_7,atlantic-1-ne,152.15,28.41,16.38
2015,Month_8,atlantic-1-ne,112.53,26.95,14.0
2015,Month_9,atlantic-1-ne,145.04,26.85,13.56
2016,Month_1,atlantic-1-ne,15.51,-2.28,-11.63
2016,Month_10,atlantic-1-ne,47.0,21.09,6.49
2016,Month_11,atlantic-1-ne,45.98,14.87,0.02
2016,Month_12,atlantic-1-ne,34.3,1.08,-9.64
2016,Month_2,atlantic-1-ne,43.71,3.72,-6.84
2016,Month_3,atlantic-1-ne,32.78,13.73,-1.18
2016,Month_4,atlantic-1-ne,113.8,17.28,3.54
2016,Month_5,atlantic-1-ne,273.06,21.58,7.87
2016,Month_6,atlantic-1-ne,30.23,30.44,16.0
2016,Month_7,atlantic-1-ne,194.57,28.39,16.63
2016,Month_8,atlantic-1-ne,114.81,28.76,16.36
2016,Month_9,atlantic-1-ne,142.24,26.97,13.47
2017,Month_1,atlantic-1-ne,32.27,0.3,-7.8
2017,Month_10,atlantic-1-ne,124.72,18.85,6.22
2017,Month_11,atlantic-1-ne,8.39,9.92,-4.23
2017,Month_12,atlantic-1-ne,9.16,3.28,-10.43
2017,Month_2,atlantic-1-ne,29.46,8.33,-5.28
2017,Month_3,atlantic-1-ne,59.7,10.75,-1.33
2017,Month_4,atlantic-1-ne,81.53,17.37,4.54
2017,Month_5,atlantic-1-ne,172.98,22.62,8.33
2017,Month_6,atlantic-1-ne,70.61,29.59,14.72
2017,Month_7,atlantic-1-ne,56.14,31.23,17.94
2017,Month_8,atlantic-1-ne,215.39,27.2,13.17
2017,Month_9,atlantic-1-ne,41.92,27.35,12.28
2018,Month_1,atlantic-1-ne,19.06,-2.13,-13.89
2018,Month_10,atlantic-1-ne,100.84,15.66,2.92
2018,Month_11,atlantic-1-ne,27.19,5.38,-6.3
2018,Month_12,atlantic-1-ne,45.73,2.78,-7.03
2018,Month_2,atlantic-1-ne,32.78,-0.3,-11.81
2018,Month_3,atlantic-1-ne,43.46,8.32,-2.29
2018,Month_4,atlantic-1-ne,14.24,12.54,-2.89
2018,Month_5,atlantic-1-ne,125.48,27.17,12.87
2018,Month_6,atlantic-1-ne,254.51,28.91,17.1
2018,Month_7,atlantic-1-ne,79.25,29.9,16.57
2018,Month_8,atlantic-1-ne,204.22,29.04,15.59
2018,Month_9,atlantic-1-ne,167.89,25.52,13.72
2019,Month_1,atlantic-1-ne,12.47,-0.82,-11.04
2019,Month_10,atlantic-1-ne,120.14,15.67,2.19
2019,Month_11,atlantic-1-ne,20.07,6.96,-5.37
2019,Month_12,atlantic-1-ne,19.31,5.06,-6.67
2019,Month_2,atlantic-1-ne,43.45,-3.02,-15.87
2019,Month_3,atlantic-1-ne,55.63,6.2,-5.97
2019,Month_4,atlantic-1-ne,32.01,17.8,2.61
2019,Month_5,atlantic-1-ne,210.57,20.32,8.48
2019,Month_6,atlantic-1-ne,72.9,27.59,15.24
2019,Month_7,atlantic-1-ne,112.02,30.02,18.02
2019,Month_8,atlantic-1-ne,190.25,27.54,15.72
2019,Month_9,atlantic-1-ne,224.03,26.87,14.33
