Year,Month,Stations,prec,tmax,tmin
2015,Month_1,audubon,5.85,0.16,-11.56
2015,Month_10,audubon,42.42,17.93,4.59
2015,Month_11,audubon,88.14,10.93,-0.78
2015,Month_12,audubon,138.7,3.05,-4.87
2015,Month_2,audubon,22.87,-3.97,-16.23
2015,Month_3,audubon,3.56,10.88,-5.47
2015,Month_4,audubon,114.05,16.48,2.7
2015,Month_5,audubon,163.83,19.96,9.41
2015,Month_6,audubon,202.96,25.98,15.09
2015,Month_7,audubon,164.08,27.15,16.13
2015,Month_8,audubon,176.54,25.45,14.07
2015,Month_9,audubon,216.16,25.37,13.02
2016,Month_1,audubon,17.29,-3.6,-12.16
2016,Month_10,audubon,57.68,19.19,5.34
2016,Month_11,audubon,29.98,12.72,-0.87
2016,Month_12,audubon,33.03,-0.3,-10.91
2016,Month_2,audubon,33.02,1.95,-7.62
2016,Month_3,audubon,29.98,12.26,-1.09
2016,Month_4,audubon,100.09,16.04,3.3
2016,Month_5,audubon,196.34,20.72,7.49
2016,Month_6,audubon,59.18,29.44,15.89
2016,Month_7,audubon,103.89,27.69,16.41
2016,Month_8,audubon,158.25,27.32,15.96
2016,Month_9,audubon,200.92,25.19,12.69
2017,Month_1,audubon,31.5,-1.27,-8.87
2017,Month_10,audubon,149.11,17.22,5.3
2017,Month_11,audubon,3.82,8.28,-4.56
2017,Month_12,audubon,7.38,1.67,-10.16
2017,Month_2,audubon,27.95,6.35,-6.25
2017,Month_3,audubon,70.37,8.55,-2.63
2017,Month_4,audubon,59.18,15.2,3.3
2017,Month_5,audubon,207.27,20.52,7.11
2017,Month_6,audubon,63.25,27.95,13.87
2017,Month_7,audubon,69.85,29.42,16.81
2017,Month_8,audubon,223.27,25.56,12.62
2017,Month_9,audubon,84.58,25.61,11.93
2018,Month_1,audubon,21.09,-3.51,-13.98
2018,Month_10,audubon,132.34,13.94,1.96
2018,Month_11,audubon,24.39,3.74,-7.22
2018,Month_12,audubon,68.59,1.28,-7.74
2018,Month_2,audubon,26.69,-2.04,-12.72
2018,Month_3,audubon,49.54,6.63,-3.1
2018,Month_4,audubon,35.82,10.59,-3.35
2018,Month_5,audubon,138.18,25.43,11.77
2018,Month_6,audubon,194.82,27.38,16.35
2018,Month_7,audubon,55.37,28.05,15.67
2018,Month_8,audubon,145.55,27.39,14.46
2018,Month_9,audubon,158.5,24.11,12.33
2019,Month_1,audubon,5.61,-2.02,-12.0
2019,Month_10,audubon,136.65,13.96,0.93
2019,Month_11,audubon,23.89,5.33,-6.07
2019,Month_12,audubon,25.4,3.64,-8.08
2019,Month_2,audubon,47.25,-5.64,-16.26
2019,Month_3,audubon,57.67,3.37,-6.94
2019,Month_4,audubon,42.43,16.17,1.72
2019,Month_5,audubon,167.39,18.76,7.65
2019,Month_6,audubon,46.74,25.94,14.14
2019,Month_7,audubon,100.85,28.24,16.8
2019,Month_8,audubon,174.77,25.84,14.75
2019,Month_9,audubon,191.77,25.3,13.39
2020,Month_1,audubon,26.68,-1.06,-10.34
2020,Month_10,audubon,42.93,13.83,0.61
2020,Month_11,audubon,53.85,12.26,-2.36
2020,Month_12,audubon,26.68,2.67,-10.02
2020,Month_2,audubon,8.9,1.69,-10.16
2020,Month_3,audubon,50.81,9.89,-1.79
2020,Month_4,audubon,23.62,15.09,-0.04
2020,Month_5,audubon,120.92,18.78,7.89
2020,Month_6,audubon,60.72,28.73,16.81
2020,Month_7,audubon,35.83,29.61,17.13
2020,Month_8,audubon,22.87,29.03,14.14
2020,Month_9,audubon,71.63,22.95,8.74
2021,Month_1,audubon,29.72,-0.23,-9.52
2021,Month_10,audubon,129.55,18.44,5.23
