prec,2015,16.27,38.38,7.37,117.1,146.31,210.57,122.18,221.49,133.86,37.09,97.28,155.98
tmin,2015,-11.72,-16.09,-5.19,3.2,9.73,14.72,16.43,14.71,13.83,4.96,0.07,-4.01
tmax,2015,-0.39,-4.37,9.96,17.09,20.65,25.69,27.4,25.77,26.48,18.12,10.85,3.87
prec,2016,22.12,39.63,38.36,84.85,143.77,45.47,218.95,200.66,177.3,23.9,45.99,33.79
tmin,2016,-11.52,-7.86,-0.79,3.57,8.35,15.54,17.06,16.57,13.37,6.38,0.61,-9.82
tmax,2016,-3.12,2,11.74,16.59,21.24,29.56,28.06,27.44,25.56,19.39,13.79,-0.43
prec,2017,44.22,40.39,74.68,82.3,163.33,80.78,31.5,80.53,61.22,185.94,8.14,13.47
tmin,2017,-8.44,-5.44,-2.81,4.41,8.01,13.89,18.01,14.1,12.59,5.95,-3.74,-9.68
tmax,2017,-1.11,6.94,7.69,15.98,21.06,28.59,30.46,26.86,27.26,17.8,8.24,1.9
prec,2018,42.17,45.22,72.15,49.03,94.24,290.07,115.83,155.7,135.39,124.22,42.68,64.28
tmin,2018,-13.96,-12.4,-3.17,-1.94,12.85,17.11,17.18,16.11,13.18,2.85,-5.67,-6.67
tmax,2018,-2.96,-1.49,6.33,10.48,26.29,28.61,29.18,27.74,24.27,14.52,3.8,2.48
prec,2019,22.62,57.67,30.49,43.7,213.88,156.98,165.86,46.24,148.1,181.87,45.47,32.01
tmin,2019,-12.56,-15.71,-6.57,3,8.23,14.39,17.72,15.23,14.74,2.31,-4.85,-7.17
tmax,2019,-2.31,-4.35,4.04,16.52,19.44,26.51,29.26,26.95,25.76,14.22,5.13,3.92
prec,2020,39.89,14.49,53.86,22.88,139.45,51.06,55.37,27.69,81.03,64.77,53.34,29.21
tmin,2020,-9.93,-9.94,-1.36,1.26,9.01,16.69,18.28,15.91,10.24,1.33,-1.41,-8.57
tmax,2020,-1.02,1.82,10.29,15.41,19.75,28.91,31.06,29.98,23.31,15.13,12.74,2.93
prec,2021,29.98,21.35,65.79,17.28,130.82,40.4,78.23,100.84,51.31,153.17,27.69,15.5
tmin,2021,-9.32,-16.15,-0.41,3.13,9.5,15.8,17.13,16.96,11.85,6.47,-2.19,-5.73
tmax,2021,-0.05,-5.91,11.42,16.74,20.93,30.04,29.39,29.63,27.07,19,10.28,6.02
prec,2022,28.22,7.63,83.57,97.55,118.89,161.55,83.57,71.38,56.9,15.24,32.02,48.77
tmin,2022,-17.69,-13.91,-3.82,-0.65,9.75,15.19,17.49,16.33,11.04,1.76,-3.35,-10.97
tmax,2022,-3.08,0.2,8.73,12.39,22.1,28.52,29.46,28.96,25.09,18.83,8.83,-1.85
prec,2023,59.45,73.16,45.99,69.86,83.57,94.5,143.76,76.72,50.55,44.2,3.81,40.39
tmin,2023,-9.53,-11.07,-4.82,2.17,9.82,14.65,15.63,16.37,12.38,5.37,-3.83,-3.93
tmax,2023,-0.32,2.38,6.34,17,24.03,28.41,27.54,28.72,26.69,18.65,11.03,5.96
prec,2024,48.78,5.34,82.3,105.92,182.64,119.39,118.12,52.84,26.92,47.5,87.39,1.27
tmin,2024,-10.9,-5.1,-3.24,3.22,9.32,15.3,16.18,15.67,11.65,5.34,-0.76,-11.25
tmax,2024,-3.41,9.77,11.38,17.24,23.01,28.5,27.58,27.72,27.41,22.51,9.44,1.32
