Year,Month,Stations,prec,tmax,tmin
2015,Month_1,boone,16.27,-0.39,-11.72
2015,Month_10,boone,37.09,18.12,4.96
2015,Month_11,boone,97.28,10.85,0.07
2015,Month_12,boone,155.98,3.87,-4.01
2015,Month_2,boone,38.38,-4.37,-16.09
2015,Month_3,boone,7.37,9.96,-5.19
2015,Month_4,boone,117.1,17.09,3.2
2015,Month_5,boone,146.31,20.65,9.73
2015,Month_6,boone,210.57,25.69,14.72
2015,Month_7,boone,122.18,27.4,16.43
2015,Month_8,boone,221.49,25.77,14.71
2015,Month_9,boone,133.86,26.48,13.83
2016,Month_1,boone,22.12,-3.12,-11.52
2016,Month_10,boone,23.9,19.39,6.38
2016,Month_11,boone,45.99,13.79,0.61
2016,Month_12,boone,33.79,-0.43,-9.82
2016,Month_2,boone,39.63,2.0,-7.86
2016,Month_3,boone,38.36,11.74,-0.79
2016,Month_4,boone,84.85,16.59,3.57
2016,Month_5,boone,143.77,21.24,8.35
2016,Month_6,boone,45.47,29.56,15.54
2016,Month_7,boone,218.95,28.06,17.06
2016,Month_8,boone,200.66,27.44,16.57
2016,Month_9,boone,177.3,25.56,13.37
2017,Month_1,boone,44.22,-1.11,-8.44
2017,Month_10,boone,185.94,17.8,5.95
2017,Month_11,boone,8.14,8.24,-3.74
2017,Month_12,boone,13.47,1.9,-9.68
2017,Month_2,boone,40.39,6.94,-5.44
2017,Month_3,boone,74.68,7.69,-2.81
2017,Month_4,boone,82.3,15.98,4.41
2017,Month_5,boone,163.33,21.06,8.01
2017,Month_6,boone,80.78,28.59,13.89
2017,Month_7,boone,31.5,30.46,18.01
2017,Month_8,boone,80.53,26.86,14.1
2017,Month_9,boone,61.22,27.26,12.59
2018,Month_1,boone,42.17,-2.96,-13.96
2018,Month_10,boone,124.22,14.52,2.85
2018,Month_11,boone,42.68,3.8,-5.67
2018,Month_12,boone,64.28,2.48,-6.67
2018,Month_2,boone,45.22,-1.49,-12.4
2018,Month_3,boone,72.15,6.33,-3.17
2018,Month_4,boone,49.03,10.48,-1.94
2018,Month_5,boone,94.24,26.29,12.85
2018,Month_6,boone,290.07,28.61,17.11
2018,Month_7,boone,115.83,29.18,17.18
2018,Month_8,boone,155.7,27.74,16.11
2018,Month_9,boone,135.39,24.27,13.18
2019,Month_1,boone,22.62,-2.31,-12.56
2019,Month_10,boone,181.87,14.22,2.31
2019,Month_11,boone,45.47,5.13,-4.85
2019,Month_12,boone,32.01,3.92,-7.17
2019,Month_2,boone,57.67,-4.35,-15.71
2019,Month_3,boone,30.49,4.04,-6.57
2019,Month_4,boone,43.7,16.52,3.0
2019,Month_5,boone,213.88,19.44,8.23
2019,Month_6,boone,156.98,26.51,14.39
2019,Month_7,boone,165.86,29.26,17.72
2019,Month_8,boone,46.24,26.95,15.23
2019,Month_9,boone,148.1,25.76,14.74
2020,Month_1,boone,39.89,-1.02,-9.93
2020,Month_10,boone,64.77,15.13,1.33
2020,Month_11,boone,53.34,12.74,-1.41
2020,Month_12,boone,29.21,2.93,-8.57
2020,Month_2,boone,14.49,1.82,-9.94
2020,Month_3,boone,53.86,10.29,-1.36
2020,Month_4,boone,22.88,15.41,1.26
2020,Month_5,boone,139.45,19.75,9.01
2020,Month_6,boone,51.06,28.91,16.69
2020,Month_7,boone,55.37,31.06,18.28
2020,Month_8,boone,27.69,29.98,15.91
2020,Month_9,boone,81.03,23.31,10.24
2021,Month_1,boone,29.98,-0.05,-9.32
2021,Month_10,boone,153.17,19.0,6.47
2021,Month_11,boone,27.69,10.28,-2.19
2021,Month_12,boone,15.5,6.02,-5.73
2021,Month_2,boone,21.35,-5.91,-16.15
2021,Month_3,boone,65.79,11.42,-0.41
2021,Month_4,boone,17.28,16.74,3.13
2021,Month_5,boone,130.82,20.93,9.5
2021,Month_6,boone,40.4,30.04,15.8
2021,Month_7,boone,78.23,29.39,17.13
2021,Month_8,boone,100.84,29.63,16.96
2021,Month_9,boone,51.31,27.07,11.85
2022,Month_1,boone,28.22,-3.08,-17.69
2022,Month_10,boone,15.24,18.83,1.76
2022,Month_11,boone,32.02,8.83,-3.35
2022,Month_12,boone,48.77,-1.85,-10.97
2022,Month_2,boone,7.63,0.2,-13.91
2022,Month_3,boone,83.57,8.73,-3.82
2022,Month_4,boone,97.55,12.39,-0.65
2022,Month_5,boone,118.89,22.1,9.75
2022,Month_6,boone,161.55,28.52,15.19
2022,Month_7,boone,83.57,29.46,17.49
2022,Month_8,boone,71.38,28.96,16.33
2022,Month_9,boone,56.9,25.09,11.04
2023,Month_1,boone,59.45,-0.32,-9.53
2023,Month_10,boone,44.2,18.65,5.37
2023,Month_11,boone,3.81,11.03,-3.83
2023,Month_12,boone,40.39,5.96,-3.93
2023,Month_2,boone,73.16,2.38,-11.07
2023,Month_3,boone,45.99,6.34,-4.82
2023,Month_4,boone,69.86,17.0,2.17
2023,Month_5,boone,83.57,24.03,9.82
2023,Month_6,boone,94.5,28.41,14.65
2023,Month_7,boone,143.76,27.54,15.63
2023,Month_8,boone,76.72,28.72,16.37
2023,Month_9,boone,50.55,26.69,12.38
2024,Month_1,boone,48.78,-3.41,-10.9
2024,Month_10,boone,47.5,22.51,5.34
2024,Month_11,boone,87.39,9.44,-0.76
2024,Month_12,boone,1.27,1.32,-11.25
2024,Month_2,boone,5.34,9.77,-5.1
2024,Month_3,boone,82.3,11.38,-3.24
2024,Month_4,boone,105.92,17.24,3.22
2024,Month_5,boone,182.64,23.01,9.32
2024,Month_6,boone,119.39,28.5,15.3
2024,Month_7,boone,118.12,27.58,16.18
2024,Month_8,boone,52.84,27.72,15.67
2024,Month_9,boone,26.92,27.41,11.65
