prec,2015,30.48,39.12,9.65,43.18,111,217.93,212.09,92.97,30.74,56.14,157.48,123.71
tmin,2015,-9.37,-13.67,-3.01,5.81,12,16.63,18.13,16.61,15.19,6.7,2.02,-0.2
tmax,2015,0.43,-3,9.44,19.52,23.3,27.13,28.57,27.64,28.74,19.02,12.78,7.67
prec,2016,16.01,36.84,86.36,75.69,88.9,23.62,199.64,137.92,83.31,68.58,47.5,38.86
tmin,2016,-8.87,-5.3,1.39,5.59,10.59,17.18,19.03,19.48,15.94,9.95,2.07,-6.77
tmax,2016,0,4.07,12.8,17.62,22.46,30.95,29.34,29.89,28.63,21.29,14.94,0.88
prec,2017,44.2,6.61,81.79,163.32,94.74,22.86,147.07,142.24,1.78,138.43,30.48,12.19
tmin,2017,-6.35,-2.46,-0.41,6.65,10.24,16.3,18.39,15.71,13.39,8.49,-2.24,-7.38
tmax,2017,2.07,10.28,10.78,17.98,22.37,29.67,30.89,27.5,27.22,19.53,8.93,2.9
prec,2018,22.1,109.48,81.03,26.92,85.6,114.55,69.34,95.5,175.77,170.69,71.12,62.48
tmin,2018,-11.43,-8.04,-2.28,-0.56,14.21,18.33,18.41,18.37,15.09,5.73,-3.52,-4.23
tmax,2018,-0.37,2.34,8.44,12.13,28.01,29.72,29.59,30.13,26.89,16.97,4.91,4.94
prec,2019,93.22,66.8,94.24,54.61,319.02,97.03,71.12,75.18,256.54,65.79,41.66,29.72
tmin,2019,-10.11,-10.1,-3.81,4.48,10.43,15.79,20,17.47,16.41,5.04,-3.26,-4.82
tmax,2019,-0.59,0.95,7.63,17.13,20.73,26.4,31.07,28.01,26.98,17.11,6.95,6.74
prec,2020,79,13.21,78.99,73.15,85.6,135.13,74.17,6.86,124.21,42.42,65.28,69.35
tmin,2020,-7.2,-7.68,0.48,2.36,9.84,17.3,19.66,17.13,11.9,4.1,0.63,-5.57
tmax,2020,2.2,3.35,11.51,15.71,20.36,28.81,30.27,29.33,23.85,15.52,13.63,4.74
prec,2021,61.21,38.87,94.74,132.84,160.02,139.7,152.66,98.55,80.52,121.41,9.4,18.04
tmin,2021,-6.57,-13.08,1.59,4.6,10.59,17.51,18.87,16.57,15.02,10.86,-0.46,-2.45
tmax,2021,1.15,-4.29,13.08,16.8,21.04,28.31,28.51,29.48,28.18,20.43,11.44,9.73
prec,2022,24.64,44.2,102.62,115.82,91.44,91.69,58.93,27.94,115.82,61.21,36.58,32.02
tmin,2022,-14.76,-11.83,-1.15,2.49,12.9,17.33,19.35,18.84,13.96,4.96,-0.44,-8.05
tmax,2022,-1.2,2.72,11.31,14.49,24.01,29.04,29.79,29.18,26.28,18.85,11.5,1.68
prec,2023,52.07,65.79,89.66,43.43,75.69,78.49,187.71,161.55,52.83,74.42,17.53,66.55
tmin,2023,-4.7,-6.52,-1.65,3.44,10.69,15.17,17.24,17.11,13.56,6.94,-1.87,-0.73
tmax,2023,3.17,5.99,8.76,19.04,24.28,28.89,29.3,28.26,26.11,19,10.44,6.99
prec,2024,79.51,2.55,142.5,206.76,85.6,80.27,216.41,80.77,16.26,55.12,95.26,0.77
tmin,2024,-8.64,-3.13,0.48,5,12.44,17.39,17.65,16.65,13.23,6.65,1.41,-9.58
tmax,2024,-2.15,10.89,12.76,17.43,25.09,29.2,28.07,28.17,26.45,22.31,10.96,1.53
