Year,Month,Stations,prec,tmax,tmin
2015,Month_1,burlington,30.48,0.43,-9.37
2015,Month_10,burlington,56.14,19.02,6.7
2015,Month_11,burlington,157.48,12.78,2.02
2015,Month_12,burlington,123.71,7.67,-0.2
2015,Month_2,burlington,39.12,-3.0,-13.67
2015,Month_3,burlington,9.65,9.44,-3.01
2015,Month_4,burlington,43.18,19.52,5.81
2015,Month_5,burlington,111.0,23.3,12.0
2015,Month_6,burlington,217.93,27.13,16.63
2015,Month_7,burlington,212.09,28.57,18.13
2015,Month_8,burlington,92.97,27.64,16.61
2015,Month_9,burlington,30.74,28.74,15.19
2016,Month_1,burlington,16.01,0.0,-8.87
2016,Month_10,burlington,68.58,21.29,9.95
2016,Month_11,burlington,47.5,14.94,2.07
2016,Month_12,burlington,38.86,0.88,-6.77
2016,Month_2,burlington,36.84,4.07,-5.3
2016,Month_3,burlington,86.36,12.8,1.39
2016,Month_4,burlington,75.69,17.62,5.59
2016,Month_5,burlington,88.9,22.46,10.59
2016,Month_6,burlington,23.62,30.95,17.18
2016,Month_7,burlington,199.64,29.34,19.03
2016,Month_8,burlington,137.92,29.89,19.48
2016,Month_9,burlington,83.31,28.63,15.94
2017,Month_1,burlington,44.2,2.07,-6.35
2017,Month_10,burlington,138.43,19.53,8.49
2017,Month_11,burlington,30.48,8.93,-2.24
2017,Month_12,burlington,12.19,2.9,-7.38
2017,Month_2,burlington,6.61,10.28,-2.46
2017,Month_3,burlington,81.79,10.78,-0.41
2017,Month_4,burlington,163.32,17.98,6.65
2017,Month_5,burlington,94.74,22.37,10.24
2017,Month_6,burlington,22.86,29.67,16.3
2017,Month_7,burlington,147.07,30.89,18.39
2017,Month_8,burlington,142.24,27.5,15.71
2017,Month_9,burlington,1.78,27.22,13.39
2018,Month_1,burlington,22.1,-0.37,-11.43
2018,Month_10,burlington,170.69,16.97,5.73
2018,Month_11,burlington,71.12,4.91,-3.52
2018,Month_12,burlington,62.48,4.94,-4.23
2018,Month_2,burlington,109.48,2.34,-8.04
2018,Month_3,burlington,81.03,8.44,-2.28
2018,Month_4,burlington,26.92,12.13,-0.56
2018,Month_5,burlington,85.6,28.01,14.21
2018,Month_6,burlington,114.55,29.72,18.33
2018,Month_7,burlington,69.34,29.59,18.41
2018,Month_8,burlington,95.5,30.13,18.37
2018,Month_9,burlington,175.77,26.89,15.09
2019,Month_1,burlington,93.22,-0.59,-10.11
2019,Month_10,burlington,65.79,17.11,5.04
2019,Month_11,burlington,41.66,6.95,-3.26
2019,Month_12,burlington,29.72,6.74,-4.82
2019,Month_2,burlington,66.8,0.95,-10.1
2019,Month_3,burlington,94.24,7.63,-3.81
2019,Month_4,burlington,54.61,17.13,4.48
2019,Month_5,burlington,319.02,20.73,10.43
2019,Month_6,burlington,97.03,26.4,15.79
2019,Month_7,burlington,71.12,31.07,20.0
2019,Month_8,burlington,75.18,28.01,17.47
2019,Month_9,burlington,256.54,26.98,16.41
2020,Month_1,burlington,79.0,2.2,-7.2
2020,Month_10,burlington,42.42,15.52,4.1
2020,Month_11,burlington,65.28,13.63,0.63
2020,Month_12,burlington,69.35,4.74,-5.57
2020,Month_2,burlington,13.21,3.35,-7.68
2020,Month_3,burlington,78.99,11.51,0.48
2020,Month_4,burlington,73.15,15.71,2.36
2020,Month_5,burlington,85.6,20.36,9.84
2020,Month_6,burlington,135.13,28.81,17.3
2020,Month_7,burlington,74.17,30.27,19.66
2020,Month_8,burlington,6.86,29.33,17.13
2020,Month_9,burlington,124.21,23.85,11.9
2021,Month_1,burlington,61.21,1.15,-6.57
2021,Month_10,burlington,121.41,20.43,10.86
2021,Month_11,burlington,9.4,11.44,-0.46
2021,Month_12,burlington,18.04,9.73,-2.45
2021,Month_2,burlington,38.87,-4.29,-13.08
2021,Month_3,burlington,94.74,13.08,1.59
2021,Month_4,burlington,132.84,16.8,4.6
2021,Month_5,burlington,160.02,21.04,10.59
2021,Month_6,burlington,139.7,28.31,17.51
2021,Month_7,burlington,152.66,28.51,18.87
2021,Month_8,burlington,98.55,29.48,16.57
2021,Month_9,burlington,80.52,28.18,15.02
2022,Month_1,burlington,24.64,-1.2,-14.76
2022,Month_10,burlington,61.21,18.85,4.96
2022,Month_11,burlington,36.58,11.5,-0.44
2022,Month_12,burlington,32.02,1.68,-8.05
2022,Month_2,burlington,44.2,2.72,-11.83
2022,Month_3,burlington,102.62,11.31,-1.15
2022,Month_4,burlington,115.82,14.49,2.49
2022,Month_5,burlington,91.44,24.01,12.9
2022,Month_6,burlington,91.69,29.04,17.33
2022,Month_7,burlington,58.93,29.79,19.35
2022,Month_8,burlington,27.94,29.18,18.84
2022,Month_9,burlington,115.82,26.28,13.96
2023,Month_1,burlington,52.07,3.17,-4.7
2023,Month_10,burlington,74.42,19.0,6.94
2023,Month_11,burlington,17.53,10.44,-1.87
2023,Month_12,burlington,66.55,6.99,-0.73
2023,Month_2,burlington,65.79,5.99,-6.52
2023,Month_3,burlington,89.66,8.76,-1.65
2023,Month_4,burlington,43.43,19.04,3.44
2023,Month_5,burlington,75.69,24.28,10.69
2023,Month_6,burlington,78.49,28.89,15.17
2023,Month_7,burlington,187.71,29.3,17.24
2023,Month_8,burlington,161.55,28.26,17.11
2023,Month_9,burlington,52.83,26.11,13.56
2024,Month_1,burlington,79.51,-2.15,-8.64
2024,Month_10,burlington,55.12,22.31,6.65
2024,Month_11,burlington,95.26,10.96,1.41
2024,Month_12,burlington,0.77,1.53,-9.58
2024,Month_2,burlington,2.55,10.89,-3.13
2024,Month_3,burlington,142.5,12.76,0.48
2024,Month_4,burlington,206.76,17.43,5.0
2024,Month_5,burlington,85.6,25.09,12.44
2024,Month_6,burlington,80.27,29.2,17.39
2024,Month_7,burlington,216.41,28.07,17.65
2024,Month_8,burlington,80.77,28.17,16.65
2024,Month_9,burlington,16.26,26.45,13.23
