Year,Month,Stations,prec,tmax,tmin
2015,Month_1,burlingtonairport,39.12,0.93,-8.67
2015,Month_10,burlingtonairport,52.59,19.03,7.37
2015,Month_11,burlingtonairport,151.89,12.54,2.39
2015,Month_12,burlingtonairport,114.56,7.5,0.5
2015,Month_2,burlingtonairport,22.36,-3.04,-13.49
2015,Month_3,burlingtonairport,7.62,10.52,-1.61
2015,Month_4,burlingtonairport,40.65,19.43,6.09
2015,Month_5,burlingtonairport,117.86,23.33,12.62
2015,Month_6,burlingtonairport,220.22,27.31,17.63
2015,Month_7,burlingtonairport,190.25,28.69,18.98
2015,Month_8,burlingtonairport,88.15,27.62,16.92
2015,Month_9,burlingtonairport,27.69,27.8,15.52
2016,Month_1,burlingtonairport,13.72,0.2,-8.28
2016,Month_10,burlingtonairport,60.71,20.79,9.71
2016,Month_11,burlingtonairport,44.45,13.78,3.48
2016,Month_12,burlingtonairport,24.9,0.99,-6.15
2016,Month_2,burlingtonairport,21.35,4.69,-4.56
2016,Month_3,burlingtonairport,81.54,12.81,2.67
2016,Month_4,burlingtonairport,82.81,17.15,6.0
2016,Month_5,burlingtonairport,76.21,22.47,11.13
2016,Month_6,burlingtonairport,26.93,30.22,17.72
2016,Month_7,burlingtonairport,185.68,28.18,19.02
2016,Month_8,burlingtonairport,127.76,28.6,19.14
2016,Month_9,burlingtonairport,82.05,27.15,15.42
2017,Month_1,burlingtonairport,37.1,2.08,-5.2
2017,Month_10,burlingtonairport,127.51,19.28,9.03
2017,Month_11,burlingtonairport,24.9,9.91,-1.15
2017,Month_12,burlingtonairport,8.4,2.33,-7.24
2017,Month_2,burlingtonairport,10.17,10.95,-1.49
2017,Month_3,burlingtonairport,75.7,10.59,1.06
2017,Month_4,burlingtonairport,152.15,18.74,7.8
2017,Month_5,burlingtonairport,84.33,22.5,11.0
2017,Month_6,burlingtonairport,28.2,29.28,16.83
2017,Month_7,burlingtonairport,139.95,30.83,18.98
2017,Month_8,burlingtonairport,115.83,26.78,15.23
2017,Month_9,burlingtonairport,3.3,26.97,13.49
2018,Month_1,burlingtonairport,15.51,0.48,-9.78
2018,Month_10,burlingtonairport,145.29,16.85,6.18
2018,Month_11,burlingtonairport,71.64,4.69,-3.04
2018,Month_12,burlingtonairport,60.46,4.87,-3.66
2018,Month_2,burlingtonairport,88.4,3.23,-7.3
2018,Month_3,burlingtonairport,73.66,8.48,-1.61
2018,Month_4,burlingtonairport,15.0,13.06,0.7
2018,Month_5,burlingtonairport,80.27,27.99,15.54
2018,Month_6,burlingtonairport,124.21,29.96,19.02
2018,Month_7,burlingtonairport,66.3,29.27,18.32
2018,Month_8,burlingtonairport,97.54,29.68,18.3
2018,Month_9,burlingtonairport,152.91,26.44,14.94
2019,Month_1,burlingtonairport,60.97,-0.93,-10.43
2019,Month_10,burlingtonairport,57.67,15.97,5.04
2019,Month_11,burlingtonairport,30.49,7.35,-2.35
2019,Month_12,burlingtonairport,28.46,6.45,-3.64
2019,Month_2,burlingtonairport,51.06,0.79,-8.61
2019,Month_3,burlingtonairport,85.61,7.83,-2.06
2019,Month_4,burlingtonairport,112.03,16.85,5.54
2019,Month_5,burlingtonairport,261.63,21.34,11.34
2019,Month_6,burlingtonairport,107.95,27.59,16.98
2019,Month_7,burlingtonairport,37.85,31.29,20.47
2019,Month_8,burlingtonairport,88.9,27.99,17.85
2019,Month_9,burlingtonairport,209.05,27.2,17.28
2020,Month_1,burlingtonairport,53.35,1.67,-5.93
2020,Month_10,burlingtonairport,31.25,15.93,4.52
2020,Month_11,burlingtonairport,50.55,12.54,1.43
2020,Month_12,burlingtonairport,46.24,4.1,-5.25
2020,Month_2,burlingtonairport,7.12,3.66,-5.42
2020,Month_3,burlingtonairport,59.95,11.22,2.1
2020,Month_4,burlingtonairport,64.02,15.93,3.63
2020,Month_5,burlingtonairport,108.46,20.38,10.57
2020,Month_6,burlingtonairport,152.66,28.89,17.81
2020,Month_7,burlingtonairport,71.38,30.59,19.91
2020,Month_8,burlingtonairport,7.63,30.22,17.33
2020,Month_9,burlingtonairport,105.16,25.34,13.3
2021,Month_1,burlingtonairport,53.61,0.41,-6.06
2021,Month_10,burlingtonairport,116.6,19.18,10.07
2021,Month_11,burlingtonairport,4.33,10.96,-0.5
2021,Month_12,burlingtonairport,16.52,8.54,-2.43
2021,Month_2,burlingtonairport,25.67,-4.29,-12.58
2021,Month_3,burlingtonairport,65.79,12.33,2.38
2021,Month_4,burlingtonairport,124.47,16.87,6.06
2021,Month_5,burlingtonairport,146.57,20.5,10.88
2021,Month_6,burlingtonairport,131.58,28.83,17.91
2021,Month_7,burlingtonairport,148.59,28.46,18.69
2021,Month_8,burlingtonairport,98.3,29.56,18.98
2021,Month_9,burlingtonairport,65.28,27.49,14.28
2022,Month_1,burlingtonairport,24.39,-1.92,-13.37
2022,Month_10,burlingtonairport,48.51,18.26,4.19
2022,Month_11,burlingtonairport,32.27,10.5,-0.7
2022,Month_12,burlingtonairport,22.87,2.19,-7.01
2022,Month_2,burlingtonairport,38.62,2.16,-9.46
2022,Month_3,burlingtonairport,63.76,9.89,-0.41
2022,Month_4,burlingtonairport,81.04,14.41,3.74
2022,Month_5,burlingtonairport,85.85,23.49,13.03
2022,Month_6,burlingtonairport,67.83,28.96,17.15
2022,Month_7,burlingtonairport,57.41,29.12,18.42
2022,Month_8,burlingtonairport,25.91,28.87,17.76
2022,Month_9,burlingtonairport,130.3,25.22,13.37
2023,Month_1,burlingtonairport,44.97,2.5,-4.46
2023,Month_10,burlingtonairport,66.05,18.39,7.49
2023,Month_11,burlingtonairport,13.98,11.44,-0.76
2023,Month_12,burlingtonairport,56.64,7.01,-0.14
2023,Month_2,burlingtonairport,59.95,6.94,-4.8
2023,Month_3,burlingtonairport,75.96,9.16,-0.86
2023,Month_4,burlingtonairport,30.74,18.65,4.15
2023,Month_5,burlingtonairport,75.44,24.86,11.52
2023,Month_6,burlingtonairport,76.71,28.46,16.07
2023,Month_7,burlingtonairport,166.12,29.09,18.09
2023,Month_8,burlingtonairport,192.03,28.17,17.94
2023,Month_9,burlingtonairport,42.43,26.42,14.37
2024,Month_1,burlingtonairport,63.51,-1.68,-7.89
2024,Month_10,burlingtonairport,50.04,21.9,7.13
2024,Month_11,burlingtonairport,61.48,10.91,2.44
2024,Month_12,burlingtonairport,0.01,3.06,-7.92
2024,Month_2,burlingtonairport,2.8,11.32,-2.28
2024,Month_3,burlingtonairport,141.23,13.41,2.01
2024,Month_4,burlingtonairport,178.06,17.69,6.57
2024,Month_5,burlingtonairport,76.97,24.94,12.96
2024,Month_6,burlingtonairport,75.69,29.07,17.84
2024,Month_7,burlingtonairport,211.07,27.85,18.12
2024,Month_8,burlingtonairport,65.03,28.2,17.0
2024,Month_9,burlingtonairport,15.49,26.57,13.41
