Year,Month,Stations,prec,tmax,tmin
2015,Month_1,carroll-2-ssw,14.23,-0.29,-11.08
2015,Month_10,carroll-2-ssw,28.71,18.37,5.36
2015,Month_11,carroll-2-ssw,103.89,10.67,0.21
2015,Month_12,carroll-2-ssw,154.69,2.46,-4.65
2015,Month_2,carroll-2-ssw,29.98,-4.19,-15.46
2015,Month_3,carroll-2-ssw,3.82,10.93,-4.43
2015,Month_4,carroll-2-ssw,113.28,16.89,3.52
2015,Month_5,carroll-2-ssw,150.88,20.43,9.18
2015,Month_6,carroll-2-ssw,195.84,26.54,15.24
2015,Month_7,carroll-2-ssw,169.42,27.57,16.69
2015,Month_8,carroll-2-ssw,174.75,26.05,14.77
2015,Month_9,carroll-2-ssw,167.64,25.84,13.66
2016,Month_1,carroll-2-ssw,15.75,-4.17,-11.72
2016,Month_10,carroll-2-ssw,65.79,19.92,6.19
2016,Month_11,carroll-2-ssw,26.42,13.26,0.41
2016,Month_12,carroll-2-ssw,29.72,-0.57,-9.94
2016,Month_2,carroll-2-ssw,31.76,1.49,-6.94
2016,Month_3,carroll-2-ssw,32.01,12.1,-0.86
2016,Month_4,carroll-2-ssw,89.16,16.39,3.22
2016,Month_5,carroll-2-ssw,151.14,21.29,8.98
2016,Month_6,carroll-2-ssw,115.32,30.44,17.09
2016,Month_7,carroll-2-ssw,101.86,28.48,17.17
2016,Month_8,carroll-2-ssw,121.92,27.6,16.54
2016,Month_9,carroll-2-ssw,132.59,25.69,13.04
2017,Month_1,carroll-2-ssw,26.93,-1.31,-8.76
2017,Month_10,carroll-2-ssw,127.26,17.83,5.98
2017,Month_11,carroll-2-ssw,3.3,8.71,-3.73
2017,Month_12,carroll-2-ssw,17.53,1.85,-9.44
2017,Month_2,carroll-2-ssw,29.46,6.67,-5.52
2017,Month_3,carroll-2-ssw,75.19,8.35,-2.8
2017,Month_4,carroll-2-ssw,48.01,15.91,3.98
2017,Month_5,carroll-2-ssw,119.13,21.51,8.35
2017,Month_6,carroll-2-ssw,35.56,29.78,15.44
2017,Month_7,carroll-2-ssw,79.25,31.09,18.22
2017,Month_8,carroll-2-ssw,117.86,26.58,14.23
2017,Month_9,carroll-2-ssw,56.64,26.72,12.94
2018,Month_1,carroll-2-ssw,24.13,-3.06,-13.05
2018,Month_10,carroll-2-ssw,97.28,14.15,3.19
2018,Month_11,carroll-2-ssw,19.06,3.91,-6.17
2018,Month_12,carroll-2-ssw,35.31,1.31,-7.53
2018,Month_2,carroll-2-ssw,35.05,-2.02,-12.12
2018,Month_3,carroll-2-ssw,88.9,6.74,-2.78
2018,Month_4,carroll-2-ssw,59.94,10.41,-2.39
2018,Month_5,carroll-2-ssw,99.57,25.84,13.17
2018,Month_6,carroll-2-ssw,303.53,29.0,17.72
2018,Month_7,carroll-2-ssw,62.23,29.28,17.39
2018,Month_8,carroll-2-ssw,232.92,27.99,16.16
2018,Month_9,carroll-2-ssw,138.43,25.35,13.35
2019,Month_1,carroll-2-ssw,3.31,-1.59,-11.42
2019,Month_10,carroll-2-ssw,145.29,14.65,2.63
2019,Month_11,carroll-2-ssw,30.23,5.67,-4.61
2019,Month_12,carroll-2-ssw,28.45,3.87,-7.17
2019,Month_2,carroll-2-ssw,55.38,-5.27,-15.82
2019,Month_3,carroll-2-ssw,59.18,4.09,-6.0
2019,Month_4,carroll-2-ssw,43.43,16.43,2.76
2019,Month_5,carroll-2-ssw,176.79,19.28,8.17
2019,Month_6,carroll-2-ssw,67.82,27.39,15.57
2019,Month_7,carroll-2-ssw,70.61,29.57,18.6
2019,Month_8,carroll-2-ssw,135.9,26.99,15.56
2019,Month_9,carroll-2-ssw,125.99,26.28,14.87
2020,Month_1,carroll-2-ssw,31.76,-0.99,-9.52
2020,Month_10,carroll-2-ssw,28.96,14.21,1.38
2020,Month_11,carroll-2-ssw,68.59,12.85,-0.77
2020,Month_12,carroll-2-ssw,20.07,3.12,-8.33
2020,Month_2,carroll-2-ssw,17.27,1.78,-9.9
2020,Month_3,carroll-2-ssw,59.69,10.09,-1.58
