Year,Month,Stations,prec,tmax,tmin
2015,Month_1,cascade,14.99,-2.53,-12.28
2015,Month_10,cascade,78.74,17.72,4.72
2015,Month_11,cascade,120.4,10.82,-0.17
2015,Month_12,cascade,114.32,5.81,-1.38
2015,Month_2,cascade,36.58,-5.97,-17.78
2015,Month_3,cascade,19.31,7.11,-6.33
2015,Month_4,cascade,75.95,16.53,2.34
2015,Month_5,cascade,136.4,21.0,9.95
2015,Month_6,cascade,235.72,25.35,14.06
2015,Month_7,cascade,48.26,26.96,15.61
2015,Month_8,cascade,66.04,26.23,14.28
2015,Month_9,cascade,112.01,26.51,13.7
2016,Month_1,cascade,13.22,-2.51,-10.84
2016,Month_10,cascade,52.33,18.89,7.02
2016,Month_11,cascade,55.12,13.44,1.07
2016,Month_12,cascade,40.39,-1.49,-7.96
2016,Month_2,cascade,15.25,1.88,-6.09
2016,Month_3,cascade,90.94,10.63,-0.91
2016,Month_4,cascade,57.66,14.83,2.98
2016,Month_5,cascade,134.37,21.33,9.17
2016,Month_6,cascade,216.66,28.41,15.61
2016,Month_7,cascade,165.61,27.15,16.68
2016,Month_8,cascade,108.72,28.22,17.15
2016,Month_9,cascade,160.79,25.34,13.93
2017,Month_1,cascade,49.29,-0.43,-6.95
2017,Month_10,cascade,165.36,18.37,6.36
2017,Month_11,cascade,22.1,7.9,-2.88
2017,Month_12,cascade,9.92,0.41,-8.91
2017,Month_2,cascade,19.56,7.04,-4.6
2017,Month_3,cascade,52.59,8.23,-2.33
2017,Month_4,cascade,101.86,16.74,4.91
2017,Month_5,cascade,110.5,19.89,8.54
2017,Month_6,cascade,206.0,27.74,15.13
2017,Month_7,cascade,194.82,28.27,17.36
2017,Month_8,cascade,76.21,25.71,13.89
2017,Month_9,cascade,9.91,26.36,11.28
2018,Month_1,cascade,33.8,-2.15,-11.65
2018,Month_10,cascade,167.39,15.09,2.39
2018,Month_11,cascade,53.09,3.71,-3.93
2018,Month_12,cascade,47.0,2.85,-5.56
2018,Month_2,cascade,69.09,-0.44,-10.4
2018,Month_3,cascade,52.58,7.19,-4.04
2018,Month_4,cascade,35.31,10.22,-2.67
2018,Month_5,cascade,120.4,25.5,12.46
2018,Month_6,cascade,181.62,27.28,16.4
2018,Month_7,cascade,98.55,28.29,16.05
2018,Month_8,cascade,250.7,27.67,16.65
2018,Month_9,cascade,215.9,24.76,12.07
2019,Month_1,cascade,76.47,-2.76,-11.79
2019,Month_10,cascade,173.49,14.19,2.31
2019,Month_11,cascade,43.69,3.41,-4.93
2019,Month_12,cascade,41.15,3.39,-5.09
2019,Month_2,cascade,97.03,-2.14,-13.35
2019,Month_3,cascade,43.44,4.3,-5.85
2019,Month_4,cascade,111.51,15.54,2.3
2019,Month_5,cascade,152.91,19.09,7.87
2019,Month_6,cascade,156.47,25.61,14.81
2019,Month_7,cascade,96.27,30.48,18.39
2019,Month_8,cascade,132.59,26.57,15.26
2019,Month_9,cascade,154.69,24.85,14.64
2020,Month_1,cascade,43.7,0.11,-6.86
2020,Month_10,cascade,83.57,13.19,1.92
2020,Month_11,cascade,50.55,11.15,-0.74
2020,Month_12,cascade,42.67,1.47,-7.31
2020,Month_2,cascade,17.27,0.0,-8.68
2020,Month_3,cascade,63.51,7.7,-0.98
2020,Month_4,cascade,50.3,13.81,1.04
2020,Month_5,cascade,132.09,18.55,7.87
2020,Month_6,cascade,166.63,26.74,14.9
2020,Month_7,cascade,44.96,29.39,17.56
2020,Month_8,cascade,76.46,27.83,13.96
2020,Month_9,cascade,235.2,21.42,8.89
2021,Month_1,cascade,36.58,-1.47,-8.94
2021,Month_10,cascade,111.0,17.97,7.46
2021,Month_11,cascade,31.75,7.91,-4.28
2021,Month_12,cascade,41.66,4.65,-4.54
2021,Month_2,cascade,20.84,-6.13,-14.44
2021,Month_3,cascade,50.3,9.57,-1.2
2021,Month_4,cascade,34.29,14.7,2.83
2021,Month_5,cascade,70.61,19.68,8.28
2021,Month_6,cascade,93.73,28.8,14.94
2021,Month_7,cascade,105.92,27.72,16.13
2021,Month_8,cascade,84.07,28.71,15.58
2021,Month_9,cascade,53.09,25.19,10.19
2022,Month_1,cascade,15.75,-5.07,-15.32
2022,Month_10,cascade,27.69,16.74,1.28
2022,Month_11,cascade,101.35,8.8,-2.52
2022,Month_12,cascade,47.75,-0.95,-8.15
2022,Month_2,cascade,7.37,-0.41,-11.46
2022,Month_3,cascade,89.66,7.08,-3.48
2022,Month_4,cascade,116.59,10.54,0.88
2022,Month_5,cascade,70.11,21.91,10.09
2022,Month_6,cascade,97.03,27.28,13.85
2022,Month_7,cascade,108.71,28.21,16.2
2022,Month_8,cascade,137.92,26.48,15.07
2022,Month_9,cascade,20.57,23.16,10.71
2023,Month_1,cascade,71.12,0.07,-6.38
2023,Month_10,cascade,125.48,17.54,5.3
2023,Month_11,cascade,13.46,7.63,-4.67
2023,Month_12,cascade,44.7,4.2,-3.24
2023,Month_2,cascade,67.06,1.83,-8.17
2023,Month_3,cascade,36.58,5.99,-2.81
2023,Month_4,cascade,49.02,15.98,1.19
2023,Month_5,cascade,58.17,22.85,8.42
2023,Month_6,cascade,48.77,28.1,13.26
2023,Month_7,cascade,114.81,28.67,15.07
2023,Month_8,cascade,30.73,28.69,13.98
