prec,2015,14.23,31.75,21.59,116.59,111.76,227.08,73.66,67.31,133.35,84.08,102.11,114.05
tmin,2015,-10.24,-15.1,-3.74,4.24,11.27,15.63,17.28,15.33,14.56,6.72,1.19,-1.04
tmax,2015,-0.31,-4.23,10.35,18.94,22.96,26.91,28.63,27.01,27.3,18.33,11.57,5.65
prec,2016,18.04,10.67,69.35,85.61,59.44,183.39,171.71,196.6,172.73,39.63,57.91,29.73
tmin,2016,-9.98,-5.17,1.31,4.43,9.34,16.24,18,17.74,14.37,8.56,2.22,-7.89
tmax,2016,-1.59,2.72,12.46,17.48,24.1,30.81,29.65,29.78,27.13,21.04,13.6,-0.9
prec,2017,47,16.51,53.09,161.04,120.41,125.73,124.47,78.24,16.26,108.98,18.55,20.34
tmin,2017,-6.65,-3.83,-1.42,5.72,8.55,15.07,17.54,14.41,12.57,7.65,-1.63,-8.35
tmax,2017,-0.07,9.6,9.7,18.56,22.6,29.93,30.52,27.15,27.81,19.01,8.63,1.31
prec,2018,21.09,49.79,44.45,23.88,150.63,170.69,102.62,197.61,213.87,119.13,50.3,60.72
tmin,2018,-11.85,-9.7,-3.67,-1.49,13.66,17.38,16.61,16.76,12.7,4.73,-4.15,-5.45
tmax,2018,-0.97,1.11,7.87,12.91,27.26,29.48,30.13,29.32,25.81,16.7,3.39,3.42
prec,2019,41.41,77.72,38.61,112.02,190.5,101.1,35.56,120.91,178.57,163.33,40.39,36.84
tmin,2019,-11.65,-11.75,-4.96,3.76,8.46,13.58,19.1,15.27,15.31,3.66,-3.79,-5.18
tmax,2019,-3.51,-2.48,6.08,17.13,21.76,27.07,31.24,28.16,26.57,14.86,4.88,4.68
prec,2020,31.5,10.17,71.38,85.36,119.14,159.77,85.86,58.42,204.47,96.78,57.4,38.61
tmin,2020,-7.54,-7.85,0.47,2.35,9.04,16.22,18.06,16.15,11.41,3.41,0.79,-6.33
tmax,2020,0.14,2.16,11.4,16.31,21.17,29.26,30.63,30.13,24.09,15.77,13.47,2.8
prec,2021,32.02,23.63,56.39,36.32,88.65,218.19,25.92,92.46,34.04,148.35,25.15,31.51
tmin,2021,-7.63,-14.21,0.86,5.15,10.04,17.57,18.91,17.41,13.61,9.12,-0.56,-4
tmax,2021,-0.56,-5.38,12.42,18.04,21.81,30.33,29.84,30.72,27.36,19.87,10.44,6.02
prec,2022,14.49,7.88,84.08,116.08,68.84,147.33,85.6,88.14,26.17,46.74,91.7,45.73
tmin,2022,-14.59,-10.48,-1.65,2.17,11.65,15.83,18.69,17.3,12.59,3.15,-1.17,-8.42
tmax,2022,-3.23,1.69,10.02,13.46,24.27,29.3,30.13,28.59,26.02,18.89,10.09,1.08
prec,2023,65.53,80.27,31,50.81,56.64,68.07,50.81,46.74,21.09,138.95,14.73,55.38
tmin,2023,-6,-6.65,-1.72,3.41,10.44,14.74,17.22,17.81,14.04,7.24,-1.11,-1.35
tmax,2023,0.82,4.8,8.41,18.59,26.11,29.74,30.65,30.43,27.74,19.02,10.48,6.31
prec,2024,72.66,6.61,78.49,102.62,171.96,89.67,220.48,109.98,2.29,90.43,105.42,1.02
tmin,2024,-8.03,-3.3,0.19,5.09,11.13,17.63,17.43,16.97,12.13,6.43,1.43,-8.75
tmax,2024,-1.85,11.05,12.98,17.98,24.66,29.33,28.44,28.76,27.78,23.15,10.02,3.68
