Year,Month,Stations,prec,tmax,tmin
2015,Month_1,cedarrapidsarea,21.61,-0.72,-10.95
2015,Month_10,cedarrapidsarea,88.4,17.58,5.79
2015,Month_11,cedarrapidsarea,113.8,10.9,0.65
2015,Month_12,cedarrapidsarea,103.39,5.47,-1.43
2015,Month_2,cedarrapidsarea,12.21,-5.62,-16.61
2015,Month_3,cedarrapidsarea,13.21,9.05,-3.91
2015,Month_4,cedarrapidsarea,94.5,17.72,3.09
2015,Month_5,cedarrapidsarea,92.21,21.95,10.39
2015,Month_6,cedarrapidsarea,224.8,25.96,15.37
2015,Month_7,cedarrapidsarea,141.74,27.28,16.92
2015,Month_8,cedarrapidsarea,51.31,26.0,14.65
2015,Month_9,cedarrapidsarea,128.02,26.35,14.37
2016,Month_1,cedarrapidsarea,9.42,-2.13,-10.07
2016,Month_10,cedarrapidsarea,70.37,19.41,7.72
2016,Month_11,cedarrapidsarea,60.21,12.85,1.37
2016,Month_12,cedarrapidsarea,31.77,-1.38,-8.69
2016,Month_2,cedarrapidsarea,5.86,2.7,-5.44
2016,Month_3,cedarrapidsarea,45.73,11.45,0.14
2016,Month_4,cedarrapidsarea,75.19,15.89,3.56
2016,Month_5,cedarrapidsarea,83.83,22.35,9.56
2016,Month_6,cedarrapidsarea,211.58,28.81,16.22
2016,Month_7,cedarrapidsarea,98.04,27.69,17.78
2016,Month_8,cedarrapidsarea,195.08,27.91,17.56
2016,Month_9,cedarrapidsarea,175.77,25.78,14.31
2017,Month_1,cedarrapidsarea,38.12,-0.45,-7.53
2017,Month_10,cedarrapidsarea,99.07,17.69,6.94
2017,Month_11,cedarrapidsarea,15.0,8.81,-3.22
2017,Month_12,cedarrapidsarea,15.52,0.54,-9.89
2017,Month_2,cedarrapidsarea,17.03,8.06,-4.42
2017,Month_3,cedarrapidsarea,57.16,7.87,-2.15
2017,Month_4,cedarrapidsarea,109.23,17.24,5.43
2017,Month_5,cedarrapidsarea,92.98,21.0,8.48
2017,Month_6,cedarrapidsarea,75.19,28.33,14.94
2017,Month_7,cedarrapidsarea,78.24,29.29,17.01
2017,Month_8,cedarrapidsarea,40.65,25.9,13.12
2017,Month_9,cedarrapidsarea,24.65,27.02,11.83
2018,Month_1,cedarrapidsarea,11.45,-0.93,-11.97
2018,Month_10,cedarrapidsarea,98.3,15.27,3.91
2018,Month_11,cedarrapidsarea,43.2,3.33,-4.56
2018,Month_12,cedarrapidsarea,53.35,2.74,-5.73
2018,Month_2,cedarrapidsarea,40.15,0.89,-9.92
2018,Month_3,cedarrapidsarea,48.26,7.42,-3.73
2018,Month_4,cedarrapidsarea,10.93,11.93,-1.35
2018,Month_5,cedarrapidsarea,115.58,26.56,13.94
2018,Month_6,cedarrapidsarea,236.74,28.56,17.46
2018,Month_7,cedarrapidsarea,57.92,28.53,16.36
2018,Month_8,cedarrapidsarea,146.82,28.02,16.94
2018,Month_9,cedarrapidsarea,169.93,24.33,13.11
2019,Month_1,cedarrapidsarea,42.18,-4.03,-13.48
2019,Month_10,cedarrapidsarea,84.84,13.22,2.3
2019,Month_11,cedarrapidsarea,32.52,4.7,-5.13
2019,Month_12,cedarrapidsarea,31.0,4.32,-6.22
