prec,2015,11.18,35.05,9.91,94.49,142.24,268.99,304.04,56.64,152.91,40.13,168.66,125.98
tmin,2015,-10.92,-14.4,-4.23,3.93,10.04,15.33,17.56,14.54,14.44,5.44,0.91,-1.95
tmax,2015,1.25,-2.2,11.74,19,22.06,26.88,28.67,27.18,27.18,18.96,13.43,7.11
prec,2016,15.75,33.03,56.9,70.1,66.04,54.86,92.46,195.33,37.34,71.63,19.3,28.45
tmin,2016,-9.77,-6.34,0.48,4.65,7.97,16.03,17.43,17.96,14,8.33,0.69,-8.48
tmax,2016,-0.29,4.96,13.62,17.7,21.61,30.32,29.11,28.7,26.93,21.07,15.61,1.4
prec,2017,35.05,5.08,68.83,151.38,85.85,119.89,20.07,112.78,56.64,101.35,18.8,21.08
tmin,2017,-7.22,-4.36,-1.06,4.54,8,13.67,18.28,13.49,12.09,6.81,-3.69,-8.67
tmax,2017,1.88,10.43,11.2,17.87,22.24,29.03,31.59,28.07,27.45,18.8,10.13,3.44
prec,2018,11.43,42.93,90.17,13.72,87.63,117.09,27.18,105.41,166.37,157.99,70.61,55.88
tmin,2018,-12.15,-10.1,-2.54,-2.58,12.93,16.44,16.49,16.25,13.07,4.23,-5.52,-6.74
tmax,2018,-0.39,2.52,8.41,12.44,27.69,29.69,31.13,30.97,25.79,16.63,4.83,4.83
prec,2019,63.25,70.36,88.65,65.02,307.09,148.59,116.33,195.83,227.84,84.33,20.57,28.96
tmin,2019,-10.68,-11.85,-4.7,3.13,8.65,14.03,18.1,15.33,14.92,2.87,-5.43,-5.48
tmax,2019,-0.13,-0.52,6.76,18,20.56,27,30.22,27.68,27.3,15.56,7.06,6.04
prec,2020,59.44,7.88,85.85,60.72,152.15,60.2,53.85,10.67,134.87,49.28,85.85,45.47
tmin,2020,-8.37,-7.94,-0.05,1.31,8.28,15.69,18.17,14.7,10.48,2.26,-1.7,-7.63
tmax,2020,1.09,3.39,11.94,15.7,20.23,28.29,30.96,30.61,23.69,15.02,13.68,4.33
prec,2021,57.66,20.58,72.14,65.54,120.14,108.97,259.84,127.26,32.26,143.77,33.79,18.8
tmin,2021,-8.58,-15.34,-0.13,2.72,8.5,14.61,17.24,17.51,12.05,7.46,-1.44,-3.8
tmax,2021,0.82,-4.35,13.01,16.3,20.8,28.56,28.81,29.25,27.05,19.44,11.19,8.94
prec,2022,34.81,11.69,86.87,85.61,83.06,121.92,65.54,30.74,87.89,52.58,111.77,41.41
tmin,2022,-14.86,-11.11,-3.1,1.02,10.43,15.42,17.85,16.2,12.17,2.35,-2.81,-9.3
tmax,2022,-1.95,2.98,10.68,14.13,22.6,28.02,29.5,30.5,26.57,19.24,10.52,1.09
prec,2023,49.78,62.23,42.42,68.33,55.63,39.37,92.71,95.25,62.23,64.77,12.45,74.42
tmin,2023,-6.96,-8.33,-3.35,1.93,8.42,12.54,15.17,16.72,11.26,6.04,-2.22,-1.54
tmax,2023,2.57,6.45,8.41,18.18,24.53,29.23,28.78,28.61,27.8,20.22,11.34,7.24
prec,2024,77.72,4.32,59.44,177.04,223.27,55.88,176.53,111,16.51,53.6,71.12,0.51
tmin,2024,-9.82,-4.83,-0.81,3.39,10.04,16.53,16.88,15.81,10.38,4.75,1,-9.24
tmax,2024,-2.4,11.86,12.96,18.51,24.41,29.84,29.25,28.53,26.97,23.41,12.24,2.99
