Year,Month,Stations,prec,tmax,tmin
2015,Month_1,centerville,11.18,1.25,-10.92
2015,Month_10,centerville,40.13,18.96,5.44
2015,Month_11,centerville,168.66,13.43,0.91
2015,Month_12,centerville,125.98,7.11,-1.95
2015,Month_2,centerville,35.05,-2.2,-14.4
2015,Month_3,centerville,9.91,11.74,-4.23
2015,Month_4,centerville,94.49,19.0,3.93
2015,Month_5,centerville,142.24,22.06,10.04
2015,Month_6,centerville,268.99,26.88,15.33
2015,Month_7,centerville,304.04,28.67,17.56
2015,Month_8,centerville,56.64,27.18,14.54
2015,Month_9,centerville,152.91,27.18,14.44
2016,Month_1,centerville,15.75,-0.29,-9.77
2016,Month_10,centerville,71.63,21.07,8.33
2016,Month_11,centerville,19.3,15.61,0.69
2016,Month_12,centerville,28.45,1.4,-8.48
2016,Month_2,centerville,33.03,4.96,-6.34
2016,Month_3,centerville,56.9,13.62,0.48
2016,Month_4,centerville,70.1,17.7,4.65
2016,Month_5,centerville,66.04,21.61,7.97
2016,Month_6,centerville,54.86,30.32,16.03
2016,Month_7,centerville,92.46,29.11,17.43
2016,Month_8,centerville,195.33,28.7,17.96
2016,Month_9,centerville,37.34,26.93,14.0
2017,Month_1,centerville,35.05,1.88,-7.22
2017,Month_10,centerville,101.35,18.8,6.81
2017,Month_11,centerville,18.8,10.13,-3.69
2017,Month_12,centerville,21.08,3.44,-8.67
2017,Month_2,centerville,5.08,10.43,-4.36
2017,Month_3,centerville,68.83,11.2,-1.06
2017,Month_4,centerville,151.38,17.87,4.54
2017,Month_5,centerville,85.85,22.24,8.0
2017,Month_6,centerville,119.89,29.03,13.67
2017,Month_7,centerville,20.07,31.59,18.28
2017,Month_8,centerville,112.78,28.07,13.49
2017,Month_9,centerville,56.64,27.45,12.09
2018,Month_1,centerville,11.43,-0.39,-12.15
2018,Month_10,centerville,157.99,16.63,4.23
2018,Month_11,centerville,70.61,4.83,-5.52
2018,Month_12,centerville,55.88,4.83,-6.74
2018,Month_2,centerville,42.93,2.52,-10.1
2018,Month_3,centerville,90.17,8.41,-2.54
2018,Month_4,centerville,13.72,12.44,-2.58
2018,Month_5,centerville,87.63,27.69,12.93
2018,Month_6,centerville,117.09,29.69,16.44
2018,Month_7,centerville,27.18,31.13,16.49
2018,Month_8,centerville,105.41,30.97,16.25
2018,Month_9,centerville,166.37,25.79,13.07
2019,Month_1,centerville,63.25,-0.13,-10.68
2019,Month_10,centerville,84.33,15.56,2.87
2019,Month_11,centerville,20.57,7.06,-5.43
2019,Month_12,centerville,28.96,6.04,-5.48
2019,Month_2,centerville,70.36,-0.52,-11.85
2019,Month_3,centerville,88.65,6.76,-4.7
2019,Month_4,centerville,65.02,18.0,3.13
2019,Month_5,centerville,307.09,20.56,8.65
2019,Month_6,centerville,148.59,27.0,14.03
2019,Month_7,centerville,116.33,30.22,18.1
2019,Month_8,centerville,195.83,27.68,15.33
2019,Month_9,centerville,227.84,27.3,14.92
2020,Month_1,centerville,59.44,1.09,-8.37
2020,Month_10,centerville,49.28,15.02,2.26
2020,Month_11,centerville,85.85,13.68,-1.7
2020,Month_12,centerville,45.47,4.33,-7.63
2020,Month_2,centerville,7.88,3.39,-7.94
2020,Month_3,centerville,85.85,11.94,-0.05
2020,Month_4,centerville,60.72,15.7,1.31
2020,Month_5,centerville,152.15,20.23,8.28
2020,Month_6,centerville,60.2,28.29,15.69
2020,Month_7,centerville,53.85,30.96,18.17
2020,Month_8,centerville,10.67,30.61,14.7
2020,Month_9,centerville,134.87,23.69,10.48
2021,Month_1,centerville,57.66,0.82,-8.58
2021,Month_10,centerville,143.77,19.44,7.46
2021,Month_11,centerville,33.79,11.19,-1.44
2021,Month_12,centerville,18.8,8.94,-3.8
2021,Month_2,centerville,20.58,-4.35,-15.34
2021,Month_3,centerville,72.14,13.01,-0.13
2021,Month_4,centerville,65.54,16.3,2.72
2021,Month_5,centerville,120.14,20.8,8.5
2021,Month_6,centerville,108.97,28.56,14.61
2021,Month_7,centerville,259.84,28.81,17.24
2021,Month_8,centerville,127.26,29.25,17.51
2021,Month_9,centerville,32.26,27.05,12.05
2022,Month_1,centerville,34.81,-1.95,-14.86
2022,Month_10,centerville,52.58,19.24,2.35
2022,Month_11,centerville,111.77,10.52,-2.81
2022,Month_12,centerville,41.41,1.09,-9.3
2022,Month_2,centerville,11.69,2.98,-11.11
2022,Month_3,centerville,86.87,10.68,-3.1
2022,Month_4,centerville,85.61,14.13,1.02
2022,Month_5,centerville,83.06,22.6,10.43
