Year,Month,Stations,prec,tmax,tmin
2015,Month_1,chariton,2.54,1.41,-11.28
2015,Month_10,chariton,46.99,18.39,3.75
2015,Month_11,chariton,110.74,12.65,-0.13
2015,Month_12,chariton,160.02,6.2,-2.69
2015,Month_2,chariton,35.06,-3.1,-15.69
2015,Month_3,chariton,10.67,10.86,-4.89
2015,Month_4,chariton,86.11,18.19,2.74
2015,Month_5,chariton,131.57,21.09,9.39
2015,Month_6,chariton,205.74,26.39,14.56
2015,Month_7,chariton,263.4,28.3,16.53
2015,Month_8,chariton,75.69,26.83,14.35
2015,Month_9,chariton,105.16,26.93,13.74
2016,Month_1,chariton,15.75,-1.36,-11.18
2016,Month_10,chariton,33.02,20.11,6.85
2016,Month_11,chariton,24.38,14.98,-0.63
2016,Month_12,chariton,30.99,0.25,-9.31
2016,Month_2,chariton,88.39,3.62,-7.28
2016,Month_3,chariton,33.02,12.58,-0.79
2016,Month_4,chariton,103.63,16.8,2.93
2016,Month_5,chariton,91.7,21.43,7.65
2016,Month_6,chariton,44.2,29.89,15.48
2016,Month_7,chariton,168.15,27.97,16.65
2016,Month_8,chariton,106.43,27.8,16.57
2016,Month_9,chariton,89.41,26.41,13.35
2017,Month_1,chariton,46.49,0.86,-7.28
2017,Month_10,chariton,153.42,18.63,6.59
2017,Month_11,chariton,9.91,9.35,-4.57
2017,Month_12,chariton,7.37,2.61,-9.83
2017,Month_2,chariton,6.86,9.71,-5.99
2017,Month_3,chariton,72.65,10.13,-2.39
2017,Month_4,chariton,199.39,17.06,4.19
2017,Month_5,chariton,121.41,21.51,7.29
2017,Month_6,chariton,72.9,28.58,12.55
2017,Month_7,chariton,7.62,31.52,17.09
2017,Month_8,chariton,122.18,27.72,11.98
2017,Month_9,chariton,152.15,26.67,11.57
2018,Month_1,chariton,30.23,-1.0,-13.1
2018,Month_10,chariton,190.75,16.0,3.15
2018,Month_11,chariton,82.55,4.33,-6.53
2018,Month_12,chariton,56.64,3.91,-8.21
2018,Month_2,chariton,32.51,0.84,-11.3
2018,Month_3,chariton,47.5,8.21,-3.05
2018,Month_4,chariton,22.61,12.24,-2.11
2018,Month_5,chariton,133.6,26.59,12.85
2018,Month_6,chariton,104.39,29.16,16.93
2018,Month_7,chariton,31.24,29.94,15.41
2018,Month_8,chariton,152.4,30.05,15.63
2018,Month_9,chariton,171.2,24.54,12.82
2019,Month_1,chariton,65.29,-0.67,-11.67
2019,Month_10,chariton,80.26,15.34,2.36
2019,Month_11,chariton,34.54,6.92,-5.91
2019,Month_12,chariton,24.89,5.09,-6.98
2019,Month_2,chariton,61.21,-2.92,-14.11
2019,Month_3,chariton,68.07,5.73,-5.29
2019,Month_4,chariton,66.55,17.26,2.2
2019,Month_5,chariton,256.03,19.8,7.65
2019,Month_6,chariton,65.79,26.51,14.38
2019,Month_7,chariton,86.87,29.94,17.44
2019,Month_8,chariton,171.96,27.44,14.53
2019,Month_9,chariton,123.95,26.39,14.57
2020,Month_1,chariton,50.55,0.41,-9.03
2020,Month_10,chariton,59.18,15.67,1.06
2020,Month_11,chariton,78.23,13.41,-1.15
2020,Month_12,chariton,38.61,4.37,-8.63
2020,Month_2,chariton,5.35,2.6,-9.07
2020,Month_3,chariton,66.56,11.69,-1.0
2020,Month_4,chariton,64.01,15.22,1.69
2020,Month_5,chariton,131.83,19.59,8.69
2020,Month_6,chariton,138.94,27.83,16.5
2020,Month_7,chariton,93.73,29.64,18.07
2020,Month_8,chariton,34.29,28.93,14.54
2020,Month_9,chariton,93.98,22.74,9.33
2021,Month_1,chariton,41.15,0.48,-9.8
2021,Month_10,chariton,179.07,18.73,6.95
2021,Month_11,chariton,49.79,10.8,-1.69
2021,Month_12,chariton,21.6,7.96,-4.91
2021,Month_2,chariton,19.05,-5.38,-15.6
2021,Month_3,chariton,79.76,12.4,0.32
2021,Month_4,chariton,26.67,15.67,2.81
2021,Month_5,chariton,109.48,20.69,9.29
2021,Month_6,chariton,167.9,28.65,15.09
2021,Month_7,chariton,295.4,28.37,16.99
2021,Month_8,chariton,49.03,28.96,16.74
2021,Month_9,chariton,23.88,27.07,12.17
2022,Month_1,chariton,35.06,-2.54,-15.66
2022,Month_10,chariton,33.78,19.0,1.77
2022,Month_11,chariton,104.4,9.83,-3.07
2022,Month_12,chariton,51.57,0.44,-10.17
2022,Month_2,chariton,4.84,2.44,-11.65
2022,Month_3,chariton,100.08,9.71,-3.26
2022,Month_4,chariton,88.4,13.31,0.54
2022,Month_5,chariton,79.51,21.97,10.61
2022,Month_6,chariton,85.35,28.46,15.17
2022,Month_7,chariton,56.65,30.05,17.63
2022,Month_8,chariton,51.82,29.9,16.65
2022,Month_9,chariton,128.78,25.98,11.8
2023,Month_1,chariton,34.05,1.81,-7.33
2023,Month_10,chariton,60.97,18.91,5.25
2023,Month_11,chariton,13.72,10.75,-3.51
2023,Month_12,chariton,54.11,6.85,-2.03
2023,Month_2,chariton,61.22,5.23,-8.77
2023,Month_3,chariton,49.79,7.47,-3.55
2023,Month_4,chariton,30.99,17.96,1.52
2023,Month_5,chariton,45.97,24.57,8.44
2023,Month_6,chariton,57.92,29.0,13.06
2023,Month_7,chariton,56.13,29.16,15.52
2023,Month_8,chariton,58.17,28.96,16.8
2023,Month_9,chariton,62.75,26.98,12.0
2024,Month_1,chariton,60.71,-2.6,-10.18
2024,Month_10,chariton,66.55,22.54,4.48
2024,Month_11,chariton,81.54,10.48,0.35
2024,Month_12,chariton,0.0,2.71,-9.72
2024,Month_2,chariton,2.54,11.13,-5.21
2024,Month_3,chariton,52.33,12.53,-1.29
2024,Month_4,chariton,108.97,17.24,3.56
2024,Month_5,chariton,219.71,23.54,9.57
2024,Month_6,chariton,117.36,28.83,15.46
2024,Month_7,chariton,77.22,28.26,16.36
2024,Month_8,chariton,74.18,27.83,15.77
2024,Month_9,chariton,26.67,26.35,9.46
