prec,2015,3.56,34.55,30.24,104.91,190.5,215.14,289.81,101.09,131.32,29.72,96.78,156.47
tmin,2015,-11.29,-13.63,-4.25,4.43,10.13,16.26,17.93,15.63,14.88,5.91,0.38,-3.41
tmax,2015,3.37,-1.03,13.08,18.15,21.33,27.41,29.07,27.63,26.94,19.59,13.14,5.66
prec,2016,13.48,11.45,37.6,145.54,170.18,78.74,261.62,192.53,95.76,41.4,36.33,26.93
tmin,2016,-10,-5.06,-0.18,4.9,9.23,16.2,17.37,16.59,13.83,6.79,0.85,-8.93
tmax,2016,-0.47,6.72,14.62,17.38,21.11,29.31,27.57,27.24,26.04,20.18,14.54,1.82
prec,2017,34.55,18.3,77.48,83.06,104.15,126.49,89.16,77.98,69.35,224.54,7.37,7.89
tmin,2017,-7.42,-4.73,-0.41,5.24,8.71,14.52,18.69,13.93,12.78,6.63,-3.61,-8.63
tmax,2017,1.09,9.71,11.2,16.87,22.03,29.25,30.28,27,27.78,19.59,10.96,4.74
prec,2018,21.1,27.43,73.92,17.03,90.93,136.91,79.5,115.06,154.69,138.94,43.69,47.76
tmin,2018,-13,-10.42,-1.38,-1.78,13.51,17.52,16.61,16.32,13.39,3.72,-6.69,-6.46
tmax,2018,-1.3,1.55,9.3,13.02,28.46,29.56,29.84,28.89,26.48,16.09,5.07,3.75
prec,2019,28.47,49.3,89.15,30.23,247.4,75.19,119.64,79,202.18,126.75,15.76,22.61
tmin,2019,-10.66,-13.73,-4.69,4,8.94,15.56,18.51,16.99,15.42,2.6,-4.31,-5.77
tmax,2019,0.13,-3.19,5.87,18.63,20.52,27.78,30.57,27.49,27.3,15.95,7.95,6.15
prec,2020,23.12,0.01,58.67,45.47,129.29,57.15,127.25,14.23,93.22,23.12,45.98,34.3
tmin,2020,-8.1,-7.8,-0.06,1.97,9.75,18.23,18.71,15.63,10.21,1.97,-1.01,-8.35
tmax,2020,1.2,4.87,12.33,16.86,20.45,30.17,30.46,29.31,24.04,16.06,14.15,4.87
prec,2021,29.47,10.68,106.18,50.8,128.78,89.42,136.4,76.97,38.35,167.64,35.05,11.68
tmin,2021,-8.17,-13.85,0.56,3.33,9.96,16.31,17.13,17.93,11.96,6.7,-1.23,-5.29
tmax,2021,2.08,-4.31,13.91,17.07,21.56,30.22,29.76,29.94,28.19,20.16,12.04,9.07
prec,2022,20.32,5.08,56.39,86.11,121.41,84.33,83.06,90.68,47.25,20.32,44.2,39.89
tmin,2022,-13.6,-10.95,-3.69,-0.06,11.34,16.31,17.35,16.65,11.49,1.51,-3.97,-10.78
tmax,2022,-0.32,4.84,11.09,16.22,22.81,29.62,30.23,30.33,26.49,20.16,10.75,1.2
prec,2023,40.9,76.46,30.49,65.28,69.86,87.63,100.33,92.2,33.27,40.9,21.59,36.07
tmin,2023,-6.52,-9.58,-3.76,2.49,9.35,13.97,15.94,16.33,11.07,5.05,-4.56,-3.49
tmax,2023,2.67,5.08,8.26,18.31,24.1,28.43,27.52,27.31,26.81,18.96,11.67,6.84
prec,2024,33.79,0.51,57.15,120.14,233.17,166.62,47.5,150.37,54.1,41.15,84.84,0
tmin,2024,-11.48,-5.63,-2.38,4.82,10.11,16.65,17.13,16.52,11.21,4.72,0.42,-8.75
tmax,2024,-3.22,12.3,12.65,18.53,24.39,29.62,29.26,28.54,27.51,23.93,13.19,3.61
