Year,Month,Stations,prec,tmax,tmin
2015,Month_1,clarinda,3.56,3.37,-11.29
2015,Month_10,clarinda,29.72,19.59,5.91
2015,Month_11,clarinda,96.78,13.14,0.38
2015,Month_12,clarinda,156.47,5.66,-3.41
2015,Month_2,clarinda,34.55,-1.03,-13.63
2015,Month_3,clarinda,30.24,13.08,-4.25
2015,Month_4,clarinda,104.91,18.15,4.43
2015,Month_5,clarinda,190.5,21.33,10.13
2015,Month_6,clarinda,215.14,27.41,16.26
2015,Month_7,clarinda,289.81,29.07,17.93
2015,Month_8,clarinda,101.09,27.63,15.63
2015,Month_9,clarinda,131.32,26.94,14.88
2016,Month_1,clarinda,13.48,-0.47,-10.0
2016,Month_10,clarinda,41.4,20.18,6.79
2016,Month_11,clarinda,36.33,14.54,0.85
2016,Month_12,clarinda,26.93,1.82,-8.93
2016,Month_2,clarinda,11.45,6.72,-5.06
2016,Month_3,clarinda,37.6,14.62,-0.18
2016,Month_4,clarinda,145.54,17.38,4.9
2016,Month_5,clarinda,170.18,21.11,9.23
2016,Month_6,clarinda,78.74,29.31,16.2
2016,Month_7,clarinda,261.62,27.57,17.37
2016,Month_8,clarinda,192.53,27.24,16.59
2016,Month_9,clarinda,95.76,26.04,13.83
2017,Month_1,clarinda,34.55,1.09,-7.42
2017,Month_10,clarinda,224.54,19.59,6.63
2017,Month_11,clarinda,7.37,10.96,-3.61
2017,Month_12,clarinda,7.89,4.74,-8.63
2017,Month_2,clarinda,18.3,9.71,-4.73
2017,Month_3,clarinda,77.48,11.2,-0.41
2017,Month_4,clarinda,83.06,16.87,5.24
2017,Month_5,clarinda,104.15,22.03,8.71
2017,Month_6,clarinda,126.49,29.25,14.52
2017,Month_7,clarinda,89.16,30.28,18.69
2017,Month_8,clarinda,77.98,27.0,13.93
2017,Month_9,clarinda,69.35,27.78,12.78
2018,Month_1,clarinda,21.1,-1.3,-13.0
2018,Month_10,clarinda,138.94,16.09,3.72
2018,Month_11,clarinda,43.69,5.07,-6.69
2018,Month_12,clarinda,47.76,3.75,-6.46
2018,Month_2,clarinda,27.43,1.55,-10.42
2018,Month_3,clarinda,73.92,9.3,-1.38
2018,Month_4,clarinda,17.03,13.02,-1.78
2018,Month_5,clarinda,90.93,28.46,13.51
2018,Month_6,clarinda,136.91,29.56,17.52
2018,Month_7,clarinda,79.5,29.84,16.61
2018,Month_8,clarinda,115.06,28.89,16.32
2018,Month_9,clarinda,154.69,26.48,13.39
2019,Month_1,clarinda,28.47,0.13,-10.66
2019,Month_10,clarinda,126.75,15.95,2.6
2019,Month_11,clarinda,15.76,7.95,-4.31
2019,Month_12,clarinda,22.61,6.15,-5.77
2019,Month_2,clarinda,49.3,-3.19,-13.73
2019,Month_3,clarinda,89.15,5.87,-4.69
2019,Month_4,clarinda,30.23,18.63,4.0
2019,Month_5,clarinda,247.4,20.52,8.94
2019,Month_6,clarinda,75.19,27.78,15.56
2019,Month_7,clarinda,119.64,30.57,18.51
2019,Month_8,clarinda,79.0,27.49,16.99
2019,Month_9,clarinda,202.18,27.3,15.42
2020,Month_1,clarinda,23.12,1.2,-8.1
2020,Month_10,clarinda,23.12,16.06,1.97
2020,Month_11,clarinda,45.98,14.15,-1.01
2020,Month_12,clarinda,34.3,4.87,-8.35
2020,Month_2,clarinda,0.01,4.87,-7.8
2020,Month_3,clarinda,58.67,12.33,-0.06
2020,Month_4,clarinda,45.47,16.86,1.97
2020,Month_5,clarinda,129.29,20.45,9.75
2020,Month_6,clarinda,57.15,30.17,18.23
2020,Month_7,clarinda,127.25,30.46,18.71
2020,Month_8,clarinda,14.23,29.31,15.63
2020,Month_9,clarinda,93.22,24.04,10.21
2021,Month_1,clarinda,29.47,2.08,-8.17
2021,Month_10,clarinda,167.64,20.16,6.7
2021,Month_11,clarinda,35.05,12.04,-1.23
2021,Month_12,clarinda,11.68,9.07,-5.29
2021,Month_2,clarinda,10.68,-4.31,-13.85
2021,Month_3,clarinda,106.18,13.91,0.56
2021,Month_4,clarinda,50.8,17.07,3.33
2021,Month_5,clarinda,128.78,21.56,9.96
2021,Month_6,clarinda,89.42,30.22,16.31
2021,Month_7,clarinda,136.4,29.76,17.13
2021,Month_8,clarinda,76.97,29.94,17.93
2021,Month_9,clarinda,38.35,28.19,11.96
2022,Month_1,clarinda,20.32,-0.32,-13.6
2022,Month_10,clarinda,20.32,20.16,1.51
2022,Month_11,clarinda,44.2,10.75,-3.97
2022,Month_12,clarinda,39.89,1.2,-10.78
2022,Month_2,clarinda,5.08,4.84,-10.95
2022,Month_3,clarinda,56.39,11.09,-3.69
2022,Month_4,clarinda,86.11,16.22,-0.06
2022,Month_5,clarinda,121.41,22.81,11.34
2022,Month_6,clarinda,84.33,29.62,16.31
2022,Month_7,clarinda,83.06,30.23,17.35
2022,Month_8,clarinda,90.68,30.33,16.65
2022,Month_9,clarinda,47.25,26.49,11.49
2023,Month_1,clarinda,40.9,2.67,-6.52
2023,Month_10,clarinda,40.9,18.96,5.05
2023,Month_11,clarinda,21.59,11.67,-4.56
2023,Month_12,clarinda,36.07,6.84,-3.49
2023,Month_2,clarinda,76.46,5.08,-9.58
2023,Month_3,clarinda,30.49,8.26,-3.76
2023,Month_4,clarinda,65.28,18.31,2.49
2023,Month_5,clarinda,69.86,24.1,9.35
2023,Month_6,clarinda,87.63,28.43,13.97
2023,Month_7,clarinda,100.33,27.52,15.94
2023,Month_8,clarinda,92.2,27.31,16.33
2023,Month_9,clarinda,33.27,26.81,11.07
2024,Month_1,clarinda,33.79,-3.22,-11.48
2024,Month_10,clarinda,41.15,23.93,4.72
2024,Month_11,clarinda,84.84,13.19,0.42
2024,Month_12,clarinda,0.0,3.61,-8.75
2024,Month_2,clarinda,0.51,12.3,-5.63
2024,Month_3,clarinda,57.15,12.65,-2.38
2024,Month_4,clarinda,120.14,18.53,4.82
2024,Month_5,clarinda,233.17,24.39,10.11
2024,Month_6,clarinda,166.62,29.62,16.65
