Year,Month,Stations,prec,tmax,tmin
2015,Month_1,clinton1,28.2,-0.84,-9.46
2015,Month_10,clinton1,71.89,18.19,7.54
2015,Month_11,clinton1,171.2,11.99,1.65
2015,Month_12,clinton1,119.64,6.63,-0.54
2015,Month_2,clinton1,37.86,-4.37,-14.72
2015,Month_3,clinton1,21.84,9.56,-3.72
2015,Month_4,clinton1,82.81,18.87,5.02
2015,Month_5,clinton1,136.91,23.39,12.04
2015,Month_6,clinton1,233.68,26.57,16.67
2015,Month_7,clinton1,76.97,27.93,18.02
2015,Month_8,clinton1,132.34,26.85,16.43
2015,Month_9,clinton1,138.68,26.63,15.52
2016,Month_1,clinton1,13.47,-0.75,-8.8
2016,Month_10,clinton1,62.99,20.52,10.07
2016,Month_11,clinton1,40.39,13.72,3.3
2016,Month_12,clinton1,35.57,-0.68,-7.56
2016,Month_2,clinton1,13.97,3.2,-4.85
2016,Month_3,clinton1,93.22,12.65,2.02
2016,Month_4,clinton1,90.94,16.98,4.83
2016,Month_5,clinton1,88.65,23.0,10.3
2016,Month_6,clinton1,146.56,29.19,17.24
2016,Month_7,clinton1,144.28,28.44,18.98
2016,Month_8,clinton1,218.95,28.41,19.12
2016,Month_9,clinton1,118.62,26.23,15.8
2017,Month_1,clinton1,28.96,0.5,-5.83
2017,Month_10,clinton1,108.46,18.63,8.33
2017,Month_11,clinton1,23.37,8.26,-1.44
2017,Month_12,clinton1,21.35,1.22,-7.85
2017,Month_2,clinton1,32.77,9.25,-2.74
2017,Month_3,clinton1,84.59,9.71,-0.23
2017,Month_4,clinton1,159.01,18.48,6.69
2017,Month_5,clinton1,100.34,21.16,10.04
2017,Month_6,clinton1,146.56,28.56,16.48
2017,Month_7,clinton1,192.28,28.74,18.52
2017,Month_8,clinton1,57.41,25.07,15.04
2017,Month_9,clinton1,8.38,26.09,13.19
2018,Month_1,clinton1,9.41,-1.04,-11.11
2018,Month_10,clinton1,150.37,15.66,5.23
2018,Month_11,clinton1,78.49,3.04,-3.5
2018,Month_12,clinton1,61.72,3.08,-4.7
2018,Month_2,clinton1,82.81,1.55,-9.15
2018,Month_3,clinton1,58.17,7.61,-3.19
2018,Month_4,clinton1,16.0,12.04,-0.56
2018,Month_5,clinton1,134.37,26.16,13.66
2018,Month_6,clinton1,176.54,27.76,17.67
2018,Month_7,clinton1,41.91,28.33,17.51
2018,Month_8,clinton1,187.96,28.0,17.48
2018,Month_9,clinton1,201.42,24.65,13.89
2019,Month_1,clinton1,60.21,-3.53,-11.59
2019,Month_10,clinton1,90.43,15.65,5.5
2019,Month_11,clinton1,49.54,5.42,-2.95
2019,Month_12,clinton1,21.6,5.82,-4.07
2019,Month_2,clinton1,68.33,-1.73,-10.42
2019,Month_3,clinton1,46.24,6.22,-4.03
2019,Month_4,clinton1,153.42,16.7,3.98
2019,Month_5,clinton1,245.37,20.61,9.34
2019,Month_6,clinton1,83.07,25.78,15.78
2019,Month_7,clinton1,102.36,29.5,19.72
2019,Month_8,clinton1,115.57,26.42,15.99
2019,Month_9,clinton1,246.13,26.22,16.44
2020,Month_1,clinton1,36.33,1.51,-5.41
2020,Month_10,clinton1,47.76,16.0,4.48
2020,Month_11,clinton1,44.2,13.81,1.81
2020,Month_12,clinton1,47.25,3.44,-5.28
2020,Month_2,clinton1,13.72,2.89,-5.94
2020,Month_3,clinton1,88.39,11.33,1.33
2020,Month_4,clinton1,57.92,16.35,3.65
2020,Month_5,clinton1,156.22,21.25,10.5
2020,Month_6,clinton1,69.09,29.13,17.56
2020,Month_7,clinton1,98.55,30.3,20.18
2020,Month_8,clinton1,32.01,28.91,17.37
2020,Month_9,clinton1,205.49,23.56,12.26
2021,Month_1,clinton1,33.03,-0.07,-6.65
2021,Month_10,clinton1,133.1,19.86,10.27
2021,Month_11,clinton1,7.62,10.24,-0.39
2021,Month_12,clinton1,52.58,6.8,-2.46
2021,Month_2,clinton1,27.44,-4.72,-13.77
2021,Month_3,clinton1,41.4,12.35,1.17
2021,Month_4,clinton1,88.14,17.53,5.21
2021,Month_5,clinton1,108.97,21.56,11.09
2021,Month_6,clinton1,84.33,29.54,18.5
2021,Month_7,clinton1,123.95,28.55,18.82
2021,Month_8,clinton1,14.23,29.8,18.83
2021,Month_9,clinton1,20.83,27.85,14.29
2022,Month_1,clinton1,11.94,-2.76,-13.14
2022,Month_10,clinton1,17.79,18.46,4.53
2022,Month_11,clinton1,50.82,11.19,-0.15
2022,Month_12,clinton1,60.97,1.67,-6.79
