Year,Month,Stations,prec,tmax,tmin
2015,Month_1,columbus junct 2 ssw,22.35,-0.66,-10.32
2015,Month_10,columbus junct 2 ssw,52.07,18.39,6.11
2015,Month_11,columbus junct 2 ssw,123.19,11.98,1.06
2015,Month_12,columbus junct 2 ssw,117.61,6.83,-0.91
2015,Month_2,columbus junct 2 ssw,37.09,-3.58,-14.28
2015,Month_3,columbus junct 2 ssw,16.51,8.6,-4.56
2015,Month_4,columbus junct 2 ssw,50.55,18.59,4.28
2015,Month_5,columbus junct 2 ssw,119.13,22.62,11.45
2015,Month_6,columbus junct 2 ssw,157.23,26.57,16.02
2015,Month_7,columbus junct 2 ssw,157.23,28.11,17.59
2015,Month_8,columbus junct 2 ssw,75.18,27.13,15.65
2015,Month_9,columbus junct 2 ssw,78.99,27.39,14.59
2016,Month_1,columbus junct 2 ssw,11.18,-1.38,-9.83
2016,Month_10,columbus junct 2 ssw,63.5,20.63,8.87
2016,Month_11,columbus junct 2 ssw,13.98,14.44,2.11
2016,Month_12,columbus junct 2 ssw,24.13,-0.02,-7.8
2016,Month_2,columbus junct 2 ssw,19.31,3.6,-5.38
2016,Month_3,columbus junct 2 ssw,70.36,12.0,0.96
2016,Month_4,columbus junct 2 ssw,63.0,16.21,4.21
2016,Month_5,columbus junct 2 ssw,86.87,22.04,10.14
2016,Month_6,columbus junct 2 ssw,113.29,30.02,16.9
2016,Month_7,columbus junct 2 ssw,207.01,28.61,18.3
2016,Month_8,columbus junct 2 ssw,224.29,28.78,18.3
2016,Month_9,columbus junct 2 ssw,39.88,26.97,14.64
2017,Month_1,columbus junct 2 ssw,32.26,1.37,-6.52
2017,Month_10,columbus junct 2 ssw,110.75,18.73,7.58
2017,Month_11,columbus junct 2 ssw,26.67,8.74,-2.22
2017,Month_12,columbus junct 2 ssw,16.26,2.28,-8.12
2017,Month_2,columbus junct 2 ssw,11.94,9.21,-3.51
2017,Month_3,columbus junct 2 ssw,61.22,9.78,-1.06
2017,Month_4,columbus junct 2 ssw,106.17,17.69,5.89
2017,Month_5,columbus junct 2 ssw,91.19,21.37,9.7
2017,Month_6,columbus junct 2 ssw,59.95,28.94,15.46
2017,Month_7,columbus junct 2 ssw,99.83,30.31,17.76
2017,Month_8,columbus junct 2 ssw,44.2,26.87,14.7
2017,Month_9,columbus junct 2 ssw,71.12,27.16,12.41
2018,Month_1,columbus junct 2 ssw,8.38,-0.93,-11.99
2018,Month_10,columbus junct 2 ssw,151.38,16.35,4.78
2018,Month_11,columbus junct 2 ssw,100.84,4.26,-3.83
2018,Month_12,columbus junct 2 ssw,39.12,3.8,-4.94
2018,Month_2,columbus junct 2 ssw,70.61,1.15,-9.54
2018,Month_3,columbus junct 2 ssw,89.92,7.67,-2.87
2018,Month_4,columbus junct 2 ssw,22.61,11.55,-1.3
2018,Month_5,columbus junct 2 ssw,121.16,26.8,13.81
2018,Month_6,columbus junct 2 ssw,124.46,28.96,17.83
2018,Month_7,columbus junct 2 ssw,43.18,29.35,17.57
2018,Month_8,columbus junct 2 ssw,163.58,29.09,17.42
2018,Month_9,columbus junct 2 ssw,122.17,25.44,13.68
2019,Month_1,columbus junct 2 ssw,69.85,-1.34,-10.93
2019,Month_10,columbus junct 2 ssw,51.05,15.57,4.3
2019,Month_11,columbus junct 2 ssw,35.05,5.92,-3.87
2019,Month_12,columbus junct 2 ssw,29.97,5.52,-4.5
2019,Month_2,columbus junct 2 ssw,83.31,-0.99,-11.38
2019,Month_3,columbus junct 2 ssw,45.97,6.09,-4.35
2019,Month_4,columbus junct 2 ssw,97.03,16.22,3.78
2019,Month_5,columbus junct 2 ssw,271.53,20.04,9.64
2019,Month_6,columbus junct 2 ssw,109.98,26.59,15.81
2019,Month_7,columbus junct 2 ssw,22.35,31.0,19.56
2019,Month_8,columbus junct 2 ssw,86.11,27.72,16.2
2019,Month_9,columbus junct 2 ssw,146.81,26.22,15.44
2020,Month_1,columbus junct 2 ssw,45.21,1.0,-6.98
2020,Month_10,columbus junct 2 ssw,75.95,14.41,3.62
2020,Month_11,columbus junct 2 ssw,81.28,12.82,0.71
2020,Month_12,columbus junct 2 ssw,60.71,2.69,-6.22
