Year,Month,Stations,prec,tmax,tmin
2015,Month_1,corning,3.05,2.26,-11.04
2015,Month_10,corning,26.67,19.2,6.15
2015,Month_11,corning,101.35,12.46,1.24
2015,Month_12,corning,148.59,5.27,-3.37
2015,Month_2,corning,33.28,-1.15,-13.83
2015,Month_3,corning,20.33,12.26,-3.64
2015,Month_4,corning,77.72,17.93,4.67
2015,Month_5,corning,158.25,20.91,9.86
2015,Month_6,corning,115.83,26.95,15.96
2015,Month_7,corning,284.99,28.5,17.17
2015,Month_8,corning,132.08,27.02,15.43
2015,Month_9,corning,198.88,26.87,14.69
2016,Month_1,corning,15.25,-0.84,-9.87
2016,Month_10,corning,45.47,20.39,7.53
2016,Month_11,corning,28.2,14.63,1.54
2016,Month_12,corning,33.53,1.28,-8.98
2016,Month_2,corning,24.39,5.32,-5.56
2016,Month_3,corning,38.1,14.09,0.52
2016,Month_4,corning,124.47,17.63,4.81
2016,Month_5,corning,162.05,21.63,9.68
2016,Month_6,corning,58.93,30.28,17.2
2016,Month_7,corning,200.16,28.8,18.21
2016,Month_8,corning,210.06,28.32,17.74
2016,Month_9,corning,105.92,26.43,14.56
2017,Month_1,corning,34.04,0.73,-7.51
2017,Month_10,corning,187.71,18.24,6.59
2017,Month_11,corning,12.45,9.62,-3.39
2017,Month_12,corning,7.37,3.01,-8.8
2017,Month_2,corning,17.27,9.33,-4.01
2017,Month_3,corning,69.09,10.91,-0.82
2017,Month_4,corning,80.01,17.09,5.44
2017,Month_5,corning,146.81,22.13,9.33
2017,Month_6,corning,135.38,28.31,14.56
2017,Month_7,corning,40.64,30.32,18.23
2017,Month_8,corning,139.95,27.31,13.57
2017,Month_9,corning,64.01,26.61,12.96
2018,Month_1,corning,17.78,-1.52,-12.3
2018,Month_10,corning,132.84,14.94,3.63
2018,Month_11,corning,46.23,4.04,-6.0
2018,Month_12,corning,54.61,3.51,-6.27
2018,Month_2,corning,28.19,0.99,-10.22
2018,Month_3,corning,35.05,8.66,-1.7
2018,Month_4,corning,20.83,12.0,-1.67
2018,Month_5,corning,44.96,26.69,13.22
2018,Month_6,corning,217.68,28.76,16.83
2018,Month_7,corning,59.44,29.12,16.86
2018,Month_8,corning,159.26,28.69,16.31
2018,Month_9,corning,209.3,24.7,13.69
2019,Month_1,corning,36.83,-0.34,-10.95
2019,Month_10,corning,147.57,14.66,2.81
2019,Month_11,corning,17.53,6.95,-4.06
2019,Month_12,corning,21.59,5.16,-5.84
2019,Month_2,corning,48.26,-3.65,-14.27
2019,Month_3,corning,79.25,5.2,-5.2
2019,Month_4,corning,23.11,17.76,3.56
2019,Month_5,corning,227.33,19.5,8.57
2019,Month_6,corning,68.07,26.44,15.11
2019,Month_7,corning,51.56,30.06,18.1
2019,Month_8,corning,86.36,27.0,16.46
2019,Month_9,corning,211.07,26.63,14.65
2020,Month_1,corning,33.02,0.24,-8.85
2020,Month_10,corning,50.04,15.0,1.81
2020,Month_11,corning,52.07,13.3,-0.57
2020,Month_12,corning,41.66,3.85,-8.37
2020,Month_2,corning,2.29,3.79,-8.59
2020,Month_3,corning,76.2,11.77,-0.43
2020,Month_4,corning,68.59,15.8,1.7
2020,Month_5,corning,146.06,19.46,9.43
2020,Month_6,corning,39.12,28.98,17.43
2020,Month_7,corning,115.32,30.13,18.74
2020,Month_8,corning,14.99,29.15,15.72
2020,Month_9,corning,79.0,23.33,10.17
2021,Month_1,corning,26.16,1.11,-7.89
2021,Month_10,corning,153.17,19.73,7.2
2021,Month_11,corning,37.85,11.63,-0.96
2021,Month_12,corning,8.9,8.35,-4.41
2021,Month_2,corning,15.25,-5.18,-14.17
2021,Month_3,corning,99.32,12.99,0.41
2021,Month_4,corning,41.15,16.07,2.66
2021,Month_5,corning,130.56,20.84,9.73
2021,Month_6,corning,97.8,29.26,16.19
2021,Month_7,corning,109.98,29.92,19.12
2021,Month_8,corning,85.86,30.22,20.7
2021,Month_9,corning,28.45,27.61,12.7
2022,Month_1,corning,23.37,-0.93,-14.07
2022,Month_10,corning,20.58,19.61,1.83
2022,Month_11,corning,44.96,10.07,-2.98
2022,Month_12,corning,36.32,0.11,-10.79
2022,Month_2,corning,7.11,3.93,-11.44
2022,Month_3,corning,59.69,10.52,-3.19
2022,Month_4,corning,85.34,14.83,0.89
2022,Month_5,corning,106.94,22.31,11.24
2022,Month_6,corning,39.38,29.28,16.44
2022,Month_7,corning,60.96,30.52,18.35
2022,Month_8,corning,51.32,30.68,16.97
2022,Month_9,corning,96.01,26.24,11.52
2023,Month_1,corning,56.9,1.47,-6.94
2023,Month_10,corning,48.01,18.3,6.2
2023,Month_11,corning,10.92,10.91,-3.19
2023,Month_12,corning,49.29,6.56,-2.78
2023,Month_2,corning,74.93,5.1,-8.95
2023,Month_3,corning,23.38,7.69,-3.91
2023,Month_4,corning,118.36,17.56,3.37
2023,Month_5,corning,66.05,23.72,11.54
2023,Month_6,corning,53.85,28.45,16.19
2023,Month_7,corning,117.86,27.96,17.92
2023,Month_8,corning,68.33,27.56,17.66
2023,Month_9,corning,42.17,26.35,12.7
2024,Month_1,corning,40.13,-3.1,-10.63
2024,Month_10,corning,39.37,22.61,5.38
2024,Month_11,corning,92.96,10.96,-0.08
2024,Month_12,corning,0.0,2.08,-10.0
2024,Month_2,corning,0.51,11.44,-4.9
2024,Month_3,corning,79.76,12.03,-2.26
2024,Month_4,corning,75.69,17.67,4.52
2024,Month_5,corning,232.66,22.8,11.28
2024,Month_6,corning,115.32,28.55,17.46
2024,Month_7,corning,48.52,28.18,17.43
2024,Month_8,corning,78.74,28.11,16.24
2024,Month_9,corning,16.51,26.47,11.28
