Year,Month,Stations,prec,tmax,tmin
2015,Month_1,creston,7.37,1.92,-10.08
2015,Month_10,creston,13.72,18.56,6.2
2015,Month_11,creston,110.49,11.89,0.39
2015,Month_12,creston,171.96,4.76,-3.67
2015,Month_2,creston,46.23,-1.98,-15.28
2015,Month_3,creston,11.68,11.67,-3.72
2015,Month_4,creston,85.85,17.09,4.56
2015,Month_5,creston,248.92,20.84,9.93
2015,Month_6,creston,137.92,26.75,16.17
2015,Month_7,creston,219.71,28.31,17.8
2015,Month_8,creston,187.2,26.73,15.18
2015,Month_9,creston,172.47,26.01,14.35
2016,Month_1,creston,17.53,-1.2,-10.79
2016,Month_10,creston,22.35,20.59,7.89
2016,Month_11,creston,30.23,14.5,1.94
2016,Month_12,creston,45.97,0.94,-9.59
2016,Month_2,creston,23.88,5.29,-6.21
2016,Month_3,creston,45.97,13.0,-0.22
2016,Month_4,creston,100.58,16.67,3.64
2016,Month_5,creston,119.38,21.13,9.62
2016,Month_6,creston,65.28,29.88,17.32
2016,Month_7,creston,198.12,28.51,17.68
2016,Month_8,creston,202.18,27.66,17.57
2016,Month_9,creston,137.67,26.19,14.27
2017,Month_1,creston,15.75,0.32,-7.62
2017,Month_10,creston,191.01,18.94,6.8
2017,Month_11,creston,4.57,9.85,-2.57
2017,Month_12,creston,11.94,2.65,-9.1
2017,Month_2,creston,16.26,9.22,-4.9
2017,Month_3,creston,80.26,10.3,-2.31
2017,Month_4,creston,84.07,16.81,5.21
2017,Month_5,creston,173.23,21.49,9.25
2017,Month_6,creston,116.34,28.95,15.93
2017,Month_7,creston,19.81,31.38,18.89
2017,Month_8,creston,79.76,27.15,14.04
2017,Month_9,creston,89.41,27.6,13.71
2018,Month_1,creston,27.43,-0.85,-12.78
2018,Month_10,creston,137.67,15.54,3.42
2018,Month_11,creston,52.58,4.94,-5.93
2018,Month_12,creston,78.23,3.43,-5.87
2018,Month_2,creston,29.47,0.32,-11.05
2018,Month_3,creston,43.69,8.33,-2.6
2018,Month_4,creston,22.35,12.2,-2.02
2018,Month_5,creston,135.89,27.32,14.33
2018,Month_6,creston,196.09,29.09,17.78
2018,Month_7,creston,67.82,29.89,17.43
2018,Month_8,creston,144.53,28.87,16.71
2018,Month_9,creston,285.75,24.96,13.52
2019,Month_1,creston,34.8,-0.44,-11.39
2019,Month_10,creston,132.84,14.87,2.51
2019,Month_11,creston,17.53,6.63,-4.96
2019,Month_12,creston,33.78,5.72,-6.24
2019,Month_2,creston,54.1,-3.97,-14.67
2019,Month_3,creston,67.06,5.39,-5.41
2019,Month_4,creston,33.27,17.61,3.22
2019,Month_5,creston,252.48,19.78,8.51
2019,Month_6,creston,151.13,27.07,15.35
2019,Month_7,creston,67.31,30.06,18.85
2019,Month_8,creston,94.23,27.13,16.2
2019,Month_9,creston,160.02,27.43,14.59
2020,Month_1,creston,33.53,-0.27,-9.62
2020,Month_10,creston,38.1,15.28,2.37
2020,Month_11,creston,57.4,14.52,-0.69
2020,Month_12,creston,46.23,4.21,-8.75
2020,Month_2,creston,1.53,2.97,-9.67
2020,Month_3,creston,74.68,11.67,-1.11
2020,Month_4,creston,57.92,15.54,0.85
2020,Month_5,creston,127.25,20.05,9.12
2020,Month_6,creston,72.14,28.72,17.11
2020,Month_7,creston,149.86,29.89,18.69
2020,Month_8,creston,8.9,29.14,15.77
2020,Month_9,creston,86.36,23.85,10.48
2021,Month_1,creston,28.7,0.5,-8.39
2021,Month_10,creston,180.09,19.55,6.67
2021,Month_11,creston,29.22,11.48,-1.74
2021,Month_12,creston,10.16,7.58,-4.89
2021,Month_2,creston,15.5,-5.71,-15.54
2021,Month_3,creston,100.59,13.05,-0.25
2021,Month_4,creston,36.83,15.96,2.37
2021,Month_5,creston,130.56,20.84,10.02
2021,Month_6,creston,109.74,29.15,16.2
2021,Month_7,creston,121.67,29.03,17.26
2021,Month_8,creston,107.7,29.59,17.22
2021,Month_9,creston,33.27,26.84,11.7
2022,Month_1,creston,22.1,-1.49,-15.63
2022,Month_10,creston,28.96,19.33,1.7
2022,Month_11,creston,61.98,9.67,-3.41
2022,Month_12,creston,40.13,0.0,-11.04
2022,Month_2,creston,5.09,3.07,-13.42
2022,Month_3,creston,54.36,10.5,-4.65
2022,Month_4,creston,80.52,14.7,-0.15
2022,Month_5,creston,88.65,22.33,10.2
2022,Month_6,creston,49.28,28.94,15.8
2022,Month_7,creston,53.6,30.29,17.78
2022,Month_8,creston,72.91,30.13,16.65
2022,Month_9,creston,103.63,26.04,12.0
2023,Month_1,creston,41.41,1.38,-8.08
2023,Month_10,creston,76.71,19.28,5.82
2023,Month_11,creston,8.13,10.59,-3.33
2023,Month_12,creston,53.34,6.41,-2.76
2023,Month_2,creston,52.58,4.46,-10.4
2023,Month_3,creston,19.81,7.62,-4.09
2023,Month_4,creston,64.77,17.7,2.08
2023,Month_5,creston,54.1,24.3,9.91
2023,Month_6,creston,70.61,28.93,15.84
2023,Month_7,creston,115.57,28.23,16.86
2023,Month_8,creston,127.0,28.63,17.06
2023,Month_9,creston,53.34,26.75,12.47
2024,Month_1,creston,48.26,-3.43,-11.19
2024,Month_10,creston,49.02,22.87,6.32
2024,Month_11,creston,82.3,11.0,-0.27
2024,Month_12,creston,0.0,3.26,-11.18
2024,Month_2,creston,2.29,10.95,-4.94
2024,Month_3,creston,61.98,12.41,-2.44
2024,Month_4,creston,105.41,18.1,3.72
2024,Month_5,creston,206.25,23.53,10.36
2024,Month_6,creston,172.21,29.0,17.0
2024,Month_7,creston,74.17,28.51,16.97
2024,Month_8,creston,93.47,28.26,15.7
2024,Month_9,creston,55.12,27.18,12.57
