Year,Month,Stations,prec,tmax,tmin
2015,Month_1,denison,9.66,0.02,-10.06
2015,Month_10,denison,42.67,17.76,5.65
2015,Month_11,denison,145.8,9.85,-0.2
2015,Month_12,denison,181.61,1.92,-4.91
2015,Month_2,denison,29.73,-3.65,-14.33
2015,Month_3,denison,9.15,11.49,-2.65
2015,Month_4,denison,126.24,17.28,4.17
2015,Month_5,denison,157.73,19.66,8.35
2015,Month_6,denison,111.51,26.07,14.8
2015,Month_7,denison,235.71,27.26,16.33
2015,Month_8,denison,205.23,25.85,14.52
2015,Month_9,denison,115.57,25.39,13.87
2016,Month_1,denison,19.06,-4.3,-11.74
2016,Month_10,denison,70.1,18.31,5.91
2016,Month_11,denison,22.86,12.63,1.09
2016,Month_12,denison,36.07,-1.38,-10.91
2016,Month_2,denison,26.68,1.09,-6.51
2016,Month_3,denison,44.96,11.2,-0.57
2016,Month_4,denison,101.61,15.15,3.09
2016,Month_5,denison,121.92,20.75,8.98
2016,Month_6,denison,33.02,29.94,16.82
2016,Month_7,denison,135.38,27.83,16.63
2016,Month_8,denison,127.0,27.28,16.17
2016,Month_9,denison,147.83,24.72,12.81
2017,Month_1,denison,35.31,-1.85,-9.0
2017,Month_10,denison,163.84,16.44,5.26
2017,Month_11,denison,2.29,7.74,-3.64
2017,Month_12,denison,12.71,0.37,-9.7
2017,Month_2,denison,32.26,5.99,-5.49
2017,Month_3,denison,94.24,7.35,-3.05
2017,Month_4,denison,77.22,14.69,3.44
2017,Month_5,denison,192.02,20.41,8.03
2017,Month_6,denison,49.78,28.54,14.98
2017,Month_7,denison,105.41,30.41,17.96
2017,Month_8,denison,242.06,25.83,13.87
2017,Month_9,denison,152.4,25.13,12.62
2018,Month_1,denison,20.58,-3.94,-13.49
2018,Month_10,denison,99.83,13.61,2.41
2018,Month_11,denison,26.94,3.44,-6.52
2018,Month_12,denison,47.25,1.0,-7.08
2018,Month_2,denison,21.6,-3.0,-12.7
2018,Month_3,denison,60.97,5.77,-2.92
2018,Month_4,denison,23.88,9.41,-2.7
2018,Month_5,denison,73.15,25.38,13.12
2018,Month_6,denison,257.56,28.33,17.13
2018,Month_7,denison,98.04,28.2,16.57
2018,Month_8,denison,203.71,27.15,15.41
2018,Month_9,denison,93.47,24.06,13.2
2019,Month_1,denison,6.11,-2.28,-11.13
2019,Month_10,denison,144.27,14.13,2.22
2019,Month_11,denison,29.21,5.2,-5.48
2019,Month_12,denison,49.28,3.75,-6.82
2019,Month_2,denison,59.44,-5.95,-15.77
2019,Month_3,denison,54.87,3.6,-6.13
2019,Month_4,denison,31.76,15.24,2.31
2019,Month_5,denison,188.21,18.58,7.65
2019,Month_6,denison,48.01,26.92,14.5
2019,Month_7,denison,92.71,28.56,17.74
2019,Month_8,denison,61.47,26.17,14.91
2019,Month_9,denison,143.26,25.85,14.35
2020,Month_1,denison,22.36,-0.74,-10.04
2020,Month_10,denison,46.74,13.08,2.04
2020,Month_11,denison,40.9,12.16,-1.59
2020,Month_12,denison,19.05,1.98,-7.57
2020,Month_2,denison,12.19,1.73,-9.7
2020,Month_3,denison,70.36,9.72,-1.69
2020,Month_4,denison,12.97,15.24,0.3
2020,Month_5,denison,76.97,20.02,8.81
2020,Month_6,denison,89.42,29.81,18.06
2020,Month_7,denison,40.14,30.26,18.99
2020,Month_8,denison,42.17,29.29,15.9
2020,Month_9,denison,98.56,23.69,10.39
2021,Month_1,denison,30.23,0.18,-7.31
2021,Month_10,denison,143.27,19.16,5.82
2021,Month_11,denison,13.21,10.48,-2.69
2021,Month_12,denison,13.46,6.09,-5.76
2021,Month_2,denison,24.13,-6.65,-16.27
2021,Month_3,denison,79.0,11.88,-0.66
2021,Month_4,denison,10.42,16.37,2.22
2021,Month_5,denison,94.75,20.75,9.16
2021,Month_6,denison,53.34,30.46,15.76
2021,Month_7,denison,88.14,29.64,16.98
2021,Month_8,denison,105.92,29.44,16.69
2021,Month_9,denison,41.15,26.7,11.3
2022,Month_1,denison,11.44,-1.52,-15.75
2022,Month_10,denison,17.53,18.82,1.61
2022,Month_11,denison,10.93,8.57,-4.59
2022,Month_12,denison,36.83,-1.86,-11.85
2022,Month_2,denison,4.32,2.44,-13.5
2022,Month_3,denison,35.31,9.46,-4.14
2022,Month_4,denison,67.57,14.07,-0.98
2022,Month_5,denison,124.47,22.01,9.95
2022,Month_6,denison,70.62,29.06,15.42
2022,Month_7,denison,70.62,29.96,17.63
2022,Month_8,denison,77.73,28.95,15.57
