prec,2015,34.31,17.05,12.46,63.76,110,213.38,182.13,107.96,133.36,35.82,85.35,138.19
tmin,2015,-8.35,-13.02,-0.59,6.67,12.8,17.96,19.64,17.74,16.8,8.17,2.54,-1.42
tmax,2015,2.11,-2.7,12.81,18.98,22.58,27.72,29.39,27.66,27.64,18.91,12.69,6.08
prec,2016,17.3,27.7,50.31,85.61,104.66,37.34,177.31,143.27,139.71,23.13,35.07,35.83
tmin,2016,-8.67,-4.27,2.81,6.81,11.63,19.14,20.04,19.77,16.63,9.67,3.63,-6.94
tmax,2016,-0.37,4.31,13.57,17.81,22.87,31.15,29.72,29.31,27.11,20.98,15.15,1.77
prec,2017,44.23,19.57,88.15,105.68,122.69,59.45,36.33,88.92,72.14,114.32,6.36,10.69
tmin,2017,-5.7,-2.2,0.5,7.63,11.13,17.41,20.97,16.46,15.3,8.08,-0.85,-7.6
tmax,2017,1.11,10.24,10.18,18.31,23.23,30.3,32.2,28.22,27.7,18.24,10.11,1.81
prec,2018,26.44,44.71,60.21,43.19,139.46,238.77,9.67,99.83,211.33,80.28,40.15,73.68
tmin,2018,-10.25,-8.87,-1,0.83,15.65,19.33,19.39,18.48,14.74,4.96,-3.91,-5.16
tmax,2018,-0.05,1.05,8.04,12.98,27.34,29.65,30.44,29.77,24.7,15.72,4.2,3.94
prec,2019,38.64,58.18,63.26,57.16,240.55,117.1,142.25,156.48,124.48,188.22,38.87,27.71
tmin,2019,-10.86,-12.32,-3.62,5.22,10.06,16.96,20.26,17.78,16.74,3.8,-3.02,-4.84
tmax,2019,-1.54,-2.86,6.25,17.63,20.87,27.52,30.41,27.81,27.26,14.27,6.61,5.22
prec,2020,40.92,5.35,89.69,45.23,141.5,149.1,51.31,34.8,100.59,101.86,62.99,49.8
tmin,2020,-7.85,-7.45,1.27,3.72,10.99,18.65,20.46,17.72,12.24,3.85,0.67,-6.33
tmax,2020,-0.02,2.76,11.95,16.24,20.29,29.26,31,29.5,23.69,14.53,12.65,3.32
prec,2021,34.31,17.8,65.54,32.52,71.38,69.35,148.84,54.11,21.09,160.03,38.62,19.57
tmin,2021,-6.86,-13.95,1.63,5.5,10.9,18.22,19.26,19.12,14.7,8.85,-0.26,-3.84
tmax,2021,0.66,-5.43,12.83,17.28,21.15,30.67,29.89,30.22,27.91,19.05,11.15,6.99
prec,2022,36.6,5.6,87.64,92.72,75.45,78.74,57.17,102.62,89.42,26.17,74.44,50.56
tmin,2022,-13.62,-11.15,-1.58,2.24,12.56,17.64,19.85,18.93,14.04,5.04,-1.46,-8.85
tmax,2022,-1.83,2.48,9.34,14.48,22.76,29.35,30.63,30.28,25.46,18.89,9.24,0.41
prec,2023,41.69,51.06,33.8,64.53,85.35,81.29,58.94,60.97,61.74,48.28,6.61,39.14
tmin,2023,-7.31,-6.75,-2.42,4.79,12.41,17.26,18.69,19.12,14.81,7.58,0.13,-1.18
tmax,2023,0.61,5.44,8.6,17.62,25.17,29.02,29.67,29.68,28.07,18.49,12.19,7.2
prec,2024,48.53,10.67,60.46,64.77,153.68,104.91,228.36,73.67,15.25,53.35,71.14,0.76
tmin,2024,-9.05,-2.55,1.09,6.88,12.67,18.54,19.09,18.66,15.13,8.58,1.33,-8.54
tmax,2024,-1.83,11.48,13.3,19.42,24.7,30.13,29.41,29.09,27.82,22.53,10.37,4.24
