Year,Month,Stations,prec,tmax,tmin
2015,Month_1,des moines area,34.31,2.11,-8.35
2015,Month_10,des moines area,35.82,18.91,8.17
2015,Month_11,des moines area,85.35,12.69,2.54
2015,Month_12,des moines area,138.19,6.08,-1.42
2015,Month_2,des moines area,17.05,-2.7,-13.02
2015,Month_3,des moines area,12.46,12.81,-0.59
2015,Month_4,des moines area,63.76,18.98,6.67
2015,Month_5,des moines area,110.0,22.58,12.8
2015,Month_6,des moines area,213.38,27.72,17.96
2015,Month_7,des moines area,182.13,29.39,19.64
2015,Month_8,des moines area,107.96,27.66,17.74
2015,Month_9,des moines area,133.36,27.64,16.8
2016,Month_1,des moines area,17.3,-0.37,-8.67
2016,Month_10,des moines area,23.13,20.98,9.67
2016,Month_11,des moines area,35.07,15.15,3.63
2016,Month_12,des moines area,35.83,1.77,-6.94
2016,Month_2,des moines area,27.7,4.31,-4.27
2016,Month_3,des moines area,50.31,13.57,2.81
2016,Month_4,des moines area,85.61,17.81,6.81
2016,Month_5,des moines area,104.66,22.87,11.63
2016,Month_6,des moines area,37.34,31.15,19.14
2016,Month_7,des moines area,177.31,29.72,20.04
2016,Month_8,des moines area,143.27,29.31,19.77
2016,Month_9,des moines area,139.71,27.11,16.63
2017,Month_1,des moines area,44.23,1.11,-5.7
2017,Month_10,des moines area,114.32,18.24,8.08
2017,Month_11,des moines area,6.36,10.11,-0.85
2017,Month_12,des moines area,10.69,1.81,-7.6
2017,Month_2,des moines area,19.57,10.24,-2.2
2017,Month_3,des moines area,88.15,10.18,0.5
2017,Month_4,des moines area,105.68,18.31,7.63
2017,Month_5,des moines area,122.69,23.23,11.13
2017,Month_6,des moines area,59.45,30.3,17.41
2017,Month_7,des moines area,36.33,32.2,20.97
2017,Month_8,des moines area,88.92,28.22,16.46
2017,Month_9,des moines area,72.14,27.7,15.3
2018,Month_1,des moines area,26.44,-0.05,-10.25
2018,Month_10,des moines area,80.28,15.72,4.96
2018,Month_11,des moines area,40.15,4.2,-3.91
2018,Month_12,des moines area,73.68,3.94,-5.16
2018,Month_2,des moines area,44.71,1.05,-8.87
2018,Month_3,des moines area,60.21,8.04,-1.0
2018,Month_4,des moines area,43.19,12.98,0.83
2018,Month_5,des moines area,139.46,27.34,15.65
2018,Month_6,des moines area,238.77,29.65,19.33
2018,Month_7,des moines area,9.67,30.44,19.39
2018,Month_8,des moines area,99.83,29.77,18.48
2018,Month_9,des moines area,211.33,24.7,14.74
2019,Month_1,des moines area,38.64,-1.54,-10.86
2019,Month_10,des moines area,188.22,14.27,3.8
2019,Month_11,des moines area,38.87,6.61,-3.02
2019,Month_12,des moines area,27.71,5.22,-4.84
2019,Month_2,des moines area,58.18,-2.86,-12.32
2019,Month_3,des moines area,63.26,6.25,-3.62
2019,Month_4,des moines area,57.16,17.63,5.22
2019,Month_5,des moines area,240.55,20.87,10.06
2019,Month_6,des moines area,117.1,27.52,16.96
2019,Month_7,des moines area,142.25,30.41,20.26
2019,Month_8,des moines area,156.48,27.81,17.78
