Year,Month,Stations,prec,tmax,tmin
2015,Month_1,donnellson,25.92,0.75,-9.77
2015,Month_10,donnellson,54.36,19.77,6.57
2015,Month_11,donnellson,131.32,13.16,2.59
2015,Month_12,donnellson,137.42,7.89,-0.22
2015,Month_2,donnellson,43.69,-2.12,-13.57
2015,Month_3,donnellson,11.69,10.44,-2.91
2015,Month_4,donnellson,42.42,19.96,5.46
2015,Month_5,donnellson,125.74,23.64,12.22
2015,Month_6,donnellson,290.07,27.61,16.91
2015,Month_7,donnellson,223.27,29.46,18.71
2015,Month_8,donnellson,68.33,28.98,16.88
2015,Month_9,donnellson,48.01,29.4,15.84
2016,Month_1,donnellson,15.76,0.41,-8.83
2016,Month_10,donnellson,67.57,21.51,8.87
2016,Month_11,donnellson,59.19,15.1,2.68
2016,Month_12,donnellson,38.36,1.61,-7.24
2016,Month_2,donnellson,29.98,5.21,-5.04
2016,Month_3,donnellson,58.68,13.37,1.94
2016,Month_4,donnellson,68.07,18.0,5.85
2016,Month_5,donnellson,71.88,22.91,10.88
2016,Month_6,donnellson,13.47,31.78,17.78
2016,Month_7,donnellson,164.09,29.55,18.78
2016,Month_8,donnellson,185.67,29.37,19.0
2016,Month_9,donnellson,41.92,28.18,15.13
2017,Month_1,donnellson,52.59,2.28,-5.81
2017,Month_10,donnellson,115.58,18.98,7.89
2017,Month_11,donnellson,21.09,9.63,-1.91
2017,Month_12,donnellson,10.68,3.37,-7.56
2017,Month_2,donnellson,6.1,10.75,-2.4
2017,Month_3,donnellson,87.39,11.49,-0.13
2017,Month_4,donnellson,133.1,18.72,6.59
2017,Month_5,donnellson,65.53,22.89,10.67
2017,Month_6,donnellson,23.12,30.28,15.8
2017,Month_7,donnellson,58.17,32.46,18.28
2017,Month_8,donnellson,67.83,28.85,15.14
2017,Month_9,donnellson,67.31,27.89,12.78
2018,Month_1,donnellson,18.81,-0.14,-11.29
2018,Month_10,donnellson,164.85,17.56,5.39
2018,Month_11,donnellson,71.88,5.24,-3.63
2018,Month_12,donnellson,41.4,4.55,-4.7
2018,Month_2,donnellson,81.8,3.47,-8.69
2018,Month_3,donnellson,103.63,8.67,-2.19
2018,Month_4,donnellson,16.01,13.16,-0.61
2018,Month_5,donnellson,61.22,28.48,15.26
2018,Month_6,donnellson,86.11,30.52,18.7
2018,Month_7,donnellson,79.25,30.5,18.07
2018,Month_8,donnellson,122.94,30.77,17.93
2018,Month_9,donnellson,203.96,26.61,14.5
2019,Month_1,donnellson,80.27,0.07,-9.57
2019,Month_10,donnellson,64.52,16.44,4.67
2019,Month_11,donnellson,38.1,7.85,-3.14
2019,Month_12,donnellson,37.35,7.19,-3.73
2019,Month_2,donnellson,67.57,0.28,-10.26
2019,Month_3,donnellson,103.13,7.74,-3.46
2019,Month_4,donnellson,55.38,17.48,4.94
2019,Month_5,donnellson,329.95,21.16,10.75
2019,Month_6,donnellson,115.83,27.85,16.67
2019,Month_7,donnellson,59.94,32.37,20.18
2019,Month_8,donnellson,83.57,29.07,17.24
2019,Month_9,donnellson,222.25,27.72,16.2
2020,Month_1,donnellson,61.99,2.29,-6.88
2020,Month_10,donnellson,20.07,16.33,4.86
2020,Month_11,donnellson,83.57,14.52,1.51
2020,Month_12,donnellson,66.81,4.61,-6.06
2020,Month_2,donnellson,14.23,3.89,-6.48
2020,Month_3,donnellson,81.53,11.52,0.89
2020,Month_4,donnellson,84.58,15.96,3.56
2020,Month_5,donnellson,109.99,20.34,10.75
2020,Month_6,donnellson,117.1,29.15,17.74
2020,Month_7,donnellson,155.2,30.78,20.52
2020,Month_8,donnellson,7.37,30.02,16.92
2020,Month_9,donnellson,124.97,24.61,12.09
2021,Month_1,donnellson,55.64,1.33,-6.85
2021,Month_10,donnellson,123.7,19.91,9.81
2021,Month_11,donnellson,13.98,10.94,-0.91
2021,Month_12,donnellson,22.11,8.82,-3.3
2021,Month_2,donnellson,22.61,-3.67,-12.46
2021,Month_3,donnellson,82.3,13.37,1.65
2021,Month_4,donnellson,131.57,17.06,4.69
2021,Month_5,donnellson,172.47,21.29,10.63
2021,Month_6,donnellson,121.92,29.46,17.78
2021,Month_7,donnellson,119.38,29.6,19.04
2021,Month_8,donnellson,73.92,30.44,18.43
2021,Month_9,donnellson,77.48,28.2,13.98
2022,Month_1,donnellson,20.33,-2.74,-14.48
