Year,Month,Stations,prec,tmax,tmin
2015,Month_1,dubuquearea,23.63,-2.42,-11.51
2015,Month_10,dubuquearea,69.86,16.77,5.48
2015,Month_11,dubuquearea,136.65,9.79,-0.11
2015,Month_12,dubuquearea,106.44,4.46,-2.03
2015,Month_2,dubuquearea,34.56,-6.61,-17.32
2015,Month_3,dubuquearea,20.32,7.22,-5.25
2015,Month_4,dubuquearea,48.27,16.67,3.18
2015,Month_5,dubuquearea,146.82,20.72,10.34
2015,Month_6,dubuquearea,211.84,25.06,14.78
2015,Month_7,dubuquearea,30.49,26.76,16.09
2015,Month_8,dubuquearea,64.01,25.97,14.95
2015,Month_9,dubuquearea,102.37,25.26,14.31
2016,Month_1,dubuquearea,11.69,-2.81,-10.52
2016,Month_10,dubuquearea,63.76,18.12,7.67
2016,Month_11,dubuquearea,65.79,11.8,1.39
2016,Month_12,dubuquearea,39.13,-2.76,-9.37
2016,Month_2,dubuquearea,15.76,1.05,-6.47
2016,Month_3,dubuquearea,76.71,9.98,-0.27
2016,Month_4,dubuquearea,64.01,13.98,3.37
2016,Month_5,dubuquearea,109.98,21.13,8.89
2016,Month_6,dubuquearea,185.17,27.13,15.38
2016,Month_7,dubuquearea,182.12,26.85,17.6
2016,Month_8,dubuquearea,95.26,27.17,17.44
2016,Month_9,dubuquearea,131.32,24.09,13.69
2017,Month_1,dubuquearea,51.06,-1.44,-7.69
2017,Month_10,dubuquearea,157.24,16.7,6.86
2017,Month_11,dubuquearea,16.77,7.06,-3.17
2017,Month_12,dubuquearea,18.04,-1.08,-9.68
2017,Month_2,dubuquearea,45.72,6.45,-4.35
2017,Month_3,dubuquearea,54.11,6.67,-2.15
2017,Month_4,dubuquearea,127.0,15.98,4.94
2017,Month_5,dubuquearea,70.37,19.7,8.26
2017,Month_6,dubuquearea,77.73,27.04,14.74
2017,Month_7,dubuquearea,188.47,27.39,16.35
2017,Month_8,dubuquearea,82.05,24.41,13.33
2017,Month_9,dubuquearea,25.91,24.55,11.98
2018,Month_1,dubuquearea,30.24,-2.46,-11.79
2018,Month_10,dubuquearea,163.07,14.09,3.94
2018,Month_11,dubuquearea,48.78,2.19,-4.37
2018,Month_12,dubuquearea,52.59,2.49,-5.36
2018,Month_2,dubuquearea,72.65,-0.89,-10.79
2018,Month_3,dubuquearea,46.74,6.31,-4.24
2018,Month_4,dubuquearea,40.39,9.43,-1.93
2018,Month_5,dubuquearea,138.45,24.8,13.15
2018,Month_6,dubuquearea,195.07,26.67,16.65
2018,Month_7,dubuquearea,90.17,27.6,16.34
2018,Month_8,dubuquearea,198.38,26.77,17.02
2018,Month_9,dubuquearea,226.82,23.5,12.54
2019,Month_1,dubuquearea,71.63,-5.23,-13.14
2019,Month_10,dubuquearea,175.01,13.3,2.94
2019,Month_11,dubuquearea,54.62,3.22,-4.93
2019,Month_12,dubuquearea,35.32,3.31,-5.84
2019,Month_2,dubuquearea,83.83,-2.92,-12.65
2019,Month_3,dubuquearea,42.93,4.05,-5.04
2019,Month_4,dubuquearea,106.68,14.39,3.13
2019,Month_5,dubuquearea,132.85,19.15,8.61
2019,Month_6,dubuquearea,139.45,25.0,14.44
2019,Month_7,dubuquearea,85.86,29.09,18.53
2019,Month_8,dubuquearea,127.52,25.71,14.94
2019,Month_9,dubuquearea,338.08,23.91,14.11
2020,Month_1,dubuquearea,45.47,-0.88,-7.92
2020,Month_10,dubuquearea,78.49,13.32,2.13
2020,Month_11,dubuquearea,73.42,11.46,-0.21
2020,Month_12,dubuquearea,67.57,1.16,-7.53
2020,Month_2,dubuquearea,28.96,-0.46,-9.31
2020,Month_3,dubuquearea,82.05,7.94,-0.3
2020,Month_4,dubuquearea,48.03,13.7,1.28
2020,Month_5,dubuquearea,124.72,18.84,8.49
2020,Month_6,dubuquearea,129.29,27.11,16.07
2020,Month_7,dubuquearea,90.69,29.2,18.3
2020,Month_8,dubuquearea,35.82,27.91,15.1
2020,Month_9,dubuquearea,209.3,21.34,10.0
2021,Month_1,dubuquearea,37.6,-1.88,-9.27
2021,Month_10,dubuquearea,108.72,17.78,8.32
2021,Month_11,dubuquearea,19.82,8.33,-2.34
2021,Month_12,dubuquearea,42.93,3.95,-4.92
2021,Month_2,dubuquearea,20.08,-6.94,-16.37
2021,Month_3,dubuquearea,47.75,9.19,-0.5
2021,Month_4,dubuquearea,48.52,15.43,3.76
2021,Month_5,dubuquearea,69.09,19.73,9.27
2021,Month_6,dubuquearea,108.21,28.67,16.74
2021,Month_7,dubuquearea,82.04,27.56,17.06
2021,Month_8,dubuquearea,140.46,28.31,17.12
2021,Month_9,dubuquearea,33.03,25.37,12.15
2022,Month_1,dubuquearea,12.71,-5.27,-15.68
2022,Month_10,dubuquearea,24.64,17.03,3.06
2022,Month_11,dubuquearea,91.46,8.87,-2.04
2022,Month_12,dubuquearea,60.71,-0.65,-9.23
2022,Month_2,dubuquearea,9.66,-1.45,-12.12
2022,Month_3,dubuquearea,72.91,6.88,-2.46
2022,Month_4,dubuquearea,106.69,11.41,1.61
2022,Month_5,dubuquearea,69.11,22.08,11.2
2022,Month_6,dubuquearea,74.68,27.28,15.17
2022,Month_7,dubuquearea,124.98,28.06,17.29
2022,Month_8,dubuquearea,136.91,26.72,16.74
2022,Month_9,dubuquearea,15.25,22.92,12.18
2023,Month_1,dubuquearea,60.46,-0.59,-6.83
2023,Month_10,dubuquearea,138.95,16.27,6.25
2023,Month_11,dubuquearea,13.47,8.81,-2.0
2023,Month_12,dubuquearea,52.59,4.76,-2.17
2023,Month_2,dubuquearea,75.7,1.9,-8.08
2023,Month_3,dubuquearea,43.44,6.25,-3.12
2023,Month_4,dubuquearea,52.84,15.63,2.24
2023,Month_5,dubuquearea,55.64,23.21,9.87
2023,Month_6,dubuquearea,56.14,28.0,14.39
2023,Month_7,dubuquearea,108.46,28.09,16.07
2023,Month_8,dubuquearea,101.86,27.44,16.2
2023,Month_9,dubuquearea,60.2,24.46,13.54
2024,Month_1,dubuquearea,83.83,-2.97,-8.89
2024,Month_10,dubuquearea,70.87,20.44,5.56
2024,Month_11,dubuquearea,106.43,9.07,0.8
2024,Month_12,dubuquearea,0.26,2.08,-10.21
2024,Month_2,dubuquearea,10.68,8.69,-3.91
2024,Month_3,dubuquearea,69.6,10.65,-0.43
2024,Month_4,dubuquearea,122.44,15.37,4.44
2024,Month_5,dubuquearea,156.72,22.54,10.63
2024,Month_6,dubuquearea,165.62,26.94,16.17
2024,Month_7,dubuquearea,134.37,27.09,17.09
2024,Month_8,dubuquearea,69.35,27.59,16.33
2024,Month_9,dubuquearea,2.04,26.06,12.43
