Year,Month,Stations,prec,tmax,tmin
2015,Month_1,elkader6ssw,18.3,-3.17,-14.25
2015,Month_10,elkader6ssw,66.3,16.86,2.76
2015,Month_11,elkader6ssw,109.47,9.96,-1.61
2015,Month_12,elkader6ssw,139.21,4.52,-2.92
2015,Month_2,elkader6ssw,22.37,-6.87,-21.35
2015,Month_3,elkader6ssw,24.9,6.58,-8.48
2015,Month_4,elkader6ssw,70.62,16.07,-0.69
2015,Month_5,elkader6ssw,95.25,20.2,8.71
2015,Month_6,elkader6ssw,128.28,24.67,12.11
2015,Month_7,elkader6ssw,83.32,26.42,13.75
2015,Month_8,elkader6ssw,104.9,25.23,12.03
2015,Month_9,elkader6ssw,100.33,25.8,11.74
2016,Month_1,elkader6ssw,16.53,-4.1,-13.8
2016,Month_10,elkader6ssw,49.79,18.31,5.13
2016,Month_11,elkader6ssw,39.12,13.06,-1.07
2016,Month_12,elkader6ssw,48.79,-2.28,-9.89
2016,Month_2,elkader6ssw,24.66,0.5,-8.97
2016,Month_3,elkader6ssw,81.28,9.35,-3.06
2016,Month_4,elkader6ssw,48.26,14.39,1.26
2016,Month_5,elkader6ssw,105.92,20.65,6.39
2016,Month_6,elkader6ssw,145.04,26.81,13.07
2016,Month_7,elkader6ssw,118.38,26.77,15.57
2016,Month_8,elkader6ssw,223.78,27.45,15.61
2016,Month_9,elkader6ssw,140.22,24.2,11.91
2017,Month_1,elkader6ssw,65.05,-1.7,-9.48
2017,Month_10,elkader6ssw,104.67,17.33,4.8
2017,Month_11,elkader6ssw,14.74,7.2,-4.56
2017,Month_12,elkader6ssw,11.45,-0.29,-11.34
2017,Month_2,elkader6ssw,41.41,5.71,-6.79
2017,Month_3,elkader6ssw,62.76,6.65,-4.68
2017,Month_4,elkader6ssw,97.8,15.8,3.11
2017,Month_5,elkader6ssw,91.45,19.52,6.67
2017,Month_6,elkader6ssw,171.71,27.45,12.39
2017,Month_7,elkader6ssw,228.6,27.76,15.23
2017,Month_8,elkader6ssw,39.63,25.14,11.94
2017,Month_9,elkader6ssw,30.74,25.79,8.95
2018,Month_1,elkader6ssw,25.67,-3.1,-15.02
2018,Month_10,elkader6ssw,192.03,14.22,2.43
2018,Month_11,elkader6ssw,67.07,2.46,-6.09
2018,Month_12,elkader6ssw,44.72,2.1,-7.13
2018,Month_2,elkader6ssw,45.47,-1.75,-13.45
2018,Month_3,elkader6ssw,48.01,6.2,-6.34
2018,Month_4,elkader6ssw,55.64,8.21,-5.4
2018,Month_5,elkader6ssw,169.43,24.84,11.38
2018,Month_6,elkader6ssw,179.59,26.86,16.36
2018,Month_7,elkader6ssw,97.8,28.14,15.71
2018,Month_8,elkader6ssw,130.56,27.17,15.11
2018,Month_9,elkader6ssw,280.68,24.02,10.7
2019,Month_1,elkader6ssw,54.12,-4.07,-15.39
2019,Month_10,elkader6ssw,159.01,13.78,1.83
2019,Month_11,elkader6ssw,61.99,3.37,-6.31
2019,Month_12,elkader6ssw,44.72,3.73,-7.33
2019,Month_2,elkader6ssw,68.84,-3.61,-15.85
2019,Month_3,elkader6ssw,38.11,3.55,-8.53
